level,length,count
0,86813.358425,694
20,1924992.757842,1525
40,2057440.667923,670
60,2208469.999815,431
80,2206643.617937,305
100,1424603.607281,235
120,1171934.74226,231
140,1154128.490443,216
160,1136132.004976,176
180,1113603.143529,172
200,1092755.136126,184
220,1062925.73874,169
240,1041260.828026,162
260,1010055.469264,130
280,994196.000942,131
300,969983.189849,117
320,955845.160047,125
340,932519.167635,120
360,984294.857897,378
380,1450642.735949,1525
400,2552801.472425,3057
420,3050341.788932,2336
440,3727319.959313,2735
460,4825208.898893,3436
480,5673951.03655,3743
500,6290825.549004,4027
520,6487531.968659,3884
540,6370263.783503,3724
560,5991914.940479,3385
580,5495450.761325,2885
600,4995094.40296,2577
620,4583319.187926,2210
640,4207795.762836,1877
660,3850813.382854,1677
680,3484033.55072,1518
700,3098950.865545,1350
720,2688546.205788,1135
740,2379011.497807,946
760,2144308.642223,739
780,1983917.086975,672
800,1877758.646388,571
820,1820543.495805,537
840,1858960.932757,544
860,1919894.513792,538
880,2209755.774795,1012
900,2553656.424859,1063
920,2958910.152635,1024
940,3341791.432579,1162
960,3574572.223296,1212
980,3665199.893231,1182
1000,3635501.02136,1191
1020,3518185.217166,1156
1040,3286282.16754,1121
1060,3113542.215075,1175
1080,3098540.843633,1348
1100,3273857.656385,1400
1120,3496480.568993,1586
1140,3700855.974826,1725
1160,3799257.695999,1576
1180,3681254.255328,1313
1200,3515314.193413,1250
1220,3431800.363323,1269
1240,3316485.404486,1130
1260,3207286.417162,1068
1280,3042969.71366,975
1300,2852090.057062,953
1320,2677692.083419,884
1340,2475095.919399,782
1360,2315244.94333,665
1380,2180293.444459,637
1400,2078537.778,560
1420,2020031.749941,542
1440,1959099.414313,495
1460,1853540.696488,522
1480,1712956.317477,507
1500,1617880.021991,449
1520,1517031.959635,400
1540,1445213.620189,382
1560,1379913.911108,336
1580,1294399.436918,331
1600,1222633.168268,291
1620,1172659.578251,308
1640,1141953.174473,318
1660,1114067.384697,250
1680,1068095.681382,262
1700,1015084.559491,241
1720,941342.95862,228
1740,865523.286807,195
1760,802479.456735,195
1780,753825.8555,190
1800,704307.269065,146
1820,653525.884683,138
1840,612075.270595,123
1860,575463.854792,115
1880,536572.879232,115
1900,501977.999458,129
1920,470814.743076,122
1940,423635.395458,106
1960,389264.326437,85
1980,364517.637205,74
2000,343327.079549,73
2020,320499.598689,67
2040,293341.438184,64
2060,275887.315444,41
2080,255841.854014,55
2100,234365.683815,54
2120,214560.550314,44
2140,201613.414958,38
2160,184838.600604,28
2180,176557.176678,27
2200,162848.373719,45
2220,151364.563163,36
2240,137327.231728,24
2260,131368.430064,27
2280,123522.917588,22
2300,122206.172277,21
2320,121572.122354,22
2340,116865.47411,24
2360,112742.565363,26
2380,109220.927816,39
2400,102704.318685,40
2420,93162.526048,31
2440,86048.12769,36
2460,76645.222723,36
2480,67094.933682,23
2500,58505.514891,35
2520,48009.038127,20
2540,40152.83468,25
2560,30712.459866,20
2580,23401.23408,19
2600,15727.429553,16
2620,11463.311497,14
2640,6766.624143,10
2660,4042.892087,3
2680,3465.902968,2
2700,2702.885764,2
2720,2213.946127,2
2740,1575.928688,2
2760,517.911496,1
2770,85.767287,1
