level,length,count
0,57398.291414,466
2,87266.352635,545
4,125994.670329,649
6,180634.007633,761
8,292739.718529,1074
10,650811.07152,2230
12,1310849.834403,3137
14,2043982.26706,4004
16,2924369.407426,5785
18,4163577.809499,7680
20,6005999.17869,9891
22,9529177.265663,11741
24,10118229.143412,12429
26,10171971.763301,13296
28,10918754.8052,15008
30,12481900.606099,17886
32,13748246.252695,19910
34,13943335.377734,20096
36,13888180.157254,21122
38,15271934.704,26655
40,19108678.817594,37703
42,26278377.26327,55487
44,36066193.584682,75844
46,39514735.723683,86703
48,28655902.263726,82099
50,14789314.427766,54506
52,5406533.152038,26893
54,1405723.551253,10055
56,399594.046538,3093
58,194883.989524,1154
60,140496.693448,624
62,114393.271481,464
64,96227.373778,382
66,83579.875436,324
68,72704.839874,274
70,64403.504703,239
72,56817.193768,214
74,50303.741015,194
76,44716.87329,175
78,39796.083242,156
80,35127.523034,141
82,30823.831752,122
84,27270.194414,111
86,23332.980711,100
88,20483.275957,89
90,17826.037283,77
92,15878.48671,65
94,13581.0767,60
96,11692.037542,55
98,9960.964051,50
100,8377.115374,46
102,7146.304896,39
104,5545.934455,33
106,4392.686127,30
108,3503.256599,25
110,2858.967768,21
112,2415.993819,14
114,2104.255206,15
116,1644.055038,12
118,1228.095649,11
120,738.725598,9
122,504.018988,6
124,462.716607,4
126,443.203475,3
128,413.44795,3
130,384.322884,3
132,317.574086,3
134,118.91475,2
136,100.249551,1
138,86.057472,1
140,71.86523,1
142,57.672666,1
144,43.480334,1
146,29.288572,1
148,15.096474,1
150,0.890458,1
