level,length,count
56,9.70693,1
58,24.202976,1
60,97.328239,2
62,162.167864,2
64,216.046653,2
66,262.578388,2
68,303.417165,2
70,343.272137,2
72,462.148155,3
74,607.98783,4
76,932.812324,5
78,1070.857216,5
80,1207.823061,5
82,1454.241356,8
84,1894.380171,10
86,2184.703348,11
88,2614.597199,16
90,3219.411976,21
92,4024.1545,25
94,5653.777228,38
96,7417.869111,53
98,10174.976298,72
100,14083.540235,100
102,22333.970613,171
104,68466.969065,655
106,1012981.36945,5678
108,4167255.506978,15026
110,7124350.758782,23834
112,10499536.232579,39106
114,16202294.180171,51884
116,17403289.714439,56029
118,20384117.551825,66918
120,22597315.587962,71451
122,20936888.667407,65128
124,19304488.325657,59848
126,17807619.240639,55575
128,16825365.240523,50883
130,14884542.39505,41881
132,13785695.726953,38577
134,13343410.168705,35517
136,13256030.018993,37904
138,13326012.303572,39552
140,11799954.794645,35273
142,9784414.280563,31720
144,5741688.523932,19176
146,2794857.69689,9972
148,1324210.324083,5586
150,531747.615981,2696
152,179757.062805,1060
154,52636.4074,381
156,14933.582655,123
158,7684.743834,54
160,5966.741516,36
162,4801.424298,30
164,3954.654877,24
166,3134.994026,20
168,2469.828984,17
170,1959.065033,12
172,1612.276868,10
174,1405.527093,8
176,1194.159548,6
178,1030.374265,6
180,804.958373,6
182,583.697617,5
184,354.946832,3
186,218.811992,2
188,177.529607,2
190,131.316517,2
192,85.103054,2
194,38.890632,2
196,19.701562,1
198,8.165995,1
