level,length,count
430,151.33006,1
440,962.952826,8
450,303791.541667,871
460,579697.714948,1100
470,984694.427662,1135
480,1468509.063784,1130
490,1966404.949085,1237
500,2576771.866166,1716
510,2927580.025659,1609
520,3109682.101633,1597
530,3286514.199123,1819
540,3641333.309764,1973
550,4081247.684637,2399
560,5946525.086365,3363
570,6488874.51636,3391
580,5221744.948119,3765
590,7296203.595418,4189
600,7349272.516462,4950
610,6793162.80958,4330
620,5444584.842202,3819
630,5027298.654062,3516
640,4427254.725087,3061
650,3831294.25829,2633
660,3331520.336133,2076
670,2860296.736416,1875
680,2534278.596333,1484
690,2254563.474778,1245
700,3036738.270418,1124
710,2441360.759743,1007
720,2301079.704313,886
730,1982712.633748,905
740,1827742.621917,900
750,1744430.188545,883
760,1675029.711932,855
770,1563057.797136,778
780,1507570.445922,711
790,1422354.094982,660
800,1335199.743078,674
810,1233623.970491,558
820,1110679.219669,452
830,1043652.828761,396
840,968027.197888,355
850,913312.246245,337
860,650039.757275,250
870,667249.633545,267
880,674283.407214,257
890,691343.751306,252
900,705372.484123,272
910,671551.688959,288
920,597168.024442,277
930,526502.839637,244
940,452053.799816,235
950,387992.74384,181
960,334685.049941,159
970,301065.248711,149
980,262685.853655,104
990,219974.245087,94
1000,168380.516243,91
1010,114392.969969,89
1020,65084.92192,62
1030,42169.120863,36
1040,33041.531058,22
1050,22285.109259,33
1060,12110.349524,15
1070,5173.322574,10
