level,length,count
90,15.099549,1
92,50.918277,2
94,209.671684,5
96,425.788107,5
98,855.193085,11
100,4199.533086,60
102,66092.517809,580
104,604414.113539,2628
106,2055433.903647,5534
108,4065783.816616,10866
110,7445344.172288,19567
112,11573734.158862,29663
114,15608922.377149,36245
116,17995111.931557,40668
118,18832881.845337,41808
120,18697601.616282,42909
122,18822383.250969,41814
124,18566181.334935,42315
126,18613850.407728,42474
128,18353735.637368,40822
130,16886035.096641,37658
132,15664737.578494,34927
134,14758962.991141,32648
136,13617463.219007,30643
138,12513957.674249,27377
140,10873189.930015,22505
142,8146533.788147,18268
144,5090814.170206,11761
146,2636272.558647,6438
148,1190261.81291,3159
150,481359.123741,1474
152,157258.6054,626
154,35574.612112,194
156,5239.393527,42
158,824.177661,6
160,450.371223,4
162,240.965833,3
164,171.785176,2
166,141.126355,1
168,127.101723,1
170,113.087577,1
172,99.087698,1
174,80.708102,1
176,54.912715,1
178,29.117839,1
180,3.325991,1
