level,length,count
0,1386267.518359,3549
20,2031788.600612,685
40,2053379.043956,173
60,1946940.670453,149
80,1166969.2191,171
100,1155220.465411,160
120,1138603.363504,160
140,1115983.666341,136
160,1095260.728694,123
180,1080644.762063,112
200,1067868.133516,113
220,1038366.233131,114
240,1019704.760002,115
260,993860.944567,106
280,972924.342019,99
300,949898.853179,98
320,935863.758413,86
340,920229.728,95
360,926344.854268,215
380,1212901.338959,664
400,1942359.780208,1050
420,2663566.070955,1075
440,3288108.729928,1492
460,3913675.257898,1580
480,4975556.387337,2051
500,5563339.280377,2315
520,5806289.316593,2364
540,5729254.645819,2308
560,5499782.212941,2121
580,5096106.046608,1881
600,4660177.938502,1636
620,4284251.676921,1365
640,3999343.550402,1211
660,3693325.306763,1101
680,3369181.8172,982
700,2986967.576365,960
720,2589752.621138,767
740,2285652.639172,635
760,2063489.518399,550
780,1922097.82385,461
800,1804765.107578,387
820,1724874.962927,336
840,1718729.402134,339
860,1764723.83866,302
880,1946141.595162,516
900,2218293.67616,514
920,2636673.011631,523
940,3020101.697712,559
960,3288241.872291,638
980,3413565.235107,691
1000,3454216.884347,745
1020,3344467.782716,712
1040,3156118.126461,695
1060,3018380.446545,726
1080,2917233.397114,784
1100,3018074.572704,780
1120,3256468.459621,778
1140,3451952.469844,842
1160,3585337.12914,882
1180,3522187.58765,743
1200,3357751.428295,788
1220,3259032.767886,743
1240,3170543.91459,680
1260,3076476.358934,676
1280,2949517.649604,629
1300,2790871.596168,647
1320,2597910.187547,627
1340,2427298.088616,542
1360,2261691.512797,486
1380,2127301.550302,430
1400,2011882.906743,402
1420,1949431.823983,401
1440,1899231.135533,344
1460,1810944.768764,370
1480,1675304.716722,352
1500,1569162.45888,332
1520,1475548.977887,284
1540,1405379.95435,234
1560,1350859.843445,268
1580,1274987.884413,255
1600,1208400.436406,226
1620,1141684.312348,202
1640,1097596.444428,207
1660,1073177.096836,149
1680,1039180.384693,144
1700,996980.165572,165
1720,933527.906912,172
1740,865325.014592,137
1760,799385.608088,110
1780,746827.381973,112
1800,699937.780869,107
1820,648999.940583,111
1840,603076.980802,96
1860,566335.872892,74
1880,527461.137283,86
1900,497754.467104,71
1920,465584.326604,72
1940,425494.278349,68
1960,387552.708055,52
1980,362196.096266,52
2000,340593.779552,46
2020,322449.367788,50
2040,298189.444591,48
2060,273866.28306,34
2080,260208.69935,35
2100,240013.33525,43
2120,218990.788739,40
2140,203801.272486,34
2160,189359.979957,28
2180,176223.694347,25
2200,165723.12602,23
2220,155892.552504,29
2240,143276.17605,26
2260,133126.752118,21
2280,125846.330098,21
2300,119360.242123,21
2320,117260.410649,20
2340,114689.91428,15
2360,112111.290219,13
2380,107495.68151,21
2400,102022.024786,33
2420,94646.446411,26
2440,86559.582874,20
2460,78048.328935,25
2480,70327.411534,24
2500,61051.148103,26
2520,50851.08471,23
2540,42870.402329,21
2560,33117.051248,18
2580,26348.323237,15
2600,18903.912237,14
2620,13181.624561,11
2640,8080.255289,9
2660,5004.607544,5
2680,3800.860452,3
2700,3108.591577,2
2720,2539.117224,2
2740,2067.828119,3
2760,1254.665072,3
2770,651.365051,1
