level,length,count
420,10.392863,1
430,80.828758,3
440,1711.987665,37
450,432546.198378,938
460,1145091.367154,1093
470,2024716.515257,831
480,3009783.773111,959
490,3763480.870472,1284
500,4766829.577963,1401
510,5270902.297593,1318
520,5530556.948934,1368
530,5387119.08295,1892
540,5819225.107122,2156
550,6596835.488019,2446
560,7617791.745527,2986
570,8453965.257036,3217
580,9380646.964118,3476
590,9580993.620221,3916
600,8958744.326019,3883
610,8954653.963447,3508
620,7898989.330125,2982
630,7061374.585469,2652
640,5935557.937406,2425
650,5080257.803238,1733
660,4261722.561081,1505
670,3822888.760788,1406
680,3488769.317084,1138
690,3138157.492753,984
700,2922306.179719,923
710,1888561.33843,742
720,2175939.455435,676
730,2031284.931373,646
740,1977748.176544,682
750,1910991.702212,670
760,1845809.101902,713
770,1714717.532105,605
780,1599712.702138,546
790,1270769.506472,478
800,1016809.064961,436
810,973932.539586,362
820,890685.825269,321
830,805918.759893,293
840,723169.776304,230
850,849431.069913,220
860,930987.205234,216
870,976713.669713,208
880,1001242.008651,186
890,914194.79677,192
900,969750.136643,217
910,807191.496381,174
920,701326.29531,162
930,701716.79157,164
940,622618.289766,148
950,575575.071125,132
960,514956.009581,105
970,384587.842663,97
980,348636.704649,88
990,210037.985932,65
1000,147310.752913,88
1010,87705.125082,74
1020,49949.783434,43
1030,36243.722874,29
1040,23178.688059,20
1050,31794.835243,24
1060,15865.539885,15
1070,7107.30737,16
1080,23.482323,1
