level,length,count
5,6977020.18978,14907
10,6728087.038748,10023
15,6264453.525395,6248
20,6440947.332121,4331
25,6553878.182249,3339
30,6652859.81022,2701
35,6540809.975888,2256
40,6460273.311569,1973
45,6398923.515974,1801
50,6391745.771314,1634
55,6214592.926035,1593
60,6161579.459738,1455
65,6310323.18012,1415
70,6256227.330962,1352
75,6120857.713411,1330
80,6064224.3249,1221
85,5984621.425742,1211
90,5936698.624038,1205
95,5723813.486337,1150
100,5588874.205031,1179
105,5545483.732211,1069
110,5520523.340733,1020
115,5423509.850954,1049
120,5384578.822949,1009
125,5351406.387474,980
130,5270647.625827,934
135,5154013.931567,936
140,5041655.619351,923
145,4965425.237439,907
150,4873256.067038,956
155,4816844.252341,896
160,4826267.998979,888
165,4744530.705189,861
170,4674414.708139,824
175,4657139.960897,792
180,4630710.638776,765
185,4590168.105041,767
190,4487102.028014,782
195,4474495.777172,813
200,4445135.523164,806
205,4430923.009128,772
210,4401284.141584,769
215,4320334.445747,723
220,4326100.326118,659
225,4242614.634086,688
230,4199080.452427,703
235,4192979.699598,724
240,4033174.051156,664
245,3949144.706007,692
250,3920605.994143,678
255,3905256.022347,674
260,3771025.308262,704
265,3728157.372835,697
270,3692649.882381,665
275,3652171.228481,653
280,3566202.357844,608
285,3634197.289344,642
290,3616852.385234,681
295,3595944.541166,711
300,3619449.246431,699
305,3526960.560142,684
310,3495459.600066,680
315,3492324.598373,641
320,3395911.426493,658
325,3394158.993906,649
330,3372764.745069,642
335,3356454.907251,618
340,3317112.1082,598
345,3285487.419495,588
350,3339261.39477,558
355,3313031.507971,567
360,3263683.246761,553
365,3230864.668997,528
370,3206772.360462,524
375,3152057.373353,524
380,3111301.178968,532
385,3104646.718112,516
390,3078410.701503,527
395,3056253.115662,524
400,3011531.56934,521
405,2969274.591708,560
410,2974497.332242,553
415,2959837.007004,496
420,2941920.578375,501
425,2919811.931077,526
430,2897177.136702,483
435,2889045.289944,445
440,2809274.409954,444
445,2809756.859138,469
450,2814251.909951,470
455,2792112.112313,474
460,2784963.723227,475
