,X,Y,tdx12_Araca,tdx30_Araca,srtm30_Araca,srtm30_wgs84_Araca,aster30_Araca,aster30_wgs84_Araca,aw3d30_Araca,aw3d30_wgs84_Araca
0,-63.74087693,0.21453486,39.56873,42.91617,48.0,42.41514785,34.0,28.41514785,NaN,NaN
1,-63.32313627,0.99870012,1190.614,1195.306,1196.0,1189.09141301,1176.0,1169.09141301,NaN,NaN
2,-63.01007276,0.50684383,35.65009,36.84766,46.0,38.67324596,50.0,42.67324596,NaN,NaN
3,-63.27941309,0.41742076,35.4737,35.15806,50.0,43.27292272,40.0,33.27292272,NaN,NaN
4,-63.37521394,0.32770331,33.29939,33.49532,43.0,36.52541526,35.0,28.52541526,NaN,NaN
5,-63.71115983,0.52899366,53.19969,52.0788,62.0,56.15534253,67.0,61.15534253,61.0,55.15597077
6,-63.96403197,0.99941853,78.3187,78.49097,85.0,79.45875175,75.0,69.45875175,85.0,79.4589143
7,-63.67726494,0.8509565,69.34988,69.25905,74.0,67.90606376,68.0,61.90606376,76.0,69.90681117
8,-63.84179757,0.43401038,49.92676,49.53484,56.0,50.51313897,56.0,50.51313897,54.0,48.51313897
9,-63.62606468,0.13173321,38.80584,38.63919,42.0,36.20267437,14.0,8.20267437,39.0,33.20267437
10,-63.21396511,0.60311067,42.45361,43.29218,53.0,46.04505132,58.0,51.04505132,51.0,44.04562498
11,-63.52260455,0.56163621,46.88574,46.75529,54.0,47.71912866,40.0,33.71912866,57.0,50.71987884
12,-63.54288525,0.49640401,39.99123,40.04409,48.0,41.79823934,43.0,36.79823934,50.0,43.7988495
13,-63.22723109,0.73145668,94.12913,92.25086,99.0,92.01368905,81.0,74.01368905,NaN,NaN
14,-63.24438428,0.59544235,39.26244,38.86849,52.0,45.11183241,40.0,33.11183241,NaN,NaN
15,-63.41835928,0.70158508,48.17346,48.74832,57.0,50.4253998,50.0,43.4253998,58.0,51.42612096
16,-63.14581055,0.60850098,58.63118,57.87301,61.0,53.9026145,54.0,46.9026145,63.0,55.90274185
17,-63.66069461,0.01395877,50.98137,49.28957,55.0,49.36326555,56.0,50.36326555,57.0,51.36326555
18,-63.18745508,0.39231511,34.00178,34.36811,44.0,37.09300961,32.0,25.09300961,47.0,40.09300961
19,-63.21877489,0.23396146,31.45198,30.8644,40.0,33.24262225,39.0,32.24262225,NaN,NaN
20,-63.18317038,0.80337504,798.4504,800.5176,810.0,802.89166032,801.0,793.89166032,NaN,NaN
21,-63.18473224,0.85591066,159.7825,160.0179,170.0,162.87217683,142.0,134.87217683,NaN,NaN
22,-63.37863458,0.01985257,25.79719,26.16364,36.0,29.71766826,29.0,22.71766826,NaN,NaN
23,-63.55446968,0.28055945,57.50402,56.01431,60.0,53.94667717,55.0,48.94667717,62.0,55.9473
24,-63.07956421,0.23510795,50.4993,51.37289,59.0,51.95088621,53.0,45.95088621,NaN,NaN
25,-63.55209842,0.05940321,32.80306,34.62934,39.0,33.0812548,33.0,27.0812548,38.0,32.0812548
26,-63.25215916,0.52661647,44.4585,43.85838,53.0,46.1610907,50.0,43.1610907,NaN,NaN
27,-63.54644464,0.23927433,48.44629,53.16021,59.0,52.95351505,62.0,55.95351505,61.0,54.95413898
28,-63.8318844,0.99223445,82.66814,83.03522,90.0,84.16917455,81.0,75.16917455,90.0,84.16932638
29,-63.73354048,0.67965764,111.0494,108.3224,121.0,115.12162626,120.0,114.12162626,120.0,114.12177895
