,X,Y,tdx12_Barcelos,tdx30_Barcelos,srtm30_Barcelos,srtm30_wgs84_Barcelos,aster30_Barcelos,aster30_wgs84_Barcelos,aw3d30_Barcelos,aw3d30_wgs84_Barcelos
0,NaN,-62.74087693,-0.78549686,-0.78554444,-0.78554444,-0.78554444,-0.78554444,-0.78554444,-0.78546514,-0.78546514
1,NaN,-62.32313627,-0.00124447,-0.00116135,-0.00116135,-0.00116135,-0.00116135,-0.00116135,-0.00129988,-0.00129988
2,44.73460797,-62.01007276,-0.49315541,-0.49315427,-0.49315427,-0.49315427,-0.49315427,-0.49315427,-0.49315617,-0.49315617
3,45.46660567,-62.27941309,-0.58258841,-0.58260218,-0.58260218,-0.58260218,-0.58260218,-0.58260218,-0.58257924,-0.58257924
4,45.76852058,-62.37521394,-0.67231583,-0.67234455,-0.67234455,-0.67234455,-0.67234455,-0.67234455,-0.67229669,-0.67229669
5,NaN,-62.71115983,-0.47100312,-0.47099828,-0.47099828,-0.47099828,-0.47099828,-0.47099828,-0.47100634,-0.47100634
6,34.68557703,-62.96403197,-0.00052598,-0.00044274,-0.00044274,-0.00044274,-0.00044274,-0.00044274,-0.00058147,-0.00058147
7,NaN,-62.67726494,-0.14900451,-0.14894602,-0.14894602,-0.14894602,-0.14894602,-0.14894602,-0.1490435,-0.1490435
8,NaN,-62.84179757,-0.56599695,-0.56600795,-0.56600795,-0.56600795,-0.56600795,-0.56600795,-0.56598962,-0.56598962
9,NaN,-62.62606468,-0.86830771,-0.86836908,-0.86836908,-0.86836908,-0.86836908,-0.86836908,-0.86826679,-0.86826679
10,26.16720873,-62.21396511,-0.39687787,-0.39686068,-0.39686068,-0.39686068,-0.39686068,-0.39686068,-0.39688933,-0.39688933
11,NaN,-62.52260455,-0.43835694,-0.43834667,-0.43834667,-0.43834667,-0.43834667,-0.43834667,-0.43836379,-0.43836379
12,NaN,-62.54288525,-0.50359639,-0.50359699,-0.50359699,-0.50359699,-0.50359699,-0.50359699,-0.50359599,-0.50359599
13,44.10263312,-62.22723109,-0.2685176,-0.26847902,-0.26847902,-0.26847902,-0.26847902,-0.26847902,-0.26854332,-0.26854332
14,39.24791257,-62.24438428,-0.40454704,-0.40453114,-0.40453114,-0.40453114,-0.40453114,-0.40453114,-0.40455765,-0.40455765
15,49.5969789,-62.41835928,-0.29839252,-0.29835893,-0.29835893,-0.29835893,-0.29835893,-0.29835893,-0.29841492,-0.29841492
16,NaN,-62.14581055,-0.39148696,-0.39146888,-0.39146888,-0.39146888,-0.39146888,-0.39146888,-0.39149902,-0.39149902
17,21.69135743,-62.66069461,-0.98609523,-0.98617624,-0.98617624,-0.98617624,-0.98617624,-0.98617624,-0.98604123,-0.98604123
18,45.25762851,-62.18745508,-0.60769686,-0.6077148,-0.6077148,-0.6077148,-0.6077148,-0.6077148,-0.60768489,-0.60768489
19,43.4496023,-62.21877489,-0.7660681,-0.76611244,-0.76611244,-0.76611244,-0.76611244,-0.76611244,-0.76603854,-0.76603854
20,39.93807688,-62.18317038,-0.19659125,-0.19654069,-0.19654069,-0.19654069,-0.19654069,-0.19654069,-0.19662496,-0.19662496
21,37.90138815,-62.18473224,-0.1440498,-0.14399048,-0.14399048,-0.14399048,-0.14399048,-0.14399048,-0.14408934,-0.14408934
22,27.99379186,-62.37863458,-0.98020078,-0.98028081,-0.98028081,-0.98028081,-0.98028081,-0.98028081,-0.98014743,-0.98014743
23,NaN,-62.55446968,-0.71946494,-0.71950151,-0.71950151,-0.71950151,-0.71950151,-0.71950151,-0.71944055,-0.71944055
24,34.10531265,-62.07956421,-0.76492148,-0.76496563,-0.76496563,-0.76496563,-0.76496563,-0.76496563,-0.76489205,-0.76489205
25,NaN,-62.55209842,-0.94064575,-0.94071918,-0.94071918,-0.94071918,-0.94071918,-0.94071918,-0.94059679,-0.94059679
26,42.31869614,-62.25215916,-0.47338057,-0.47337613,-0.47337613,-0.47337613,-0.47337613,-0.47337613,-0.47338353,-0.47338353
27,NaN,-62.54644464,-0.76075464,-0.7607981,-0.7607981,-0.7607981,-0.7607981,-0.7607981,-0.76072567,-0.76072567
28,52.37293852,-62.8318844,-0.00771086,-0.00762882,-0.00762882,-0.00762882,-0.00762882,-0.00762882,-0.00776555,-0.00776555
29,48.38702212,-62.73354048,-0.3203224,-0.32029246,-0.32029246,-0.32029246,-0.32029246,-0.32029246,-0.32034236,-0.32034236
30,12.65922988,-62.24666655,-0.96654349,-0.96662124,-0.96662124,-0.96662124,-0.96662124,-0.96662124,-0.96649166,-0.96649166
31,NaN,-62.54584023,-0.31354145,-0.31351038,-0.31351038,-0.31351038,-0.31351038,-0.31351038,-0.31356216,-0.31356216
32,24.07636735,-62.8362279,-0.9167631,-0.91683255,-0.91683255,-0.91683255,-0.91683255,-0.91683255,-0.9167168,-0.9167168
33,33.92981266,-62.12066354,-0.38813523,-0.38811659,-0.38811659,-0.38811659,-0.38811659,-0.38811659,-0.38814766,-0.38814766
34,21.96507125,-62.97404907,-0.30974263,-0.30971092,-0.30971092,-0.30971092,-0.30971092,-0.30971092,-0.30976376,-0.30976376
35,43.44236991,-62.96371262,-0.99464488,-0.99472731,-0.99472731,-0.99472731,-0.99472731,-0.99472731,-0.99458993,-0.99458993
36,26.20765764,-62.1576194,-0.63981028,-0.63983358,-0.63983358,-0.63983358,-0.63983358,-0.63983358,-0.63979474,-0.63979474
37,NaN,-62.54290418,-0.37382011,-0.37379908,-0.37379908,-0.37379908,-0.37379908,-0.37379908,-0.37383413,-0.37383413
38,43.86363767,-62.10311057,-0.35782348,-0.35779979,-0.35779979,-0.35779979,-0.35779979,-0.35779979,-0.35783928,-0.35783928
39,NaN,-62.35483711,-0.03388048,-0.0338028,-0.0338028,-0.0338028,-0.0338028,-0.0338028,-0.03393227,-0.03393227
40,NaN,-62.40722432,-0.59750623,-0.59752248,-0.59752248,-0.59752248,-0.59752248,-0.59752248,-0.59749539,-0.59749539
41,NaN,-62.39928826,-0.5598271,-0.55983707,-0.55983707,-0.55983707,-0.55983707,-0.55983707,-0.55982045,-0.55982045
42,NaN,-62.52549322,-0.39875253,-0.39873565,-0.39873565,-0.39873565,-0.39873565,-0.39873565,-0.39876378,-0.39876378
43,30.58430017,-62.50969946,-0.00010799,-2.468e-05,-2.468e-05,-2.468e-05,-2.468e-05,-2.468e-05,-0.00016353,-0.00016353
44,37.91152778,-62.21328205,-0.06782162,-0.0677496,-0.0677496,-0.0677496,-0.0677496,-0.0677496,-0.06786964,-0.06786964
45,NaN,-62.61364109,-0.46445683,-0.46445091,-0.46445091,-0.46445091,-0.46445091,-0.46445091,-0.46446078,-0.46446078
46,34.84333293,-62.19078754,-0.05183863,-0.05176394,-0.05176394,-0.05176394,-0.05176394,-0.05176394,-0.05188842,-0.05188842
47,48.17154451,-62.67944511,-0.21403192,-0.21398426,-0.21398426,-0.21398426,-0.21398426,-0.21398426,-0.21406369,-0.21406369
48,NaN,-62.54367695,-0.15264009,-0.1525822,-0.1525822,-0.1525822,-0.1525822,-0.1525822,-0.15267868,-0.15267868
49,40.06393153,-62.94171618,-0.53856527,-0.5385717,-0.5385717,-0.5385717,-0.5385717,-0.5385717,-0.53856099,-0.53856099
50,44.662773,-62.04124513,-0.29538004,-0.29534594,-0.29534594,-0.29534594,-0.29534594,-0.29534594,-0.29540278,-0.29540278
51,NaN,-62.42153601,-0.41481411,-0.41479991,-0.41479991,-0.41479991,-0.41479991,-0.41479991,-0.41482357,-0.41482357
52,41.01841756,-62.21633001,-0.19481578,-0.19476492,-0.19476492,-0.19476492,-0.19476492,-0.19476492,-0.19484969,-0.19484969
53,21.2172009,-62.90691166,-0.86940915,-0.86947071,-0.86947071,-0.86947071,-0.86947071,-0.86947071,-0.86936811,-0.86936811
54,26.1505933,-62.24896337,-0.26110051,-0.2610607,-0.2610607,-0.2610607,-0.2610607,-0.2610607,-0.26112705,-0.26112705
55,46.16392002,-62.29300442,-0.13900321,-0.13894305,-0.13894305,-0.13894305,-0.13894305,-0.13894305,-0.13904332,-0.13904332
56,47.25068638,-62.28426088,-0.27806384,-0.27802685,-0.27802685,-0.27802685,-0.27802685,-0.27802685,-0.27808849,-0.27808849
57,38.06349739,-62.63132935,-0.22673315,-0.22668761,-0.22668761,-0.22668761,-0.22668761,-0.22668761,-0.22676351,-0.22676351
58,44.36864762,-62.19906138,-0.72092291,-0.72095973,-0.72095973,-0.72095973,-0.72095973,-0.72095973,-0.72089837,-0.72089837
59,NaN,-62.53915652,-0.56951681,-0.56952839,-0.56952839,-0.56952839,-0.56952839,-0.56952839,-0.56950908,-0.56950908
60,39.10435118,-62.4304307,-0.95603234,-0.95610833,-0.95610833,-0.95610833,-0.95610833,-0.95610833,-0.95598167,-0.95598167
61,NaN,-62.42125075,-0.45207609,-0.45206811,-0.45206811,-0.45206811,-0.45206811,-0.45206811,-0.45208142,-0.45208142
62,NaN,-62.59485042,-0.90953919,-0.90960744,-0.90960744,-0.90960744,-0.90960744,-0.90960744,-0.90949369,-0.90949369
63,NaN,-62.50590424,-0.7556092,-0.7556518,-0.7556518,-0.7556518,-0.7556518,-0.7556518,-0.7555808,-0.7555808
64,NaN,-62.4879031,-0.96215506,-0.96223208,-0.96223208,-0.96223208,-0.96223208,-0.96223208,-0.96210371,-0.96210371
65,41.76407673,-62.81788429,-0.54323191,-0.54323911,-0.54323911,-0.54323911,-0.54323911,-0.54323911,-0.54322711,-0.54322711
66,24.34790816,-62.64332651,-0.56069382,-0.56070393,-0.56070393,-0.56070393,-0.56070393,-0.56070393,-0.56068708,-0.56068708
67,40.73512048,-62.14300741,-0.06389598,-0.06382331,-0.06382331,-0.06382331,-0.06382331,-0.06382331,-0.06394443,-0.06394443
68,45.95574216,-62.0073986,-0.80453035,-0.8045811,-0.8045811,-0.8045811,-0.8045811,-0.8045811,-0.80449652,-0.80449652
69,36.74218739,-62.13958011,-0.08346568,-0.08339627,-0.08339627,-0.08339627,-0.08339627,-0.08339627,-0.08351196,-0.08351196
70,42.87773506,-62.45386255,-0.5560209,-0.55603024,-0.55603024,-0.55603024,-0.55603024,-0.55603024,-0.55601468,-0.55601468
71,44.45365738,-62.23467633,-0.71699177,-0.71702793,-0.71702793,-0.71702793,-0.71702793,-0.71702793,-0.71696767,-0.71696767
72,NaN,-62.83028603,-0.38548183,-0.38546274,-0.38546274,-0.38546274,-0.38546274,-0.38546274,-0.38549455,-0.38549455
73,44.35104317,-62.32158903,-0.28938787,-0.28935277,-0.28935277,-0.28935277,-0.28935277,-0.28935277,-0.28941127,-0.28941127
74,NaN,-62.72650808,-0.63353121,-0.63355346,-0.63355346,-0.63355346,-0.63355346,-0.63355346,-0.63351637,-0.63351637
75,34.94483781,-62.88638444,-0.56107265,-0.56108282,-0.56108282,-0.56108282,-0.56108282,-0.56108282,-0.56106586,-0.56106586
76,44.31038908,-62.65315006,-0.47743791,-0.47743415,-0.47743415,-0.47743415,-0.47743415,-0.47743415,-0.47744042,-0.47744042
77,37.86201553,-62.15171324,-0.19843083,-0.19838058,-0.19838058,-0.19838058,-0.19838058,-0.19838058,-0.19846434,-0.19846434
