,aster30_wgs84_Iporanga,aster30_slope_Iporanga
0,860.74479974,23.39197
1,717.08468663,10.56221
2,59.43832324,7.364558
3,141.9121493,3.149758
4,324.1544714,30.78752
5,918.20587197,7.145079
6,736.42852821,23.66807
7,922.59876536,27.30585
8,596.47878055,32.08459
9,747.73511221,17.64537
10,380.58117089,13.60933
11,350.97838131,19.17016
12,622.10217559,6.114594
13,734.41467613,22.92044
14,429.62753323,10.99555
15,617.65357025,14.02322
16,247.49155899,25.90058
17,619.93630572,14.22151
18,92.82183656,1.647949
19,229.05492155,25.27977
20,802.26347466,20.98794
21,780.18764023,8.904212
22,723.53805696,10.96426
23,285.439996,31.47841
24,102.84118027,21.89985
25,398.73722982,28.13721
26,84.73175589,19.52086
27,232.48915275,26.69694
28,705.39832105,10.85068
29,833.95546689,23.70981
30,692.31810922,6.558237
31,818.79487755,25.31738
32,944.04210035,18.48023
33,76.4559684,3.295397
34,1053.08084022,6.031806
35,1057.28564579,2.121966
36,58.81841314,1.396943
37,697.89291325,19.62337
38,37.39494648,4.126228
39,692.16428866,13.58981
40,65.0916842,26.76881
41,115.02857289,9.543724
42,467.91733881,17.94538
43,683.21527345,NaN
44,734.09956255,10.633
45,642.10796108,15.41252
46,703.05435547,4.237371
47,888.7216617,1.116818
48,720.51362351,12.22959
49,596.50341798,13.97118
50,35.23846603,3.784185
51,212.83876408,1.291263
52,784.29480405,16.97913
53,840.0396931,10.14599
54,797.42660348,11.36844
55,869.28317938,18.8432
56,832.48856142,6.072326
57,957.71114282,16.15206
58,253.97345094,21.68412
59,97.20045968,11.81636
60,772.58660999,26.42188
61,776.89508516,9.59935
62,530.75243852,14.17588
63,141.43222719,6.724604
64,709.67577408,7.879592
65,835.41974456,10.55674
66,429.29356473,32.29782
67,698.02818102,3.177042
68,131.76416928,19.15463
69,708.05375175,17.97339
70,58.08653294,21.26483
71,298.02051514,25.65147
72,991.14357317,13.92807
73,873.54430003,4.024162
74,757.49168957,15.59923
75,696.50438134,27.44238
76,756.16581687,29.37608
77,847.23295255,10.29322
78,84.81760308,13.51378
79,477.97328653,19.72029
80,856.24836565,5.138959
81,77.38309627,4.5908
82,717.49035834,17.66607
83,713.22077493,23.79858
84,540.35892645,21.85682
85,393.90148236,13.34084
86,915.9557991,12.52289
87,651.96066562,3.824114
88,965.16703533,11.32567
89,749.34195737,4.574461
90,817.56993175,4.022195
91,881.51584566,19.18454
92,217.49990188,18.43999
93,219.77846547,20.80243
94,793.84325345,31.13174
95,978.91501783,15.22078
96,68.83975517,17.48217
97,779.47788364,17.92569
98,144.60489787,8.280731
99,146.98131254,19.02767
100,624.07666671,18.4365
101,467.93026641,18.60751
102,809.29468498,2.380309
103,152.38704118,9.17314
104,359.1134612,25.96037
105,94.96655194,16.95666
106,541.90812615,10.24595
107,162.05063873,11.05978
108,416.0646754,29.50784
109,672.50295021,5.598941
110,335.59361332,7.388392
111,903.1638336,7.093454
112,685.60552829,15.49586
113,903.2847183,10.41686
114,809.46410077,7.176377
115,477.80175331,19.54758
116,941.83248507,10.54667
117,731.68808094,15.72996
118,362.07046055,26.31549
119,664.28803877,2.402457
120,827.05594528,6.633691
121,258.04514059,6.689223
122,691.040191,23.40858
123,269.74022988,24.07516
124,308.09834541,8.12793
125,719.7733018,10.32545
126,804.88104182,16.39034
127,866.49515855,8.768844
128,788.3271074,16.33314
129,908.08337551,8.996737
130,791.75027207,13.36369
131,331.5703287,32.00364
132,96.46946915,10.99854
133,554.28994735,26.12883
134,659.48807315,7.156306
135,991.17258382,2.670546
136,718.9492846,21.07299
137,777.5112386,24.53013
138,734.25111336,9.103583
139,320.83119018,11.9704
140,326.38836018,26.12323
141,514.55441777,28.22516
142,217.09108568,29.23059
143,974.25327084,11.09262
144,185.12022178,12.33342
145,886.80431002,25.60908
146,479.79318235,25.91458
147,773.09892303,12.25162
148,428.65075442,30.91365
149,690.39068721,15.13634
150,846.48677479,28.89718
151,905.82272344,8.848609
152,552.34257769,24.5829
153,827.18946938,25.68231
154,891.46212832,18.84278
155,667.01628379,11.9673
156,714.23846929,12.98169
157,620.10273573,42.20899
158,757.21816566,14.11161
159,705.59300849,14.99789
160,43.17616168,3.14678
161,148.57255028,10.32818
162,32.31995979,11.51961
163,878.45010017,17.16538
164,755.38485428,3.342794
165,851.439692,17.13445
166,1040.02991428,15.25889
167,769.08739132,16.522
168,402.97475609,27.65937
169,799.010164,15.12859
170,746.36405763,9.244956
171,920.73384808,12.17789
172,834.14885806,15.24384
173,692.09192702,7.846045
174,655.21447256,8.288142
175,242.67129079,26.50227
176,841.61167909,11.00862
177,675.66005154,34.38819
178,443.95228409,18.93782
179,325.23727395,19.98722
180,511.73605273,7.520486
181,824.39445992,30.43984
182,950.00818732,25.11367
183,962.93490059,19.27493
184,147.74492523,7.886208
185,752.67158437,6.827385
186,881.81352953,17.32772
187,647.16756224,11.93675
188,840.52475616,10.53981
189,215.65016729,13.6116
190,53.55553431,12.20361
191,788.27842365,20.62663
192,826.79101219,7.230948
193,426.08316479,36.6525
194,726.52670994,16.23644
195,924.8602945,14.17468
196,474.15885536,33.98742
197,636.02553089,17.36535
198,670.54529972,4.025631
199,696.03906535,14.40701
200,887.66411304,15.13414
201,813.73566629,9.172499
202,885.24017091,14.89303
203,859.71701653,12.24777
204,874.96659486,14.57732
205,911.00707858,9.704448
206,319.08284842,10.10211
207,715.09626895,36.96012
208,931.33462103,13.54673
209,661.01450253,24.99866
210,1002.52670674,4.108592
211,843.02106433,3.185422
212,792.82345972,12.18646
213,573.63620368,32.62533
214,879.58841888,23.03573
215,462.06696815,31.2998
216,852.53389315,33.04713
217,107.17372199,18.06209
218,438.16916062,15.94727
219,827.4186542,9.970031
220,994.57467286,8.295586
221,1003.9768025,7.135075
222,634.16520064,5.849486
223,742.10256553,7.845996
224,187.02948374,18.70164
225,435.81591273,14.53835
226,940.19422877,21.08796
227,347.48730815,21.87123
228,460.14364628,40.65401
229,773.07507003,17.72785
230,315.15512862,15.12686
231,170.74184193,12.01965
232,411.67867058,29.51899
233,341.94700923,18.39971
234,481.30087751,36.19762
235,647.8640317,10.59288
236,64.80581195,4.821954
237,315.84698751,20.25449
238,400.24468277,13.2119
239,744.40321327,13.81937
240,919.66196749,17.20909
241,785.20166155,28.97041
242,468.38436759,16.73457
243,216.40303483,6.567216
244,686.97974389,5.108544
