,aw3d30_wgs84_Pantanal,aw3d30_slope_Pantanal
0,113.86027951,1.541225
1,132.85082933,1.479438
2,139.57643585,1.080303
3,129.80148928,1.240929
4,126.33006136,1.70464
5,124.19137044,0.4649041
6,113.14382117,1.843369
7,122.44747224,1.077959
8,120.81619433,1.53592
9,112.59695565,0.00212936
10,136.20675443,0.7664321
11,123.45256366,4.038202
12,126.64881024,2.426368
13,137.01510924,0.00230971
14,135.33858541,2.219272
15,130.79826512,0.7404029
16,137.93030764,2.022317
17,121.91409798,8.090746
18,131.48664326,0.00232939
19,127.88533236,0.771427
20,142.70622586,8.981627
21,139.61046625,2.063295
22,122.86397721,1.349422
23,119.08291122,0.3356036
24,138.32584383,6.474326
25,131.45007154,1.737555
26,132.49663758,1.083261
27,120.12581191,0.9799932
28,118.70489773,0.7644928
29,118.98282281,0.7385588
30,128.32579003,5.407742
31,125.29845985,1.083183
32,109.40312275,1.54172
33,138.82594812,0.3395359
34,117.78015733,2.482957
35,107.93901675,4.799586
36,133.42566468,3.261781
37,123.40361955,0.3394357
38,139.70097902,2.219236
39,132.03583614,0.4890171
40,126.3180275,1.010403
41,126.2194083,2.438849
42,126.38735589,1.349892
43,125.53944794,NaN
44,140.56885176,2.696355
45,120.8329432,1.34866
46,139.45104091,0.9760768
47,120.58464198,0.4648621
48,124.97319535,2.377119
49,120.09812458,6.380826
50,141.34052507,1.720365
51,130.03276147,1.012776
52,137.8301176,0.6720572
53,110.55640397,0.3385119
54,137.08442892,1.078399
55,137.01284743,1.010387
56,136.25207256,0.3380348
57,122.43729642,1.082725
58,129.73042131,0.00232789
59,132.75718611,4.51991
60,123.02206226,2.169257
61,127.10188524,1.009951
62,112.5542277,1.480321
63,117.96790043,0.9759662
64,118.24804739,0.3358694
65,119.69394396,3.708538
66,118.11745504,1.405511
67,141.29234151,0.9327371
68,138.09605633,2.364005
69,138.31778243,0.3392368
70,126.41682322,1.010286
71,126.86403455,1.013831
72,117.44235768,1.736869
73,136.41523675,2.20379
74,114.54331471,1.787235
75,119.95579782,2.361885
76,121.99808613,4.963118
77,141.58876539,3.366761
78,132.46587346,0.7386747
79,108.65055167,0.77112
80,106.89710994,3.113987
81,144.78850525,3.065293
82,126.77831383,1.786053
83,127.35772008,3.140845
84,119.34472868,1.05364
85,130.69662437,1.844563
86,114.56956239,0.4894122
87,138.22581463,1.188328
88,119.89778297,2.664322
89,122.15247767,1.717913
90,123.27355887,4.186619
91,129.59955421,1.078233
92,117.37226499,2.958857
93,133.55538053,0.7386165
94,129.87768609,2.924652
95,111.07754859,1.085984
96,134.33619913,2.815569
97,127.74389043,0.4853479
98,116.94324361,3.450249
99,129.90340951,2.026801
100,133.71169849,2.03617
101,111.34363186,0.7401038
102,131.3412801,1.374535
103,142.74463263,3.23774
104,146.1446797,1.786513
105,128.88121976,0.7400761
106,109.44309184,0.6735582
107,128.03406248,2.103212
108,124.56340184,1.847166
109,120.8319211,1.190315
110,115.03847519,0.9325862
111,108.62439702,5.466535
112,121.02262181,1.731181
113,119.56374177,1.538615
114,122.03353403,0.4648469
115,111.2252493,2.024629
116,121.81323858,3.032706
117,116.0723482,0.7692091
118,127.97808013,0.930761
119,136.21907734,0.7383978
120,107.27007946,0.7690204
121,134.65666088,0.00237845
122,145.0207343,0.7398331
123,135.2720415,3.49928
124,128.82627176,1.190271
125,114.33694862,3.566033
126,116.32807615,1.009415
127,135.28959768,1.012365
128,138.46063592,1.085367
129,116.66047718,2.361531
130,116.41734027,0.772191
131,116.4995252,1.647691
132,140.61313492,1.083639
133,121.25895989,3.839882
134,111.19785218,2.219429
135,113.65846569,1.406691
136,112.42283579,3.376034
137,118.02522503,0.7667951
138,125.32252215,2.750655
139,128.00515463,1.189285
140,117.08296355,3.499261
141,143.24030013,8.373213
142,123.69244496,0.6740718
143,105.96529105,7.506269
144,127.23958688,3.034078
145,121.53790825,0.00219139
146,118.12047556,4.209276
147,121.89374542,1.48039
148,114.75247391,0.676059
149,125.47850325,1.243827
150,129.11101316,2.034164
151,122.41875004,6.198455
152,121.7408038,1.845754
153,131.2198846,1.540917
154,136.62376355,1.86189
155,140.32576376,0.7644593
156,134.05155691,2.219438
157,136.10824405,4.841533
158,134.12565989,1.34706
159,116.95766448,0.4853073
160,142.18305582,1.010683
161,114.79846895,1.350827
162,141.49682933,1.7248
163,138.25604074,1.238961
164,129.5465308,2.159402
165,129.63294907,1.788164
166,118.24148908,0.6752025
167,141.18441241,2.065743
168,128.0519285,1.051785
169,110.27592837,1.012801
170,131.3984905,1.786491
171,132.77664201,7.379347
172,106.73211629,0.00192438
173,139.52198098,1.049453
174,133.06889439,0.7645887
175,115.41881474,0.9805773
176,123.15324289,0.7416992
177,112.54231843,0.7388445
