,aw3d30_wgs84_RioClaro,aw3d30_slope_RioClaro
0,547.63276505,7.702754
1,599.55688445,1.762474
2,684.53119261,1.058027
3,602.54815861,5.596306
4,549.63889482,12.84343
5,617.12866914,4.086845
6,823.09185957,1.763351
7,713.58421413,5.106624
8,517.20777944,10.23936
9,644.81819098,3.752425
10,667.2919189,0.7426625
11,672.19017679,6.099839
12,617.28591703,2.381168
13,601.07662255,5.392443
14,640.28886809,2.790979
15,732.0170509,7.020294
16,617.31740338,6.267208
17,502.97830713,1.713621
18,573.6254451,7.00159
19,564.83649525,3.333823
20,618.98083478,3.617488
21,629.89090511,1.718312
22,531.06987953,3.774114
23,574.62479438,1.793856
24,600.88107898,1.794115
25,532.95585528,2.054556
26,673.39346389,5.152858
27,525.6922845,4.266016
28,877.20921218,5.480589
29,686.85160248,7.6174
30,561.08967083,1.37094
31,603.96383989,1.432549
32,531.79269311,2.214852
33,660.32420199,2.440811
34,700.65800528,6.14102
35,560.85275718,3.515975
36,598.68376456,0.7876354
37,632.06895758,0.9303799
38,650.28515892,2.440198
39,638.59544661,2.663545
40,614.50936374,6.959712
41,544.45502404,1.504029
42,651.12196727,10.28299
43,758.43113689,NaN
44,576.74286442,2.047721
45,555.17899382,14.11045
46,590.72795345,9.348773
47,789.69966639,3.066384
48,724.68316198,6.50869
49,769.09267802,13.65327
50,586.21613979,1.571405
51,688.20974211,2.732627
52,611.95953512,2.964108
53,513.67864872,5.464281
54,625.05262695,2.964256
55,598.81913206,0.3424379
56,586.0611035,2.380943
57,598.75583483,4.868808
58,561.78175149,5.527863
59,582.39626778,6.949773
60,536.02120095,4.564824
61,682.27079388,2.108664
62,654.89340725,6.818707
63,572.70377859,6.246705
64,547.00976638,6.416559
65,490.18413511,10.42089
66,653.3222178,3.273149
67,640.77701774,3.750645
68,615.95170796,8.721104
69,632.81258918,1.794066
70,585.42061435,4.812051
71,534.76288528,0.00075804
72,994.89927978,13.72274
73,610.05850926,2.778321
74,538.39349132,10.2384
75,548.16981602,18.23867
76,572.1762147,8.505604
77,673.00131773,2.112378
78,568.63580349,9.159782
79,486.5052527,4.443531
80,516.81461483,3.321241
81,584.18199252,3.705413
82,580.03537868,7.476351
83,575.77329215,4.533406
84,534.29249448,5.517301
85,581.62255846,4.105232
86,777.58291733,2.732134
87,636.6840891,1.92862
88,689.72058687,3.621243
89,753.34936938,1.717922
90,686.62272561,3.566772
91,639.89041669,3.81846
92,554.52497969,4.543599
93,586.45027289,2.841229
94,682.32962564,5.490552
95,577.79565403,11.89705
96,555.86118117,0.4649601
97,679.74411766,6.411872
98,531.33513183,5.849547
99,537.61991056,2.05279
100,594.61740586,2.531305
101,494.6304224,1.57744
102,645.65416339,1.269972
103,618.22772722,3.755492
104,635.07478235,7.021881
105,534.60653494,4.03264
106,588.52707,1.369067
107,575.66555495,6.930626
108,654.27406366,1.647626
109,605.00799736,7.681846
110,487.26232381,5.88765
111,473.85791442,2.837245
112,556.07284297,2.555461
113,607.04662031,5.914671
114,696.57772946,13.76114
115,541.48673571,5.382224
116,677.75302161,7.104776
117,738.43815708,6.035682
118,576.77617376,2.395417
119,638.7080345,2.755803
120,463.92520181,7.481514
121,645.14401686,8.597589
122,641.9997259,5.054197
123,604.63138028,8.129291
124,626.06130544,4.638514
125,496.37216889,6.567953
126,736.5863458,0.6837167
127,605.0484571,1.056209
128,602.94473775,6.123452
129,920.71342144,2.225585
130,593.02140532,5.89636
131,482.56529612,5.15771
132,595.5836769,10.19032
133,577.22678135,9.284778
134,752.14379419,7.924281
135,933.83667544,4.870676
136,508.61040126,3.269431
137,524.14340797,3.408635
138,585.89094207,1.276972
139,670.21337673,1.768201
140,599.52123115,2.05618
141,605.2060305,1.717735
142,578.23660905,4.184386
143,511.77539639,5.323229
144,511.64016744,4.205676
145,653.84850506,10.17251
146,558.54063743,13.13484
147,607.12583367,3.416051
148,501.53559209,2.675666
149,596.11784884,0.7894363
150,788.57502888,6.468936
151,767.47359202,1.058035
152,523.7027015,9.440267
153,566.83477845,6.762881
154,663.78261522,6.511393
155,614.73173757,3.303786
156,581.7156102,0.4993377
157,596.72504128,4.008913
158,592.6386983,4.475739
159,774.36127299,8.11834
160,630.19937378,5.180263
161,481.36993426,7.56092
162,654.28189323,2.440126
163,743.98269305,4.950398
164,899.2511035,1.793938
165,712.74067779,4.727142
166,704.83327703,10.40577
167,697.98113498,4.949888
168,649.47320166,3.101057
169,545.82817215,10.25999
170,659.74071066,1.647643
171,650.18332246,4.105077
172,474.75148193,4.609212
173,589.75753484,2.774516
174,602.66304683,0.7425612
175,635.83408085,4.745906
176,684.74470064,13.84891
177,573.70762315,2.445656
178,517.69229333,4.323704
179,581.14429796,3.754083
180,622.29013425,1.056773
181,678.91370145,2.665958
182,642.02396088,5.683436
183,766.76413834,3.818959
184,662.37882201,3.14404
185,611.30830776,2.37924
186,727.74703828,16.86391
187,599.7880361,2.113923
188,668.88982672,3.584494
189,589.84926593,14.71941
190,655.53338164,6.052491
191,621.96656443,1.191365
192,725.41434413,4.1
193,544.60840296,7.48599
194,711.70438731,6.83837
195,607.88825083,6.054343
196,691.05887941,8.111657
197,465.54881069,1.437355
198,562.08582537,3.423478
199,467.61368392,7.134373
200,707.92259734,8.163346
201,792.39350549,1.271646
202,594.95195633,0.3420036
203,705.9913191,3.074067
204,595.00509016,5.386167
205,747.64387224,5.346461
206,608.63406443,0.9304571
207,659.02835418,4.435622
208,511.07813418,1.274541
209,591.65968413,4.078053
210,748.58192487,5.379079
211,631.09066389,1.026042
212,743.56358462,4.196703
213,624.9524555,5.660521
214,811.48446999,4.219717
215,551.76320348,2.792421
216,1007.66842895,12.38762
217,672.14138809,2.984892
218,620.55370854,2.058509
219,673.97321254,0.3408617
220,720.96011387,2.381089
221,578.96644295,1.103433
222,597.66986905,0.7425565
223,579.74626534,3.168476
224,563.70729118,1.191372
225,527.61070417,3.823692
226,620.09848123,4.709187
227,475.47430673,0.00089604
228,580.58153665,13.39188
229,697.97738137,0.00091317
230,607.33264955,5.482096
231,547.48714175,6.64888
232,479.48806075,5.116114
233,522.48383978,3.540791
234,532.20769342,4.086677
235,528.9832704,4.772215
236,589.90412949,5.813578
237,555.51112578,3.203083
238,587.11456428,3.824958
239,590.08180315,17.67858
240,784.50619789,7.555418
241,484.76461417,6.30418
242,526.62664262,4.884715
243,580.65601471,4.101869
244,608.63779618,1.707422
245,539.43564781,5.294549
246,729.60129849,2.354581
247,565.62618814,10.70281
248,586.05238053,6.503151
249,528.65129241,4.224959
250,582.75410784,2.5709
251,856.25023637,7.384839
252,657.97545096,2.847408
253,639.68937132,3.446379
254,677.40058627,2.050823
255,656.50872809,3.327481
256,558.72648253,3.761306
257,576.7537716,8.034407
258,592.92792398,4.141621
259,573.43325087,5.058349
260,723.09154037,10.14947
261,632.33762731,3.704186
262,628.38417718,1.768117
263,723.57323905,8.336901
264,589.84477796,4.673833
265,600.99524642,1.05824
266,584.97734284,14.45936
267,534.71369998,6.126233
268,618.95816367,12.52724
269,574.78265315,5.346016
270,560.59978589,1.435895
271,664.64970442,1.794102
272,736.42044618,5.944986
273,718.69854505,6.561089
274,622.84539311,3.03528
275,558.62104464,0.783911
276,626.23092132,2.778596
277,590.02355548,6.732622
278,820.67282512,4.433193
279,624.48913461,4.540709
280,681.84865073,11.91876
281,586.09412503,1.026564
282,521.46791425,4.751677
283,631.31399162,7.766096
284,527.56859678,11.15545
285,744.0813992,4.478789
286,708.97697981,5.48185
287,793.25420045,4.401148
288,593.84020172,1.270949
289,662.36069478,2.987797
290,592.89729729,3.768392
291,540.51836396,7.900243
292,671.7077692,4.987306
293,582.0530414,6.764505
294,524.03463261,2.785904
295,531.16764277,29.64702
296,683.48120448,1.433634
297,683.10448018,3.528026
298,553.25236311,6.113526
299,784.22177004,12.16458
300,523.82537226,2.05658
301,642.09346148,3.498045
302,497.8626856,8.396217
303,572.71351001,3.419608
304,585.51728177,4.805781
305,623.13338757,5.593499
306,557.39466292,7.063111
307,551.69034306,8.667999
308,612.19912682,0.00087659
309,985.95356685,4.235624
310,584.64619703,3.494303
311,887.18002872,4.146535
312,705.47482399,0.0010436
313,570.15476212,6.319739
314,571.71817632,11.99531
315,813.3749249,7.097697
316,580.07461982,2.73242
317,635.92677793,0.4663568
318,576.75632994,2.84874
319,651.43729612,0.9320453
320,599.81385629,1.649281
321,541.79130377,2.541627
322,536.60147582,5.371282
323,701.57387477,4.531045
324,483.8467178,10.04725
325,784.58266949,9.413797
326,510.44646456,6.451816
327,663.97979595,2.112694
328,593.74761053,2.734009
329,681.36626309,1.056516
330,624.44507394,1.710477
331,519.53205347,2.674105
332,706.98119924,5.392462
333,712.7728489,2.984008
334,631.28098231,1.05815
335,630.90735963,3.404277
336,662.47170018,1.718385
337,573.06532229,6.265378
338,592.96764718,26.38357
339,586.12299583,3.529664
340,620.90098208,2.84694
341,537.7706152,3.824363
342,567.40808135,1.649307
343,539.10681331,25.29828
344,520.75183316,9.086479
345,801.69634806,8.57792
346,584.76020785,1.711771
347,603.70657543,6.899708
348,576.80309933,4.480862
349,620.39351742,7.227478
350,615.05983756,0.9321316
351,540.76171727,2.22628
352,850.78423417,6.88351
353,879.06124467,35.47736
354,528.71855491,8.863329
355,811.70613194,2.848843
356,831.83265562,11.04004
357,678.06041135,1.707419
358,619.25868538,3.408569
359,564.28809293,1.503452
360,617.67107326,2.537611
361,509.28549451,1.769377
362,581.96191994,4.884503
363,555.59086601,4.097676
364,594.18881935,3.758401
365,631.72625704,2.980626
366,623.09907124,6.440054
367,590.87078656,3.529299
368,578.93790035,1.771583
369,538.37296241,6.726409
370,546.12418661,2.572507
371,581.71956345,0.4664376
372,620.04596871,3.407164
373,621.82801001,8.855004
374,643.83517368,3.320556
375,486.51800816,6.813783
376,584.20966122,1.649413
377,508.57676893,2.53309
378,570.45916254,21.0567
379,552.15695495,3.868915
380,676.74148496,3.432493
381,641.89466972,5.323165
382,594.82396155,1.025357
383,458.41759243,1.105555
384,540.06034546,11.03547
385,557.71380023,6.076669
386,524.74643649,4.879718
387,621.02796396,5.816197
388,586.84070205,4.562787
389,649.83098877,0.00080285
390,614.66730947,4.099938
391,601.88781616,2.395605
392,671.8465002,1.189937
393,626.7925621,7.279245
394,626.97254592,9.170257
395,626.93846444,3.452745
396,528.2214864,7.143274
397,1001.40990959,2.32622
398,454.2396758,2.379375
399,540.63676339,3.463477
400,604.99488979,8.476375
401,595.17385804,1.647634
402,751.44658808,1.765888
403,537.16644144,4.406308
404,511.90624198,4.445704
405,672.62311772,1.269847
406,679.06978392,4.514517
407,698.40831504,6.240304
408,786.51814046,0.7857604
409,750.58838556,5.774406
410,635.04358276,1.482967
411,629.38920839,2.730335
412,572.73993165,2.539893
413,954.88740118,5.91838
414,959.66106919,5.953992
415,787.42224056,7.118125
416,488.25331325,8.285812
417,609.94971116,10.58053
418,595.00005324,5.013825
419,601.16312049,3.033523
420,587.74087258,9.488517
421,737.83199751,6.050998
422,757.62301436,5.116485
423,617.95234642,3.497675
424,690.89530839,4.214084
425,699.27374967,1.929021
426,756.74254054,2.108592
427,520.43873211,0.7414429
428,594.83484555,4.633975
429,616.3290377,6.546811
430,595.94172498,7.771018
431,925.30565237,8.441471
432,579.63928751,5.593232
433,468.94519247,12.83488
434,930.30389654,2.113858
435,526.40578346,11.30404
436,532.84433701,5.591598
437,618.25586025,1.19159
438,679.46592346,2.10431
439,583.09454739,0.6838287
440,608.90832306,2.534981
441,638.84321067,2.442215
442,734.62189523,3.114652
443,734.95991237,2.049354
444,621.10043627,5.288905
445,622.88996132,7.512935
446,615.40363821,3.719271
447,546.64976345,5.524309
448,653.940352,0.00092689
449,498.22385776,7.878708
450,602.05679915,4.883268
451,634.93430013,2.985162
452,491.61707088,4.317586
453,539.66336215,2.869837
454,638.29363523,1.501637
455,574.9951905,2.057835
456,497.87919583,1.794564
457,566.87105739,6.265437
458,537.80353546,5.768783
459,655.42460373,17.82753
460,810.19661497,2.438708
461,598.5394757,6.247354
462,636.95270204,7.846964
463,543.78655133,10.18268
464,897.97387501,3.03528
465,720.76259183,11.87454
466,598.12592348,6.001399
467,684.84512429,8.163047
468,511.87182646,5.035595
469,652.57590024,3.761385
470,578.49666534,4.808851
471,873.25287368,10.48346
472,757.43984202,5.107924
473,582.53982141,1.027394
474,680.7085706,20.06683
475,782.62678411,7.55715
476,605.19740213,4.774617
477,733.42838977,2.757283
478,537.32168546,5.511746
479,591.80568206,3.168149
480,612.882143,7.470083
481,521.10990544,5.456811
482,628.75456645,16.07031
483,592.20989383,10.75292
484,678.90586524,28.88925
485,503.32285873,11.19026
486,533.69622233,7.554841
487,665.39596547,2.392012
488,691.15420155,7.153815
489,657.04003978,9.274884
490,620.14155711,3.11651
491,627.92334735,1.795542
492,621.51879545,1.105409
493,581.75363816,2.541297
494,737.23556632,12.01011
495,538.67025289,3.902408
496,501.5527946,4.317315
497,530.68136852,8.862294
498,648.00099668,2.985916
499,710.02747403,4.968145
500,491.40390328,3.704739
501,561.88417061,1.649418
502,597.28959408,6.959945
503,651.32977148,5.021428
504,676.08059984,4.42134
505,469.57552354,2.993453
506,632.41764944,8.688695
507,569.80291532,10.6159
508,708.01465466,2.733156
509,578.4783443,1.929008
510,485.34293272,10.14043
511,664.85112751,5.031945
512,606.512158,1.575044
513,611.60200852,3.797864
514,661.42225034,15.38406
515,505.44163321,7.984292
516,535.37190307,4.8941
517,623.08357945,2.438901
518,609.95169926,2.984422
