,srtm30_wgs84_Barcelos,srtm30_slope_Barcelos
0,19.75079127,0.9870689
1,25.12875874,0.9251108
2,40.73440115,3.273821
3,43.46708861,1.642248
4,43.76900591,1.188607
5,47.44814596,5.587358
6,36.6860074,6.755159
7,52.11395501,5.922746
8,39.84032471,4.641113
9,23.52614111,1.864375
10,28.16720873,6.045239
11,50.95981355,3.831574
12,40.05864102,11.12983
13,42.10263312,4.053378
14,41.24839018,2.07224
15,48.59676526,4.715782
16,45.99467875,2.814819
17,10.69204079,0.00131361
18,41.25831528,5.584995
19,49.4496023,1.772582
20,41.93807688,1.969988
21,36.90117142,6.167729
22,32.99379186,5.43867
23,40.24484467,2.626879
24,30.10531265,10.20177
25,22.39404993,1.313338
26,45.31917593,1.353615
27,22.25443165,3.754263
28,54.3733762,2.376133
29,41.3874847,1.678549
30,15.65991296,1.773268
31,47.92207162,4.828626
32,25.07705051,5.081969
33,30.92960343,5.610326
34,19.96552424,0.00131685
35,45.44305257,0.7367712
36,23.20745531,12.31349
37,49.96083326,0.7360587
38,46.86342762,1.853571
39,44.23276522,2.971973
40,43.7936216,3.302656
41,42.74605605,2.655439
42,49.93729266,2.555465
43,30.58475177,NaN
44,39.91199291,1.189134
45,32.20361944,2.648964
46,35.84379799,1.766534
47,49.17132392,2.649577
48,30.7903784,2.095298
49,42.06461089,4.706266
50,40.66256136,0.9864979
51,45.69292892,9.479052
52,41.01888793,2.080953
53,15.21788361,0.00131494
54,27.15037979,1.911139
55,45.16438615,2.494284
56,47.25047317,2.955914
57,38.06395779,2.298193
58,43.36844776,2.210281
59,50.09846489,1.188614
60,35.10435118,2.641818
61,46.72021899,2.800667
62,20.47806084,3.240751
63,22.15071344,1.997509
64,19.25003584,4.266069
65,39.76475787,3.949892
66,24.34859153,5.89568
67,41.73490164,2.507362
68,42.955542,3.66126
69,38.74196918,1.188637
70,49.87842021,3.422271
71,44.45414366,2.944152
72,35.67457014,2.798683
73,45.35172828,4.275734
74,24.60697713,2.812181
75,35.94551825,2.000948
76,44.31038908,1.999477
77,34.86180072,3.301992
78,44.2434261,1.994975
79,17.33577889,0.00131549
80,49.42361678,1.997569
81,41.94008557,2.944863
82,19.94885523,5.61143
83,41.75222688,1.853692
84,19.50330999,0.9870594
85,45.3849346,2.000969
86,51.84384657,0.00131716
87,41.71638648,4.290266
88,47.02883176,0.3274835
89,37.9878194,3.478957
90,41.9941705,2.395746
91,43.50605321,0.7360498
92,23.45872709,0.7375873
93,41.34139347,2.49435
94,35.56789477,6.336875
95,22.85237796,1.357967
96,44.11559307,1.773572
97,25.63291972,2.558
98,26.89076489,3.964836
99,19.51209329,1.677928
100,27.02951397,1.464193
101,20.08221179,2.323898
102,31.40602237,0.3292522
103,44.90294834,0.9276626
104,43.57661316,0.9251045
105,20.50090225,1.035837
106,28.18169526,2.33082
107,38.58081129,2.928225
108,46.0078623,3.528186
109,27.98872853,1.399123
110,30.97591959,3.561509
111,11.21399268,0.00131283
112,39.0920594,6.664254
113,47.7151594,1.638774
114,29.85490243,1.995379
115,32.04115204,4.018388
