,srtm30_wgs84_RioClaro,srtm30_slope_RioClaro
0,545.63276505,3.643626
1,595.55688445,0.9982976
2,687.53119261,1.105524
3,604.54761261,7.824769
4,547.63835302,11.03769
5,618.12914486,5.057123
6,821.09163587,1.861139
7,718.58421413,6.097575
8,521.20759839,7.68315
9,643.81806503,3.496743
10,669.29235961,0.3415596
11,672.19017679,5.196754
12,616.28637385,0.00090961
13,602.07708307,3.116113
14,641.28872562,1.718954
15,726.0170509,7.424885
16,617.31726889,3.852528
17,499.97819475,1.028642
18,576.62532929,6.812333
19,564.83649525,3.04528
20,619.981302,4.299913
21,628.89090511,1.397658
22,534.06987953,3.407681
23,576.62479438,2.395707
24,602.88107898,1.369658
25,528.95574724,1.774725
26,668.3933273,2.265187
27,525.6922845,9.826119
28,877.20899758,4.192945
29,687.85141075,8.128293
30,560.0895986,3.439023
31,597.96431887,4.952448
32,528.7925529,3.939394
33,660.32420199,1.366614
34,698.65779396,8.129709
35,563.85261507,3.773637
36,598.68337012,2.8681
37,631.06942967,1.366435
38,649.28515892,4.935482
39,639.59544661,2.388784
40,610.50936374,8.128796
41,545.45458918,4.75156
42,634.12179902,5.777771
43,756.43094529,NaN
44,578.74269977,1.997301
45,580.17899382,3.852847
46,589.72778978,9.881419
47,791.69966639,1.102461
48,723.68316198,8.316456
49,768.09248589,13.37559
50,582.21613979,4.212456
51,688.20974211,1.367843
52,612.95937823,2.048239
53,513.67849525,2.062201
54,629.05262695,1.189684
55,601.81896492,2.531262
56,589.0611035,0.7428411
57,599.75564529,6.802152
58,565.78136649,5.527861
59,584.39566608,7.020296
60,540.02120095,5.918173
61,680.27079388,2.666483
62,657.89329027,1.437531
63,572.70335977,7.23523
64,546.00976638,7.985189
65,490.18395404,7.407671
66,654.32205388,3.90308
67,640.77701774,1.706566
68,619.95136575,0.7884359
69,631.81258918,1.763506
70,583.42046732,5.291856
71,530.76238789,0.00075823
72,996.89977269,16.46678
73,611.05881508,1.76679
74,531.39332726,11.13343
75,539.16963064,5.511576
76,568.17668468,6.276489
77,677.00131773,1.43163
78,570.63568901,8.138585
79,485.50508281,5.344401
80,517.81446947,2.055497
81,583.18199252,2.667749
82,577.03537868,8.160077
83,575.77289407,4.096027
84,534.29202913,3.312465
85,583.62215121,1.770474
86,778.58321447,2.848593
87,635.6840891,2.767629
88,689.72037696,6.476422
89,752.34916662,2.388279
90,688.62272561,1.716907
91,642.89041669,2.776423
92,554.52438319,2.226299
93,592.45056698,2.731143
94,687.32992254,3.964917
95,578.79551883,8.984292
96,553.86118117,0.7882426
97,673.74393672,4.443233
98,535.33495814,3.749717
99,539.61978822,5.616789
100,596.61723334,3.166641
101,493.63026751,2.510359
102,644.65416339,1.101674
103,618.22772722,3.768357
104,628.07478235,8.338605
105,533.60612277,6.638354
106,585.52690476,4.633852
107,577.66543524,6.560498
108,651.27452051,4.088937
109,606.00799736,2.056532
110,488.26166568,5.722889
111,473.85777767,0.7888576
112,558.07284297,2.543855
113,604.04710582,4.424483
114,695.57772946,6.560179
115,542.48657008,3.267628
116,683.75302161,6.368963
117,742.43845754,5.144475
118,572.77578331,4.548231
119,636.70852515,2.539499
120,461.92507778,2.739026
121,659.14401686,14.72661
122,641.9997259,6.940514
123,601.63138028,8.246926
124,626.06130544,5.50175
125,497.37199279,5.597726
126,750.5866444,12.8109
127,600.0484571,0.6831261
128,604.94473775,4.513343
129,917.7132142,3.864783
130,594.02140532,5.303191
131,480.56514687,4.87458
132,595.584074,8.469314
133,578.22707808,4.300164
134,752.14357126,9.796016
135,931.83647434,3.406797
136,506.61024347,3.072847
137,525.14273445,4.776575
138,586.89056211,1.77326
139,670.213833,2.053907
140,606.52108362,2.506782
141,605.20588346,0.7861825
142,580.23690612,5.369239
143,511.77524612,4.637697
144,513.64004232,5.024163
145,654.8483189,8.227896
146,552.54001959,10.4763
147,607.1261317,2.114668
148,503.53543688,2.771519
149,593.11784884,1.893052
150,789.57483539,9.276903
151,765.4733775,3.89989
152,521.70228687,5.582013
153,564.83428781,5.760126
154,663.78310258,7.832152
155,615.73173757,5.730451
156,581.7156102,1.366212
157,601.72464113,4.413835
158,587.63919316,3.403049
159,786.36106017,2.381105
160,644.19937378,2.792667
161,478.36976506,3.331572
162,652.28189323,2.730178
163,743.98269305,4.008821
164,902.25089228,3.404616
165,707.74067779,4.61779
166,708.83308104,17.26531
167,669.98113498,1.43081
168,646.47306395,3.496307
169,543.82803746,8.638995
170,661.74071066,5.497078
171,651.18332246,5.247646
172,473.75133282,4.271525
173,592.75753484,1.056161
174,598.66353995,2.048985
175,631.83395918,2.737443
176,687.74500674,11.45986
177,575.7074866,1.106441
178,518.6921446,3.754361
179,583.14429796,5.133427
180,622.29013425,1.710046
181,677.91370145,2.730387
182,640.02378099,4.882115
183,767.76394067,6.113265
184,658.37911839,3.770346
185,611.30808798,3.270068
186,730.74684404,14.80195
187,595.7878717,1.48437
188,669.88982672,4.131816
189,589.84873788,10.63839
190,655.53338164,4.478866
191,626.96703326,1.862941
192,722.41412672,6.096652
193,546.607859,3.458189
194,711.70420144,6.783812
195,605.88855222,7.782158
196,706.0593369,7.246542
197,465.54864348,0.6840597
198,566.08582537,2.54385
199,466.61352322,2.85101
200,709.92259734,6.493213
201,793.39350549,2.664714
202,592.95195633,4.86827
203,704.99179399,1.718966
204,593.00491028,4.199955
205,748.64366274,4.588565
206,608.63406443,4.150843
207,660.02821136,2.10866
208,512.07794691,1.105014
209,592.65968413,1.055754
210,750.58173019,3.790915
211,630.09113746,5.784152
212,742.56388406,3.193821
213,625.95235072,6.618356
214,811.48477409,7.136094
215,552.76320348,1.276459
216,1000.66824016,11.70575
217,670.14138809,2.439464
218,622.55357219,5.088181
219,673.97305155,3.744923
220,721.9599455,2.768957
221,593.96644295,8.285364
222,599.66986905,2.965499
223,581.7461008,0.4665825
224,565.70729118,1.769884
225,531.6105512,6.458126
226,618.09830078,3.117707
227,477.47430673,0.7883012
228,573.58153665,9.693058
229,684.97738137,3.899455
230,608.33219589,4.421255
231,544.48697829,6.030231
232,482.48789961,5.460992
233,521.48366864,4.101072
234,532.20816496,3.114942
235,523.98316142,5.878851
236,587.90412949,5.61724
237,556.51096107,6.212792
238,588.11456428,2.667214
239,600.08210041,12.52896
240,777.50619789,2.100449
241,491.76446461,1.892535
242,531.62664262,6.567858
243,583.65588131,7.135375
244,607.63779618,2.727679
245,537.43519148,3.458452
246,731.60129849,2.498016
247,569.62577172,6.304906
248,590.05267869,8.286486
249,526.65073636,5.553858
250,582.75410784,1.057043
251,858.25023637,4.756936
252,654.97545096,5.344585
253,639.68918865,3.807112
254,678.40102545,1.002064
255,657.50872809,4.002448
256,556.7263476,3.542339
257,580.75365146,6.899941
258,594.92792398,2.509626
259,573.43308166,6.415755
260,723.09122085,9.88439
261,635.33762731,1.927257
262,628.38417718,3.40532
263,721.57304127,7.020222
264,594.84466397,6.94351
265,599.99506473,7.345836
266,586.97715661,14.66423
267,542.71355122,4.562188
268,620.95816367,12.12706
269,577.78254383,1.106572
270,557.59921213,0.6842654
271,663.64952216,3.113718
272,731.42044618,3.431189
273,719.69854505,6.267574
274,616.84539311,1.928789
275,555.62104464,1.763278
276,626.23092132,2.356709
277,590.02403674,7.227299
278,819.67312522,4.083135
279,626.48870716,1.794972
280,677.84847063,10.10749
281,585.09393185,9.520338
282,516.46774221,5.390774
283,627.31442196,6.807019
284,533.56859678,8.918059
285,744.0813992,5.182444
286,712.97681105,3.76653
287,800.25398098,4.226412
288,592.84068045,0.5001075
289,662.36112406,2.669804
290,590.89692915,3.272543
291,542.51836396,6.473962
292,672.7077692,3.406658
293,581.05296266,4.272098
294,524.03453994,2.771563
295,531.16745789,11.14296
296,682.48161487,1.710163
297,681.10448018,2.667672
298,549.25236311,5.807087
299,786.22155201,9.787653
300,524.82522773,5.276054
301,642.09346148,3.498004
302,498.86254805,7.020994
303,572.71299733,1.929078
304,586.51669702,7.899784
305,623.13338757,4.810043
306,552.39400844,8.604581
307,547.69019734,7.381539
308,601.19957283,6.660796
309,970.95337362,5.151661
310,582.64619703,4.741026
311,885.18002872,4.423296
312,703.47461122,0.00104364
313,569.15457592,7.982132
314,570.71817632,9.622004
315,809.37471148,6.428422
316,582.07492669,0.7410095
317,638.92667314,1.387339
318,575.75632994,2.666739
319,654.43729612,2.057425
320,602.81385629,1.770965
321,536.79116996,1.027189
322,536.60132448,6.799572
323,704.57387477,3.852422
324,483.84658368,9.911421
325,790.58246826,4.744319
326,510.44585049,4.09304
327,663.98009865,1.719004
328,594.74747733,3.407649
329,677.36669189,1.272952
330,625.44449334,2.73529
331,520.53147973,1.504844
332,710.98119924,1.271912
333,712.77266523,1.7649
334,634.28098231,1.001636
335,631.90735963,2.112459
336,660.47212206,2.849669
337,573.06497243,4.588169
338,583.96746558,11.03351
339,586.12284502,2.534065
340,620.90098208,4.195658
341,537.77047631,3.497774
342,565.40808135,1.889068
343,530.10662595,11.35821
344,528.75168085,12.59619
345,799.69615205,6.835006
346,583.76020785,1.276511
347,604.70644321,1.106952
348,580.80309933,3.585585
349,623.39337471,8.286361
350,615.05968729,1.571425
351,550.76171727,10.52523
352,845.784537,6.233207
353,895.06154191,33.84666
354,530.71855491,10.89551
355,811.7064341,4.320921
356,833.83245124,4.881954
357,676.06027076,2.389855
358,619.25852661,3.116555
359,563.28809293,2.734146
360,617.67107326,3.639756
361,510.28532346,1.191444
362,582.96182412,1.720927
363,551.5907095,5.263772
364,591.18864116,8.73176
365,635.72625704,3.747822
366,622.09907124,4.212003
367,592.87059893,2.543378
368,578.93778443,1.108165
369,538.37278485,4.753337
370,549.12399397,1.503497
371,580.71942649,2.053565
372,624.04626605,1.768978
373,623.82801001,6.947034
374,640.83517368,5.656169
375,484.51785266,5.962765
376,583.20966122,3.960598
377,505.57676893,5.483989
378,576.45898955,14.90486
379,553.15628063,4.748935
380,675.74148496,4.588117
381,646.89466972,4.099235
382,597.82396155,2.047999
383,458.41742525,1.88877
384,541.06015592,10.18577
385,557.71365965,5.761969
386,526.74629247,5.976685
387,625.02796396,3.273983
388,584.84057456,4.608503
389,647.83086802,0.00080293
390,613.66691786,4.817351
391,599.88770858,2.835677
392,669.84637881,1.647748
393,625.79304828,2.051907
394,624.97254592,5.659549
395,623.93893455,3.850739
396,526.22084081,6.122802
397,998.40990959,1.996801
398,454.23900283,2.051632
399,539.63631142,3.873827
400,603.99488979,5.684654
401,594.17430672,3.03352
402,762.44637346,2.728536
403,536.16644144,3.144177
404,509.90611084,3.782139
405,670.62293659,2.533138
406,681.06978392,8.475337
407,695.40831504,3.758233
408,787.51793663,1.88322
409,751.58838556,7.457814
410,638.04358276,1.384175
411,633.38860439,4.143717
412,575.73993165,2.667516
413,954.88720382,3.75786
414,964.66087934,6.870276
415,790.42254942,4.740215
416,486.25312972,7.20241
417,611.95019839,10.46258
418,595.99959194,3.763559
419,600.16356924,2.326266
420,589.74087258,7.674577
421,740.83182165,6.566061
422,748.62286229,15.7299
423,617.95234642,2.110126
424,693.89578453,3.099532
425,701.27359602,3.144189
426,752.74304082,3.140766
427,520.43826773,2.211194
428,595.83484555,2.541018
429,617.32946733,6.879972
430,595.94172498,4.878831
431,932.30544456,11.76509
432,576.63889546,7.426271
433,470.94507116,11.81661
434,934.30389654,2.667759
435,522.40513286,15.22514
436,531.84420728,3.171022
437,619.25586025,3.273416
438,677.46592346,3.039176
439,581.09454739,3.035252
440,612.90832306,2.214769
441,641.84308781,1.720886
442,731.62168645,2.863574
443,733.95991237,1.025534
444,618.10026586,3.568547
445,618.88984208,4.751955
446,612.40363821,2.439108
447,547.6496293,3.203239
448,652.940352,1.383652
449,496.22367375,3.958837
450,607.05664467,5.591823
451,634.93430013,1.884817
452,490.61691999,7.258455
453,545.66336215,3.497826
454,642.29407471,4.148277
455,574.9951905,1.058992
456,497.87919583,2.446889
457,567.87105739,4.224185
458,534.80340286,5.687294
459,653.42438936,14.99985
460,814.1963918,2.980778
461,594.5394757,9.928291
462,636.95270204,7.892807
463,538.78642961,11.02445
464,900.97417202,1.71971
465,713.76289049,13.72867
466,608.12622072,6.524323
467,687.84542645,10.14592
468,508.87169979,2.446347
469,653.57549742,2.50469
470,576.49666534,3.494604
471,879.25266042,12.95719
472,758.43964549,2.981077
473,580.53924431,2.441497
474,685.70906712,21.03462
475,783.62658317,7.778099
476,602.19770046,2.108649
477,730.42817895,3.762745
478,533.32105929,6.888671
479,592.80568206,0.3418724
480,618.882143,5.180789
481,523.10971907,2.849505
482,617.75486974,16.71245
483,612.20989383,9.178926
484,687.90568162,25.18642
485,503.3222206,8.953646
486,531.69607326,4.090747
487,671.39581995,0.6833544
488,694.15420155,4.213269
489,655.04003978,9.349554
490,619.14155711,3.585197
491,631.92334735,2.572278
492,623.51837282,2.055994
493,580.75350387,0.3432328
494,736.23586477,8.851078
495,539.67012742,1.057007
496,501.5527946,2.052928
497,534.6812416,5.971055
498,649.00099668,3.41365
499,714.02747403,2.39525
500,490.40373606,4.441299
501,561.88417061,1.7184
502,601.28959408,8.149399
503,648.32977148,7.222826
504,687.08059984,1.927238
505,471.57493378,0.7880117
506,633.41764944,10.33464
507,564.80277944,8.578852
508,708.01425015,1.771136
509,580.4783443,2.393881
510,482.34246486,8.475338
511,663.85112751,5.803324
512,604.51201188,2.053322
513,618.60161264,5.020284
514,668.42181364,11.98027
515,507.4414715,5.133743
516,537.37173621,6.052844
517,619.08405069,1.482765
