,srtm30_wgs84_SerraMar,srtm30_slope_SerraMar
0,481.69416242,32.27903
1,1150.08445556,8.535858
2,437.00850089,14.96638
3,1056.26916245,4.152369
4,2.35015477,2.739448
5,877.65457148,33.82352
6,969.44232178,10.53883
7,1574.44076203,20.02057
8,1109.7899486,14.0562
9,72.54354784,14.08468
10,420.20216134,18.06651
11,611.48570103,6.275624
12,1205.51759705,25.11026
13,459.1785182,23.32209
14,452.23116753,13.09957
15,407.34870497,9.703535
16,431.13825991,22.62916
17,626.17150731,22.843
18,542.11108137,7.107987
19,769.08537323,15.02787
20,1.52198569,3.256013
21,652.24617725,27.17267
22,961.38804639,7.952358
23,838.60258759,11.21925
24,473.45728283,7.556335
25,494.74597007,11.82408
26,454.11451673,12.76431
27,1070.7603701,26.68576
28,1371.13250084,38.29985
29,483.48151873,16.49092
30,373.09371035,2.836402
31,1229.13293484,11.20878
32,1262.39439249,28.5299
33,1144.38844576,23.12426
34,508.47612646,8.775776
35,1139.20120563,NaN
36,1234.05931696,21.47525
37,661.5708032,19.46328
38,1396.0317985,16.95818
39,1835.4936315,23.93115
40,1431.35489401,24.38627
41,983.8644338,17.4773
42,540.02443128,19.76241
43,662.39187253,8.134805
44,592.13692956,16.11027
45,1358.83809327,19.5035
46,490.19367996,19.7624
47,1158.16514215,7.28055
48,441.22996926,19.31713
49,1701.46923333,13.65599
50,286.14838128,26.80948
51,1333.52082403,15.23015
52,490.39974399,7.12397
53,145.48747587,23.45809
54,1249.76433109,26.3843
55,1792.6155449,24.66462
56,799.00479008,15.64679
57,889.01478171,27.02589
58,1381.44034619,5.398946
59,1.18837388,1.775809
60,583.71085579,19.92999
61,383.26547241,0.4658079
62,1397.6968634,14.63209
63,994.82604297,28.76916
64,610.60790269,16.73644
65,799.08625303,15.75938
66,781.16266416,18.0693
67,923.92496139,9.73863
68,321.85476178,27.79376
69,448.1243152,18.66908
70,1556.67141303,24.32753
71,708.2184731,15.54416
72,972.69666187,21.53984
73,1541.97636767,19.06957
74,1471.79802257,10.58684
75,1590.3117927,25.50584
76,1499.40990475,42.2974
77,718.29948408,36.04256
78,1173.62258928,9.642591
79,711.24518375,31.5529
80,449.34164082,8.627815
81,374.66731753,15.02997
82,1207.31435243,11.4346
83,1092.80028872,5.80592
84,78.26463485,18.12782
85,1125.06771206,5.433047
86,1414.80753999,23.04499
87,1198.21103143,28.3676
88,469.11048923,7.193815
89,880.99072772,15.83871
90,277.26513069,31.21861
