,X,Y,srtm30_wgs84-aster30_wgs84_abs,srtm30_wgs84-aster30_wgs84_color
0,-47.74087693,-22.78546514,12.0,36:36:255
1,-47.32313627,-22.00129988,3.0,200:200:255
2,-47.01007276,-22.49315617,10.0,255:73:73
3,-47.27941309,-22.58257924,6.0,145:145:255
4,-47.37521394,-22.67229669,2.0,218:218:255
5,-47.71115983,-22.47100634,12.0,36:36:255
6,-47.96403197,-22.00058147,2.0,218:218:255
7,-47.67726494,-22.1490435,4.0,255:183:183
8,-47.84179757,-22.56598962,10.0,255:73:73
9,-47.62606468,-22.86826679,3.0,255:201:201
10,-47.21396511,-22.39688933,0.0,255:255:255
11,-47.52260455,-22.43836379,7.0,255:128:128
12,-47.54288525,-22.50359599,7.0,127:127:255
13,-47.22723109,-22.26854332,4.0,182:182:255
14,-47.24438428,-22.40455765,1.0,255:237:237
15,-47.41835928,-22.29841492,2.0,255:219:219
16,-47.14581055,-22.39149902,13.0,255:19:19
17,-47.66069461,-22.98604123,0.0,255:255:255
18,-47.18745508,-22.60768489,11.0,255:55:55
19,-47.21877489,-22.76603854,13.0,255:19:19
20,-47.18317038,-22.19662496,7.0,127:127:255
21,-47.18473224,-22.14408934,17.0,0:0:255
22,-47.37863458,-22.98014743,1.0,236:236:255
23,-47.55446968,-22.71944055,14.0,255:0:0
24,-47.07956421,-22.76489205,7.0,255:128:128
25,-47.55209842,-22.94059679,2.0,218:218:255
26,-47.25215916,-22.47338353,5.0,163:163:255
27,-47.54644464,-22.76072567,6.0,255:146:146
28,-47.8318844,-22.00776555,2.0,218:218:255
29,-47.73354048,-22.32034236,4.0,182:182:255
30,-47.24666655,-22.96649166,12.0,255:37:37
31,-47.54584023,-22.31356216,2.0,255:219:219
32,-47.8362279,-22.9167168,5.0,163:163:255
33,-47.12066354,-22.38814766,2.0,218:218:255
34,-47.97404907,-22.30976376,3.0,255:201:201
35,-47.96371262,-22.99458993,6.0,145:145:255
36,-47.1576194,-22.63979474,14.0,255:0:0
37,-47.54290418,-22.37383413,0.0,255:255:255
38,-47.10311057,-22.35783928,19.0,255:0:0
39,-47.35483711,-22.03393227,7.0,255:128:128
40,-47.40722432,-22.59749539,2.0,255:219:219
41,-47.39928826,-22.55982045,1.0,236:236:255
42,-47.52549322,-22.39876378,4.0,255:183:183
43,-47.50969946,-22.00016353,0.0,255:255:255
44,-47.21328205,-22.06786964,6.0,255:146:146
45,-47.61364109,-22.46446078,7.0,255:128:128
46,-47.19078754,-22.05188842,4.0,182:182:255
47,-47.67944511,-22.21406369,2.0,255:219:219
48,-47.54367695,-22.15267868,2.0,218:218:255
49,-47.94171618,-22.53856099,5.0,255:164:164
50,-47.04124513,-22.29540278,10.0,255:73:73
51,-47.42153601,-22.41482357,9.0,255:92:92
52,-47.21633001,-22.19484969,6.0,145:145:255
53,-47.90691166,-22.86936811,12.0,36:36:255
54,-47.24896337,-22.26112705,9.0,91:91:255
55,-47.29300442,-22.13904332,4.0,255:183:183
56,-47.28426088,-22.27808849,8.0,255:110:110
57,-47.63132935,-22.22676351,9.0,91:91:255
58,-47.19906138,-22.72089837,10.0,255:73:73
59,-47.53915652,-22.56950908,5.0,163:163:255
60,-47.4304307,-22.95598167,1.0,236:236:255
61,-47.42125075,-22.45208142,0.0,255:255:255
62,-47.59485042,-22.90949369,0.0,255:255:255
63,-47.50590424,-22.7555808,4.0,255:183:183
64,-47.4879031,-22.96210371,3.0,200:200:255
65,-47.81788429,-22.54322711,3.0,200:200:255
66,-47.64332651,-22.56068708,1.0,236:236:255
67,-47.14300741,-22.06394443,5.0,163:163:255
68,-47.0073986,-22.80449652,5.0,255:164:164
69,-47.13958011,-22.08351196,10.0,72:72:255
70,-47.45386255,-22.55601468,1.0,255:237:237
71,-47.23467633,-22.71696767,30.0,0:0:255
72,-47.83028603,-22.38549455,4.0,182:182:255
73,-47.32158903,-22.28941127,4.0,255:183:183
74,-47.72650808,-22.63351637,1.0,236:236:255
75,-47.88638444,-22.56106586,5.0,163:163:255
76,-47.65315006,-22.47744042,2.0,218:218:255
77,-47.15171324,-22.19846434,10.0,255:73:73
78,-47.1799505,-22.61266051,4.0,255:183:183
79,-47.9774082,-22.7900769,1.0,236:236:255
80,-47.96236607,-22.97070811,0.0,255:255:255
81,-47.14958346,-22.30757967,1.0,255:237:237
82,-47.36846015,-22.95148724,2.0,255:219:219
83,-47.34446235,-22.75502713,2.0,218:218:255
84,-47.70504737,-22.56508628,3.0,200:200:255
85,-47.23540296,-22.61951124,11.0,255:55:55
86,-47.9419151,-22.25549955,0.0,255:255:255
87,-47.15162212,-22.01383793,3.0,200:200:255
88,-47.98712656,-22.34955662,14.0,0:0:255
89,-47.66929929,-22.01728851,10.0,72:72:255
90,-47.62753871,-22.15088741,9.0,91:91:255
91,-47.40618286,-22.22009033,7.0,255:128:128
92,-47.65038699,-22.6875448,7.0,255:128:128
93,-47.25027147,-22.50959419,4.0,255:183:183
94,-47.35491551,-22.46631343,6.0,255:146:146
95,-47.75174283,-22.89217641,2.0,255:219:219
96,-47.08754248,-22.7516582,15.0,255:0:0
97,-47.47633999,-22.16179282,1.0,236:236:255
98,-47.8401881,-22.63986632,2.0,218:218:255
99,-47.28301832,-22.63188747,2.0,218:218:255
100,-47.27691909,-22.01871808,4.0,182:182:255
101,-47.8640015,-22.82545111,6.0,145:145:255
102,-47.40846064,-22.08617434,5.0,163:163:255
103,-47.12800326,-22.32921303,6.0,145:145:255
104,-47.03424202,-22.20562844,5.0,255:164:164
105,-47.28143522,-22.62231155,7.0,127:127:255
106,-47.91710265,-22.78146376,2.0,255:219:219
107,-47.30022991,-22.66796793,2.0,255:219:219
108,-47.52616883,-22.49051194,6.0,145:145:255
109,-47.38895625,-22.93596381,8.0,255:110:110
110,-47.88299165,-22.61307056,9.0,91:91:255
111,-47.87711419,-22.97057023,4.0,255:183:183
