,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
0,-62.74087693,-0.78546514,-9999,255:255:255
1,-62.32313627,-0.00129988,-9999,255:255:255
2,-62.01007276,-0.49315617,4.00020682,50:50:255
3,-62.27941309,-0.58257924,1.99951706,153:153:255
4,-62.37521394,-0.67229669,1.99951467,153:153:255
5,-62.71115983,-0.47100634,-9999,255:255:255
6,-62.96403197,-0.00058147,2.00043037,255:153:153
7,-62.67726494,-0.1490435,-9999,255:255:255
8,-62.84179757,-0.56598962,-9999,255:255:255
9,-62.62606468,-0.86826679,-9999,255:255:255
10,-62.21396511,-0.39688933,2.0,255:153:153
11,-62.52260455,-0.43836379,-9999,255:255:255
12,-62.54288525,-0.50359599,-9999,255:255:255
13,-62.22723109,-0.26854332,2.0,153:153:255
14,-62.24438428,-0.40455765,2.00047761,255:153:153
15,-62.41835928,-0.29841492,1.00021364,203:203:255
16,-62.14581055,-0.39149902,-9999,255:255:255
17,-62.66069461,-0.98604123,10.99931664,0:0:255
18,-62.18745508,-0.60768489,3.99931323,51:51:255
19,-62.21877489,-0.76603854,6.0,255:0:0
20,-62.18317038,-0.19662496,2.0,255:153:153
21,-62.18473224,-0.14408934,1.00021673,203:203:255
22,-62.37863458,-0.98014743,5.0,255:0:0
23,-62.55446968,-0.71944055,-9999,255:255:255
24,-62.07956421,-0.76489205,4.0,51:51:255
25,-62.55209842,-0.94059679,-9999,255:255:255
26,-62.25215916,-0.47338353,3.00047979,255:102:102
27,-62.54644464,-0.76072567,-9999,255:255:255
28,-62.8318844,-0.00776555,2.00043768,255:153:153
29,-62.73354048,-0.32034236,6.99953742,0:0:255
30,-62.24666655,-0.96649166,3.00068308,255:102:102
31,-62.54584023,-0.31356216,-9999,255:255:255
32,-62.8362279,-0.9167168,1.00068316,255:204:204
33,-62.12066354,-0.38814766,3.00020923,101:101:255
34,-62.97404907,-0.30976376,1.99954701,153:153:255
