,X,Y,srtm30_wgs84-aw3d30_wgs84_abs,srtm30_wgs84-aw3d30_wgs84_color
0,-56.74087693,-18.78546514,0.0,255:255:255
1,-56.32313627,-18.00129988,1.0,255:192:192
2,-56.01007276,-18.49315617,1.0,191:191:255
3,-56.27941309,-18.58257924,1.99942377,127:127:255
4,-56.37521394,-18.67229669,2.99943312,63:63:255
5,-56.71115983,-18.47100634,3.00051989,255:64:64
6,-56.96403197,-18.00058147,1.99906109,127:127:255
7,-56.67726494,-18.1490435,0.0,255:255:255
8,-56.84179757,-18.56598962,2.00093551,255:128:128
9,-56.62606468,-18.86826679,1.00099306,255:192:192
10,-56.21396511,-18.39688933,0.99948111,191:191:255
11,-56.52260455,-18.43836379,2.0,255:128:128
12,-56.54288525,-18.50359599,2.00051718,255:128:128
13,-56.22723109,-18.26854332,0.99946644,191:191:255
14,-56.24438428,-18.40455765,3.99892635,0:0:255
15,-56.41835928,-18.29841492,1.0,191:191:255
16,-56.14581055,-18.39149902,0.00108911000001,255:255:255
17,-56.66069461,-18.98604123,1.00098072,255:192:192
18,-56.18745508,-18.60768489,1.00109575,255:192:192
19,-56.21877489,-18.76603854,3.0,255:64:64
20,-56.18317038,-18.19662496,2.00053802,255:128:128
21,-56.18473224,-18.14408934,4.0,255:0:0
22,-56.37863458,-18.98014743,2.0,127:127:255
23,-56.55446968,-18.71944055,0.0,255:255:255
24,-56.07956421,-18.76489205,0.0,255:255:255
25,-56.55209842,-18.94059679,4.99898426,0:0:255
26,-56.25215916,-18.47338353,2.99892406,63:63:255
27,-56.54644464,-18.76072567,4.0,0:0:255
28,-56.8318844,-18.00776555,4.00096383,255:0:0
29,-56.73354048,-18.32034236,0.999027,191:191:255
30,-56.24666655,-18.96649166,1.00110182,255:192:192
31,-56.54584023,-18.31356216,1.99946064,127:127:255
32,-56.8362279,-18.9167168,0.000921820000002,255:255:255
33,-56.12066354,-18.38814766,1.0,255:192:192
34,-56.97404907,-18.30976376,0.99908616,191:191:255
35,-56.96371262,-18.99458993,1.99913022,127:127:255
36,-56.1576194,-18.63979474,2.99951438,255:64:64
37,-56.54290418,-18.37383413,1.00053262,255:192:192
38,-56.10311057,-18.35783928,3.0,255:64:64
39,-56.35483711,-18.03393227,4.0,0:0:255
40,-56.40722432,-18.59749539,1.0,255:192:192
41,-56.39928826,-18.55982045,0.000507419999977,254:254:255
42,-56.52549322,-18.39876378,0.00101888,255:255:255
43,-56.50969946,-18.00016353,0.00101685,255:255:255
44,-56.21328205,-18.06786964,2.00105856,255:128:128
45,-56.61364109,-18.46446078,0.0,255:255:255
46,-56.19078754,-18.05188842,2.99893986,63:63:255
47,-56.67944511,-18.21406369,3.0,63:63:255
48,-56.54367695,-18.15267868,2.0,255:128:128
49,-56.94171618,-18.53856099,3.99909296,0:0:255
50,-56.04124513,-18.29540278,2.0,255:128:128
51,-56.42153601,-18.41482357,2.0,255:128:128
52,-56.21633001,-18.19484969,0.99893404,191:191:255
53,-56.90691166,-18.86936811,1.99910126,127:127:255
54,-56.24896337,-18.26112705,1.0,191:191:255
55,-56.29300442,-18.13904332,2.99894778,63:63:255
56,-56.28426088,-18.27808849,0.0,255:255:255
57,-56.63132935,-18.22676351,1.00099669,255:192:192
58,-56.19906138,-18.72089837,0.99952288,255:192:192
59,-56.53915652,-18.56950908,1.99949155,127:127:255
60,-56.4304307,-18.95598167,1.0,191:191:255
61,-56.42125075,-18.45208142,3.0,255:64:64
62,-56.59485042,-18.90949369,4.0010025,255:0:0
63,-56.50590424,-18.7555808,0.99951709,255:192:192
64,-56.4879031,-18.96210371,0.0,255:255:255
65,-56.81788429,-18.54322711,1.00094345,255:192:192
66,-56.64332651,-18.56068708,3.00099084,255:64:64
67,-56.14300741,-18.06394443,1.0,191:191:255
68,-56.0073986,-18.80449652,1.00045218,191:191:255
69,-56.13958011,-18.08351196,0.0,255:255:255
70,-56.45386255,-18.55601468,1.00103728,255:192:192
71,-56.23467633,-18.71696767,2.00061261,255:128:128
72,-56.83028603,-18.38549455,0.000525999999994,255:255:255
73,-56.32158903,-18.28941127,2.99840897,63:63:255
74,-56.72650808,-18.63351637,3.00096669,255:64:64
75,-56.88638444,-18.56106586,5.99907747,0:0:255
76,-56.65315006,-18.47744042,1.00052012,255:192:192
77,-56.15171324,-18.19846434,3.0,255:64:64
78,-56.1799505,-18.61266051,1.99890249,127:127:255
79,-56.9774082,-18.7900769,0.000878180000001,255:255:255
80,-56.96236607,-18.97070811,0.99912816,191:191:255
81,-56.14958346,-18.30757967,4.0,0:0:255
82,-56.36846015,-18.95148724,1.0,191:191:255
83,-56.34446235,-18.75502713,1.00047908,191:191:255
84,-56.70504737,-18.56508628,1.00050821,191:191:255
85,-56.23540296,-18.61951124,0.000492839999993,254:254:255
86,-56.9419151,-18.25549955,2.99854011,63:63:255
87,-56.15162212,-18.01383793,1.0,191:191:255
88,-56.98712656,-18.34955662,3.99909267,0:0:255
89,-56.66929929,-18.01728851,0.99900795,191:191:255
90,-56.62753871,-18.15088741,1.0,255:192:192
91,-56.40618286,-18.22009033,6.0,0:0:255
92,-56.65038699,-18.6875448,0.99950516,191:191:255
93,-56.25027147,-18.50959419,2.99841419,63:63:255
94,-56.35491551,-18.46631343,1.99842656,127:127:255
95,-56.75174283,-18.89217641,0.000951969999988,255:255:255
96,-56.08754248,-18.7516582,3.0,255:64:64
97,-56.47633999,-18.16179282,0.00102480000001,255:255:255
98,-56.8401881,-18.63986632,1.00093263,255:192:192
99,-56.28301832,-18.63188747,2.00107766,255:128:128
100,-56.27691909,-18.01871808,0.00104816000001,255:255:255
101,-56.8640015,-18.82545111,2.00091615,255:128:128
102,-56.40846064,-18.08617434,3.0,255:64:64
103,-56.12800326,-18.32921303,3.0,63:63:255
104,-56.03424202,-18.20562844,4.0,255:0:0
105,-56.28143522,-18.62231155,0.99950522,255:192:192
106,-56.91710265,-18.78146376,0.000900060000006,255:255:255
107,-56.30022991,-18.66796793,0.00107555000002,255:255:255
108,-56.52616883,-18.49051194,0.99948134,191:191:255
109,-56.38895625,-18.93596381,1.0,255:192:192
110,-56.88299165,-18.61307056,2.99957456,63:63:255
111,-56.87711419,-18.97057023,3.99909555,0:0:255
112,-56.41560784,-18.99091949,0.0,255:255:255
113,-56.82168814,-18.46570916,1.99948308,127:127:255
114,-56.58426306,-18.10921496,4.0,255:0:0
115,-56.8715908,-18.74122702,0.000917729999998,255:255:255
116,-56.71896242,-18.2592467,1.0,191:191:255
117,-56.85993492,-18.1427604,1.99849826,127:127:255
118,-56.25673422,-18.73250207,0.99952145,255:192:192
119,-56.36725039,-18.10194038,4.99944353,0:0:255
120,-56.76606898,-18.98035193,2.00094455,255:128:128
121,-56.07574829,-18.9800188,1.0,191:191:255
122,-56.0260924,-18.15751623,3.0,255:64:64
123,-56.13764638,-18.5977401,4.0,255:0:0
124,-56.13994388,-18.92147958,3.0,255:64:64
125,-56.93005968,-18.69490031,0.9990992,191:191:255
126,-56.88281919,-18.23305457,2.00148152,255:128:128
127,-56.2958822,-18.27462369,0.0,255:255:255
128,-56.32009163,-18.87178288,5.0,0:0:255
129,-56.93070657,-18.32234939,0.99907565,191:191:255
130,-56.52567198,-18.98014568,2.0,255:128:128
131,-56.67043509,-18.71970673,0.99901871,191:191:255
132,-56.00400112,-18.5279752,2.00048829,255:128:128
133,-56.70182908,-18.52521124,2.00148937,255:128:128
134,-56.96374071,-18.02829577,2.00093696,255:128:128
135,-56.8987083,-18.37754876,0.99907064,191:191:255
136,-56.88988545,-18.82200253,1.99909268,127:127:255
137,-56.91042312,-18.5550859,1.99958571,127:127:255
138,-56.30340252,-18.82779484,0.000466829999993,254:254:255
139,-56.41419499,-18.41463875,0.99947437,191:191:255
140,-56.58240295,-18.66233425,4.00100641,255:0:0
141,-56.24416165,-18.35283992,1.00107087,255:192:192
142,-56.5660414,-18.48192384,1.00153026,255:192:192
143,-56.9914217,-18.95634344,3.00086135,255:64:64
144,-56.35409934,-18.66684943,0.00106335999999,255:255:255
145,-56.63066269,-18.27890958,0.000996389999997,255:255:255
146,-56.83069139,-18.75917783,3.99954724,0:0:255
147,-56.64193283,-18.44360618,2.00151673,255:128:128
148,-56.74008125,-18.72481385,0.99903971,191:191:255
149,-56.27379301,-18.99482066,0.0,255:255:255
150,-56.60268415,-18.11493405,2.00100266,255:128:128
151,-56.93326778,-18.19232828,3.99906774,0:0:255
152,-56.45278889,-18.73868363,4.0004845,0:0:255
153,-56.29582656,-18.78503181,2.00060879,255:128:128
154,-56.43919225,-18.17024568,1.99944764,127:127:255
155,-56.16183378,-18.04428419,2.0,255:128:128
156,-56.32787555,-18.09214628,0.0,255:255:255
157,-56.30067836,-18.70895775,0.000483869999982,254:254:255
158,-56.36389051,-18.06165517,1.99944006,127:127:255
159,-56.8523297,-18.09785955,1.0009555,255:192:192
160,-56.01069508,-18.27575483,4.0,255:0:0
161,-56.79523364,-18.64415262,0.000946159999998,255:255:255
162,-56.05881819,-18.34224422,3.0,255:64:64
163,-56.30534185,-18.23872435,4.0,0:0:255
164,-56.78468985,-18.01068667,3.99902771,0:0:255
165,-56.45209164,-18.15106015,2.0,127:127:255
166,-56.79929625,-18.33584368,1.99904318,127:127:255
167,-56.06720297,-18.15925359,4.0,255:0:0
168,-56.35638195,-18.55765147,2.99894106,63:63:255
169,-56.79381784,-18.9260221,1.0009365,255:192:192
170,-56.39919548,-18.13181519,1.0,255:192:192
171,-56.37034215,-18.38120291,5.0,255:0:0
172,-56.93439454,-18.92299312,0.99911447,191:191:255
173,-56.19890157,-18.07155883,1.0,255:192:192
174,-56.34509445,-18.06860912,1.99944143,127:127:255
175,-56.57819764,-18.86457883,0.00100763,255:255:255
176,-56.56903868,-18.19691494,0.00156041000001,255:255:255
177,-56.64277271,-18.80109991,1.00098853,255:192:192
178,-56.83941971,-18.85505078,2.00092336,255:128:128
179,-56.17822818,-18.9981785,3.0,63:63:255
180,-56.31093897,-18.42696673,0.0,255:255:255
181,-56.31004374,-18.19977969,1.0,191:191:255
182,-56.64940737,-18.38678054,3.00099123,255:64:64
183,-56.78343313,-18.29090653,4.9990377,0:0:255
184,-56.26775927,-18.46905156,2.99841375,63:63:255
185,-56.96008839,-18.11467562,0.99906852,191:191:255
186,-56.70992182,-18.25237308,4.99902004,0:0:255
187,-56.2327385,-18.10032153,2.99894185,63:63:255
188,-56.41252299,-18.22195195,1.0,191:191:255
189,-56.55749731,-18.86863665,1.00054742,255:192:192
190,-56.07744816,-18.51340935,1.0,255:192:192
191,-56.20116724,-18.19416599,1.99946058,127:127:255
192,-56.95987085,-18.17157348,1.00092745,255:192:192
193,-56.34908994,-18.64392953,1.00056896,255:192:192
194,-56.53794674,-18.16232059,3.99898579,0:0:255
195,-56.64129893,-18.30575711,0.99846604,191:191:255
196,-56.07180882,-18.20772148,1.00052877,255:192:192
197,-56.98411357,-18.81825234,1.9991262,127:127:255
198,-56.37510409,-18.99144019,0.0,255:255:255
