,X,Y,srtm30_wgs84-tdx12_abs,srtm30_wgs84-tdx12_color
0,-48.83286562,-28.32481787,3.83035065,255:174:174
1,-48.81369809,-27.79443069,3.84992161,255:174:174
2,-48.97680062,-27.00098074,7.70898104,91:91:255
3,-48.79183589,-27.25138671,7.53792439,255:96:96
4,-48.89795943,-27.95463583,3.97757088,170:170:255
5,-48.4930075,-27.66942,3.95402644,171:171:255
6,-48.69207993,-27.73937359,1.85767646,215:215:255
7,-48.70516099,-27.84939856,1.50987322,223:223:255
8,-48.50156405,-27.45294306,3.04099634,190:190:255
9,-48.51262786,-27.6823539,1.76924834,255:218:218
10,-48.71263294,-28.2134564,4.68740192,255:156:156
11,-48.70745679,-28.28309064,-9999,255:255:255
12,-48.89156544,-27.0130979,9.21590088,59:59:255
13,-48.82813361,-27.54031079,5.07300411,255:148:148
14,-48.70706695,-27.52887485,7.09028989,255:105:105
15,-48.98326165,-27.52246822,8.16266215,82:82:255
16,-48.7051732,-27.63053357,5.52868231,138:138:255
17,-48.69394313,-27.67258157,1.45175499,255:225:225
18,-48.68375615,-27.00027581,6.61825909,114:114:255
19,-48.7507985,-27.78339051,9.16916002,255:61:61
20,-48.7932421,-27.36105409,7.1952892,102:102:255
21,-48.70567163,-27.25751804,0.24144608,255:250:250
22,-48.96240694,-27.90837286,1.79903977,216:216:255
23,-48.93995802,-28.46633421,1.71460126,255:219:219
24,-48.51558137,-27.4404343,5.1503297,146:146:255
25,-48.76220743,-27.38247445,1.86571102,255:216:216
26,-48.70275595,-27.96057199,10.11411646,40:40:255
27,-48.62670673,-27.76251065,16.21098829,0:0:255
28,-48.88253537,-27.91624305,3.79403113,255:175:175
29,-48.7699456,-27.9456922,1.9432268,213:213:255
30,-48.89053449,-27.65020081,4.94242057,150:150:255
31,-48.82359771,-28.06853095,17.67647233,255:0:0
32,-48.92671797,-27.94633109,5.22684233,255:145:145
33,-48.77628179,-27.80528283,5.63409219,255:136:136
34,-48.98542829,-28.33259637,3.28554578,185:185:255
35,-48.97572611,-28.63726101,-9999,255:255:255
36,-48.45148133,-27.51878438,0.98662064,255:235:235
37,-48.80975555,-27.95311218,5.87993695,130:130:255
38,-48.96253524,-27.43094258,4.8433026,152:152:255
39,-48.99169663,-27.5895855,9.34158964,255:58:58
40,-48.78669804,-27.02915995,1.14190321,230:230:255
41,-48.75976247,-27.25449676,1.10059733,255:232:232
42,-48.61698794,-27.37121903,0.02221524,254:254:255
43,-48.77449961,-28.15965889,1.54229479,222:222:255
44,-48.6622393,-27.27289055,3.0422091,255:191:191
45,-48.89692132,-28.0792412,15.01015461,255:0:0
46,-48.91228097,-28.39226088,11.31268766,255:16:16
47,-48.61845711,-27.14534739,3.77019444,255:176:176
48,-48.4375621,-27.55527265,7.16239605,255:104:104
49,-48.94653121,-28.31806887,5.77434924,132:132:255
50,-48.69437889,-27.82733014,15.38018892,255:0:0
51,-48.92452961,-28.03404568,10.6911451,28:28:255
52,-48.92073865,-28.63702846,-9999,255:255:255
