,X,Y,srtm30_wgs84-tdx30_abs,srtm30_wgs84-tdx30_color
0,-62.74087693,-0.78546514,1.94572127,255:163:163
1,-62.32313627,-0.00129988,1.25875874,255:196:196
2,-62.01007276,-0.49315617,4.52726885,39:39:255
3,-62.27941309,-0.58257924,1.12673861,255:202:202
4,-62.37521394,-0.67229669,0.25669409,242:242:255
5,-62.71115983,-0.47100634,3.14342596,255:106:106
6,-62.96403197,-0.00058147,4.2487674,255:54:54
7,-62.67726494,-0.1490435,0.48911501,255:232:232
8,-62.84179757,-0.56598962,3.01299471,255:112:112
9,-62.62606468,-0.86826679,4.28321111,255:52:52
10,-62.21396511,-0.39688933,1.22834873,255:197:197
11,-62.52260455,-0.43836379,2.81926355,255:121:121
12,-62.54288525,-0.50359599,0.59135102,255:227:227
13,-62.22723109,-0.26854332,0.17678688,246:246:255
14,-62.24438428,-0.40455765,0.79595018,255:218:218
15,-62.41835928,-0.29841492,2.66164526,255:129:129
16,-62.14581055,-0.39149902,1.32904125,191:191:255
17,-62.66069461,-0.98604123,-9999,255:255:255
18,-62.18745508,-0.60768489,0.94246472,210:210:255
19,-62.21877489,-0.76603854,6.4843523,255:0:0
20,-62.18317038,-0.19662496,1.64821688,255:177:177
21,-62.18473224,-0.14408934,0.48947858,231:231:255
22,-62.37863458,-0.98014743,0.08807186,255:251:251
23,-62.55446968,-0.71944055,0.66801533,223:223:255
24,-62.07956421,-0.76489205,4.21642735,54:54:255
25,-62.55209842,-0.94059679,1.89866993,255:165:165
26,-62.25215916,-0.47338353,3.09242593,255:108:108
27,-62.54644464,-0.76072567,5.17387165,255:10:10
28,-62.8318844,-0.00776555,5.8042062,255:0:0
29,-62.73354048,-0.32034236,6.2506253,0:0:255
30,-62.24666655,-0.96649166,0.59848296,255:227:227
31,-62.54584023,-0.31356216,2.30732162,255:146:146
32,-62.8362279,-0.9167168,3.22717051,255:102:102
33,-62.12066354,-0.38814766,1.02881343,255:207:207
34,-62.97404907,-0.30976376,12.85343576,0:0:255
35,-62.96371262,-0.99458993,0.96931257,255:209:209
36,-62.1576194,-0.63979474,1.02576469,206:206:255
37,-62.54290418,-0.37383413,2.68204326,255:128:128
38,-62.10311057,-0.35783928,1.99366762,255:161:161
39,-62.35483711,-0.03393227,1.99920522,255:160:160
40,-62.40722432,-0.59749539,1.7230316,255:174:174
41,-62.39928826,-0.55982045,5.07789395,13:13:255
42,-62.52549322,-0.39876378,1.92759266,255:164:164
43,-62.50969946,-0.00016353,3.30774177,255:98:98
44,-62.21328205,-0.06786964,0.23707291,255:244:244
45,-62.61364109,-0.46446078,0.62616056,225:225:255
46,-62.19078754,-0.05188842,0.35196201,238:238:255
47,-62.67944511,-0.21406369,1.76998392,255:171:171
48,-62.54367695,-0.15267868,4.2633684,255:53:53
49,-62.94171618,-0.53856099,0.24221089,255:244:244
50,-62.04124513,-0.29540278,1.53275864,182:182:255
51,-62.42153601,-0.41482357,0.83795892,255:216:216
52,-62.21633001,-0.19484969,0.23590207,243:243:255
53,-62.90691166,-0.86936811,22.28287639,0:0:255
54,-62.24896337,-0.26112705,0.81049979,255:217:217
55,-62.29300442,-0.13904332,0.85526385,214:214:255
56,-62.28426088,-0.27808849,3.40092317,255:94:94
57,-62.63132935,-0.22676351,0.71118779,255:222:222
58,-62.19906138,-0.72089837,0.16445224,247:247:255
59,-62.53915652,-0.56950908,0.86723489,255:214:214
60,-62.4304307,-0.95598167,2.47477882,137:137:255
61,-62.42125075,-0.45208142,0.59009899,255:227:227
62,-62.59485042,-0.90949369,2.10578084,255:155:155
63,-62.50590424,-0.7555808,3.45228344,255:91:91
64,-62.4879031,-0.96210371,0.18863584,255:247:247
65,-62.81788429,-0.54322711,0.79245213,217:217:255
66,-62.64332651,-0.56068708,2.74662153,255:125:125
67,-62.14300741,-0.06394443,1.82245164,255:169:169
68,-62.0073986,-0.80449652,1.287702,255:194:194
69,-62.13958011,-0.08351196,1.50588918,255:184:184
70,-62.45386255,-0.55601468,5.17247021,255:10:10
71,-62.23467633,-0.71696767,1.17258366,255:200:200
72,-62.83028603,-0.38549455,0.46595986,232:232:255
73,-62.32158903,-0.28941127,0.67180828,255:224:224
74,-62.72650808,-0.63351637,0.41696713,255:236:236
75,-62.88638444,-0.56106586,0.37298175,237:237:255
76,-62.65315006,-0.47744042,1.77275908,255:171:171
77,-62.15171324,-0.19846434,2.87158928,118:118:255
78,-62.1799505,-0.61266051,0.2536439,242:242:255
79,-62.9774082,-0.7900769,2.94337889,255:116:116
80,-62.96236607,-0.97070811,2.10264322,155:155:255
81,-62.14958346,-0.30757967,1.77612443,170:170:255
82,-62.36846015,-0.95148724,0.13219523,255:249:249
83,-62.34446235,-0.75502713,0.46263688,255:234:234
84,-62.70504737,-0.56508628,2.19231001,150:150:255
85,-62.23540296,-0.61951124,1.1769354,199:199:255
86,-62.9419151,-0.25549955,0.59268343,226:226:255
87,-62.15162212,-0.01383793,2.43161648,255:140:140
88,-62.98712656,-0.34955662,5.01213176,255:17:17
89,-62.66929929,-0.01728851,5.9210794,255:0:0
90,-62.62753871,-0.15088741,1.8270195,168:168:255
91,-62.40618286,-0.22009033,3.56981679,85:85:255
92,-62.65038699,-0.6875448,2.45491709,255:139:139
93,-62.25027147,-0.50959419,1.89144347,255:166:166
94,-62.35491551,-0.46631343,0.42921477,255:235:235
95,-62.75174283,-0.89217641,2.78257796,255:123:123
96,-62.08754248,-0.7516582,1.81840693,168:168:255
97,-62.47633999,-0.16179282,1.32530972,255:192:192
98,-62.8401881,-0.63986632,0.52143511,230:230:255
99,-62.28301832,-0.63188747,1.57810329,255:180:180
100,-62.27691909,-0.01871808,1.94509397,255:163:163
101,-62.8640015,-0.82545111,0.76298179,255:219:219
102,-62.40846064,-0.08617434,4.74095237,255:30:30
103,-62.12800326,-0.32921303,0.96627166,209:209:255
104,-62.03424202,-0.20562844,3.87257316,255:71:71
105,-62.28143522,-0.62231155,1.03522225,255:206:206
106,-62.91710265,-0.78146376,0.46572526,255:233:233
107,-62.30022991,-0.66796793,2.16141871,152:152:255
108,-62.52616883,-0.49051194,0.6064123,255:227:227
109,-62.38895625,-0.93596381,9.41088853,255:0:0
110,-62.88299165,-0.61307056,1.93257959,255:164:164
111,-62.87711419,-0.97057023,13.61515732,0:0:255
112,-62.41560784,-0.99091949,0.9185206,211:211:255
113,-62.82168814,-0.46570916,0.4639106,232:232:255
114,-62.58426306,-0.10921496,2.47217243,255:138:138
115,-62.8715908,-0.74122702,3.06019796,109:109:255
116,-62.71896242,-0.2592467,3.45792098,255:91:91
117,-62.85993492,-0.1427604,2.50279848,255:137:137
118,-62.25673422,-0.73250207,4.57106549,37:37:255
119,-62.36725039,-0.10194038,1.05364164,255:205:205
120,-62.76606898,-0.98035193,0.60986991,226:226:255
121,-62.07574829,-0.9800188,3.97908347,65:65:255
122,-62.0260924,-0.15751623,0.5456926,229:229:255
123,-62.13764638,-0.5977401,1.28075532,255:195:195
124,-62.13994388,-0.92147958,2.00750349,159:159:255
125,-62.93005968,-0.69490031,0.42817577,234:234:255
126,-62.88281919,-0.23305457,0.23456601,255:244:244
127,-62.2958822,-0.27462369,3.0400728,110:110:255
128,-62.32009163,-0.87178288,3.47752521,89:89:255
129,-62.93070657,-0.32234939,1.0282056,255:207:207
130,-62.52567198,-0.98014568,2.96405965,255:115:115
131,-62.67043509,-0.71970673,0.36796241,237:237:255
132,-62.00400112,-0.5279752,2.21222449,149:149:255
133,-62.70182908,-0.52521124,0.55768921,228:228:255
134,-62.96374071,-0.02829577,1.98742281,160:160:255
135,-62.8987083,-0.37754876,1.88180096,165:165:255
136,-62.88988545,-0.82200253,32.54907552,0:0:255
137,-62.91042312,-0.5550859,2.64188447,129:129:255
138,-62.30340252,-0.82779484,3.55400133,86:86:255
139,-62.41419499,-0.41463875,1.1288329,255:202:202
140,-62.58240295,-0.66233425,4.58335667,255:38:38
141,-62.24416165,-0.35283992,2.67409275,127:127:255
142,-62.5660414,-0.48192384,3.78048883,255:76:76
143,-62.9914217,-0.95634344,4.85044294,255:25:25
144,-62.35409934,-0.66684943,3.45666925,255:91:91
145,-62.63066269,-0.27890958,2.04313459,157:157:255
146,-62.83069139,-0.75917783,3.30717813,255:98:98
147,-62.64193283,-0.44360618,2.57597015,255:133:133
148,-62.74008125,-0.72481385,1.23379393,255:197:197
149,-62.27379301,-0.99482066,3.54266138,86:86:255
150,-62.60268415,-0.11493405,3.65417076,255:82:82
151,-62.93326778,-0.19232828,2.68160671,127:127:255
152,-62.45278889,-0.73868363,0.08809903,250:250:255
153,-62.29582656,-0.78503181,3.134408,106:106:255
154,-62.43919225,-0.17024568,3.86883996,255:72:72
155,-62.16183378,-0.04428419,2.42926417,255:140:140
156,-62.32787555,-0.09214628,3.39724909,255:94:94
157,-62.30067836,-0.70895775,1.66918709,255:176:176
158,-62.36389051,-0.06165517,0.92236684,255:212:212
159,-62.8523297,-0.09785955,2.16781386,151:151:255
160,-62.01069508,-0.27575483,4.93235365,20:20:255
161,-62.79523364,-0.64415262,0.87959361,255:214:214
162,-62.05881819,-0.34224422,1.44871351,255:187:187
163,-62.30534185,-0.23872435,1.17680777,255:200:200
164,-62.78468985,-0.01068667,4.75904518,255:29:29
165,-62.45209164,-0.15106015,0.13861858,255:249:249
166,-62.79929625,-0.33584368,1.02285723,255:207:207
167,-62.06720297,-0.15925359,0.71111541,255:222:222
168,-62.35638195,-0.55765147,0.21467103,244:244:255
169,-62.79381784,-0.9260221,6.58905502,0:0:255
170,-62.39919548,-0.13181519,0.2263737,255:245:245
171,-62.37034215,-0.38120291,0.69843356,221:221:255
172,-62.93439454,-0.92299312,0.41374363,235:235:255
173,-62.19890157,-0.07155883,0.94602877,255:211:211
174,-62.34509445,-0.06860912,4.58418696,255:38:38
175,-62.57819764,-0.86457883,0.11134763,255:250:250
176,-62.56903868,-0.19691494,3.59668023,255:85:85
177,-62.64277271,-0.80109991,4.26999764,255:53:53
178,-62.83941971,-0.85505078,1.59369629,255:180:180
179,-62.17822818,-0.9981785,6.37148914,0:0:255
180,-62.31093897,-0.42696673,2.54873033,255:134:134
181,-62.31004374,-0.19977969,2.34232408,255:144:144
182,-62.64940737,-0.38678054,0.44857097,255:234:234
183,-62.78343313,-0.29090653,0.26547254,255:243:243
184,-62.26775927,-0.46905156,2.23725982,148:148:255
185,-62.96008839,-0.11467562,1.48212726,184:184:255
186,-62.70992182,-0.25237308,1.56647882,180:180:255
187,-62.2327385,-0.10032153,1.81346102,255:169:169
188,-62.41252299,-0.22195195,2.4205717,255:140:140
189,-62.55749731,-0.86863665,2.70062597,255:127:127
190,-62.07744816,-0.51340935,0.47994114,232:232:255
191,-62.20116724,-0.19416599,0.56003446,228:228:255
192,-62.95987085,-0.17157348,0.31449095,240:240:255
193,-62.34908994,-0.64392953,2.81880127,255:122:122
194,-62.53794674,-0.16232059,4.17837822,255:57:57
195,-62.64129893,-0.30575711,2.10157905,255:156:156
196,-62.07180882,-0.20772148,0.93905028,210:210:255
197,-62.98411357,-0.81825234,5.22530554,6:6:255
