,X,Y,srtm30_wgs84-tdx30_abs,srtm30_wgs84-tdx30_color
0,-47.74087693,-22.78546514,3.05306505,255:170:170
1,-47.32313627,-22.00129988,1.05168445,255:226:226
2,-47.01007276,-22.49315617,6.15629261,255:83:83
3,-47.27941309,-22.58257924,5.44081261,255:103:103
4,-47.37521394,-22.67229669,5.43575302,255:103:103
5,-47.71115983,-22.47100634,5.03634486,255:114:114
6,-47.96403197,-22.00058147,3.84913587,255:148:148
7,-47.67726494,-22.1490435,8.16721413,255:27:27
8,-47.84179757,-22.56598962,7.37389839,255:49:49
9,-47.62606468,-22.86826679,1.46306503,255:215:215
10,-47.21396511,-22.39688933,7.10745961,255:56:56
11,-47.52260455,-22.43836379,3.87007679,255:147:147
12,-47.54288525,-22.50359599,3.46937385,255:158:158
13,-47.22723109,-22.26854332,4.46548307,255:130:130
14,-47.24438428,-22.40455765,5.41952562,255:104:104
15,-47.41835928,-22.29841492,0.1357491,251:251:255
16,-47.14581055,-22.39149902,3.52226889,255:157:157
17,-47.66069461,-22.98604123,3.56119475,255:156:156
18,-47.18745508,-22.60768489,4.84902929,255:120:120
19,-47.21877489,-22.76603854,3.65279525,255:153:153
20,-47.18317038,-22.19662496,3.802202,255:149:149
21,-47.18473224,-22.14408934,3.07080511,255:169:169
22,-47.37863458,-22.98014743,5.49217953,255:102:102
23,-47.55446968,-22.71944055,6.31189438,255:79:79
24,-47.07956421,-22.76489205,6.80267898,255:65:65
25,-47.55209842,-22.94059679,3.46804724,255:158:158
26,-47.25215916,-22.47338353,0.8315727,231:231:255
27,-47.54644464,-22.76072567,3.9171845,255:146:146
28,-47.8318844,-22.00776555,4.41579758,255:132:132
29,-47.73354048,-22.32034236,4.58571075,255:127:127
30,-47.24666655,-22.96649166,6.5089986,255:73:73
31,-47.54584023,-22.31356216,5.41631887,255:104:104
32,-47.8362279,-22.9167168,1.3919529,255:217:217
33,-47.12066354,-22.38814766,5.24840199,255:108:108
34,-47.97404907,-22.30976376,4.05639396,255:142:142
35,-47.96371262,-22.99458993,7.01681507,255:59:59
36,-47.1576194,-22.63979474,6.36027012,255:77:77
37,-47.54290418,-22.37383413,6.08832967,255:85:85
38,-47.10311057,-22.35783928,4.48375892,255:130:130
39,-47.35483711,-22.03393227,6.17224661,255:83:83
40,-47.40722432,-22.59749539,4.71486374,255:123:123
41,-47.39928826,-22.55982045,5.99728918,255:87:87
42,-47.52549322,-22.39876378,3.99969902,255:143:143
43,-47.50969946,-22.00016353,4.87264529,255:119:119
44,-47.21328205,-22.06786964,3.88169977,255:147:147
45,-47.61364109,-22.46446078,27.08559382,255:0:0
46,-47.19078754,-22.05188842,3.22428978,255:165:165
47,-47.67944511,-22.21406369,5.10486639,255:112:112
48,-47.54367695,-22.15267868,2.55386198,255:184:184
49,-47.94171618,-22.53856099,0.84508589,255:232:232
50,-47.04124513,-22.29540278,1.64733979,255:209:209
51,-47.42153601,-22.41482357,7.28874211,255:51:51
52,-47.21633001,-22.19484969,3.61687823,255:154:154
53,-47.90691166,-22.86936811,1.96739525,255:200:200
54,-47.24896337,-22.26112705,5.63652695,255:98:98
55,-47.29300442,-22.13904332,5.85056492,255:92:92
56,-47.28426088,-22.27808849,9.5670035,255:0:0
57,-47.63132935,-22.22676351,5.61744529,255:98:98
58,-47.19906138,-22.72089837,6.50066649,255:73:73
59,-47.53915652,-22.56950908,5.27946608,255:108:108
60,-47.4304307,-22.95598167,4.73670095,255:123:123
61,-47.42125075,-22.45208142,3.13799388,255:168:168
62,-47.59485042,-22.90949369,5.29019027,255:107:107
63,-47.50590424,-22.7555808,7.50335977,255:45:45
64,-47.4879031,-22.96210371,5.63336638,255:98:98
65,-47.81788429,-22.54322711,2.04245404,255:198:198
66,-47.64332651,-22.56068708,6.74315388,255:67:67
67,-47.14300741,-22.06394443,3.98931774,255:144:144
68,-47.0073986,-22.80449652,2.23626575,255:193:193
69,-47.13958011,-22.08351196,1.73138918,255:207:207
70,-47.45386255,-22.55601468,4.01026732,255:143:143
71,-47.23467633,-22.71696767,0.61731211,237:237:255
72,-47.83028603,-22.38549455,4.02957269,255:143:143
73,-47.32158903,-22.28941127,4.15291508,255:139:139
74,-47.72650808,-22.63351637,4.65662726,255:125:125
75,-47.88638444,-22.56106586,2.21886936,192:192:255
76,-47.65315006,-22.47744042,5.96138468,255:88:88
77,-47.15171324,-22.19846434,13.91961773,255:0:0
78,-47.1799505,-22.61266051,7.48668901,255:46:46
79,-47.9774082,-22.7900769,4.99168281,255:116:116
80,-47.96236607,-22.97070811,3.64576947,255:153:153
81,-47.14958346,-22.30757967,4.24249252,255:137:137
82,-47.36846015,-22.95148724,7.12627868,255:56:56
83,-47.34446235,-22.75502713,5.54389407,255:100:100
84,-47.70504737,-22.56508628,8.59482913,255:15:15
85,-47.23540296,-22.61951124,4.64245121,255:125:125
86,-47.9419151,-22.25549955,6.06591447,255:86:86
87,-47.15162212,-22.01383793,4.7392891,255:123:123
88,-47.98712656,-22.34955662,8.25147696,255:24:24
89,-47.66929929,-22.01728851,1.36136662,255:217:217
90,-47.62753871,-22.15088741,5.85742561,255:91:91
91,-47.40618286,-22.22009033,7.10981669,255:56:56
92,-47.65038699,-22.6875448,8.27718319,255:24:24
93,-47.25027147,-22.50959419,8.70726698,255:12:12
94,-47.35491551,-22.46631343,7.26222254,255:52:52
95,-47.75174283,-22.89217641,6.24061883,255:81:81
96,-47.08754248,-22.7516582,3.42968117,255:159:159
97,-47.47633999,-22.16179282,2.59363672,255:183:183
98,-47.8401881,-22.63986632,5.85825814,255:91:91
99,-47.28301832,-22.63188747,7.64358822,255:41:41
100,-47.27691909,-22.01871808,5.97003334,255:88:88
101,-47.8640015,-22.82545111,3.69696751,255:152:152
102,-47.40846064,-22.08617434,4.22736339,255:137:137
103,-47.12800326,-22.32921303,4.92452722,255:118:118
104,-47.03424202,-22.20562844,0.02878235,255:255:255
105,-47.28143522,-22.62231155,4.32922277,255:134:134
106,-47.91710265,-22.78146376,0.52870476,255:241:241
107,-47.30022991,-22.66796793,3.83253524,255:148:148
108,-47.52616883,-22.49051194,4.28272051,255:136:136
109,-47.38895625,-22.93596381,10.07819736,255:0:0
110,-47.88299165,-22.61307056,6.19286568,255:82:82
111,-47.87711419,-22.97057023,5.58257767,255:99:99
112,-47.41560784,-22.99091949,4.95014297,255:117:117
113,-47.82168814,-22.46570916,4.25290582,255:136:136
114,-47.58426306,-22.10921496,8.78082946,255:10:10
115,-47.8715908,-22.74122702,4.30257008,255:135:135
116,-47.71896242,-22.2592467,10.71512161,255:0:0
117,-47.85993492,-22.1427604,7.65195754,255:41:41
118,-47.25673422,-22.73250207,1.74438331,255:207:207
119,-47.36725039,-22.10194038,6.47672515,255:74:74
120,-47.76606898,-22.98035193,6.44557778,255:75:75
121,-47.07574829,-22.9800188,20.35411686,255:0:0
122,-47.0260924,-22.15751623,1.8390259,255:204:204
123,-47.13764638,-22.5977401,2.81858028,255:177:177
124,-47.13994388,-22.92147958,3.37530544,255:161:161
125,-47.93005968,-22.69490031,3.57469279,255:155:155
126,-47.88281919,-22.23305457,17.6238444,255:0:0
127,-47.2958822,-22.27462369,0.3910429,244:244:255
128,-47.32009163,-22.87178288,5.25573775,255:108:108
129,-47.93070657,-22.32234939,1.3422142,255:218:218
130,-47.52567198,-22.98014568,7.30220532,255:51:51
131,-47.67043509,-22.71970673,4.54704687,255:128:128
132,-47.00400112,-22.5279752,4.936974,255:117:117
133,-47.70182908,-22.52521124,4.31307808,255:135:135
134,-47.96374071,-22.02829577,2.93247126,255:173:173
135,-47.8987083,-22.37754876,3.39997434,255:160:160
136,-47.88988545,-22.82200253,3.40534347,255:160:160
137,-47.91042312,-22.5550859,4.93163445,255:117:117
138,-47.30340252,-22.82779484,4.92276211,255:118:118
139,-47.41419499,-22.41463875,4.246933,255:137:137
140,-47.58240295,-22.66233425,8.84988362,255:8:8
141,-47.24416165,-22.35283992,4.76818346,255:122:122
142,-47.5660414,-22.48192384,6.02870612,255:87:87
143,-47.9914217,-22.95634344,5.83264612,255:92:92
144,-47.35409934,-22.66684943,3.34904232,255:162:162
145,-47.63066269,-22.27890958,5.1811189,255:110:110
146,-47.83069139,-22.75917783,4.76671959,255:122:122
147,-47.64193283,-22.44360618,6.5363317,255:72:72
148,-47.74008125,-22.72481385,7.56423688,255:44:44
149,-47.27379301,-22.99482066,4.26784884,255:136:136
150,-47.60268415,-22.11493405,6.37643539,255:77:77
151,-47.93326778,-22.19232828,8.9808225,3:3:255
152,-47.45278889,-22.73868363,4.08708687,255:141:141
153,-47.29582656,-22.78503181,3.52378781,255:157:157
154,-47.43919225,-22.17024568,3.53920258,255:156:156
155,-47.16183378,-22.04428419,2.14393757,255:195:195
156,-47.32787555,-22.09214628,3.1305102,255:168:168
157,-47.30067836,-22.70895775,6.77234113,255:66:66
158,-47.36389051,-22.06165517,2.37669316,255:189:189
159,-47.8523297,-22.09785955,15.72446017,255:0:0
160,-47.01069508,-22.27575483,11.68427378,255:0:0
161,-47.79523364,-22.64415262,7.82116506,255:36:36
162,-47.05881819,-22.34224422,5.60399323,255:99:99
163,-47.30534185,-22.23872435,1.81859305,255:205:205
164,-47.78468985,-22.01068667,6.39439228,255:76:76
165,-47.45209164,-22.15106015,3.79007779,255:149:149
166,-47.79929625,-22.33584368,6.63848104,255:70:70
167,-47.06720297,-22.15925359,3.89176502,145:145:255
168,-47.35638195,-22.55765147,3.39386395,255:160:160
169,-47.79381784,-22.9260221,5.71723746,255:95:95
170,-47.39919548,-22.13181519,5.76731066,255:94:94
171,-47.37034215,-22.38120291,6.32482246,255:78:78
172,-47.93439454,-22.92299312,5.43423282,255:103:103
173,-47.19890157,-22.07155883,5.18973484,255:110:110
174,-47.34509445,-22.06860912,0.12596005,251:251:255
175,-47.57819764,-22.86457883,4.75925918,255:122:122
176,-47.56903868,-22.19691494,12.39530674,255:0:0
177,-47.64277271,-22.80109991,9.5331866,255:0:0
178,-47.83941971,-22.85505078,5.4135446,255:104:104
179,-47.17822818,-22.9981785,6.42099796,255:76:76
180,-47.31093897,-22.42696673,4.80413425,255:121:121
181,-47.31004374,-22.19977969,4.98030145,255:116:116
182,-47.64940737,-22.38678054,3.14948099,255:167:167
183,-47.78343313,-22.29090653,5.01064067,255:115:115
184,-47.26775927,-22.46905156,3.82591839,255:148:148
185,-47.96008839,-22.11467562,3.69128798,255:152:152
186,-47.70992182,-22.25237308,8.38614404,255:21:21
187,-47.2327385,-22.10032153,0.9823717,255:228:228
188,-47.41252299,-22.22195195,6.34382672,255:78:78
189,-47.55749731,-22.86863665,7.40283788,255:48:48
190,-47.07744816,-22.51340935,7.06868164,255:57:57
191,-47.20116724,-22.19416599,4.72703326,255:123:123
192,-47.95987085,-22.17157348,0.0960267200001,255:253:253
193,-47.34908994,-22.64392953,6.349459,255:78:78
194,-47.53794674,-22.16232059,2.92650144,255:174:174
195,-47.64129893,-22.30575711,3.34365222,255:162:162
196,-47.07180882,-22.20772148,16.9639369,255:0:0
197,-47.98411357,-22.81825234,3.93684348,255:145:145
198,-47.37510409,-22.99144019,8.00612537,255:31:31
199,-47.94942739,-22.84455468,4.37122322,255:133:133
200,-47.48538949,-22.267348,4.58999734,255:127:127
201,-47.93500036,-22.14978084,3.70170549,255:152:152
202,-47.18459251,-22.17978516,11.56834367,0:0:255
203,-47.47620803,-22.30409292,2.48819399,255:186:186
204,-47.63403704,-22.37004311,4.06511028,255:142:142
