,X,Y,srtm30_wgs84-tdx30_abs,srtm30_wgs84-tdx30_color
0,-44.74087693,-23.10096031,6.09416242,255:65:65
1,-44.32313627,-22.001822,2.46745556,255:179:179
2,-44.01007276,-22.69124056,4.90510089,255:103:103
3,-44.27941309,-22.8165819,1.17116245,255:219:219
4,-44.37521394,-22.94233586,-9999,255:255:255
5,-44.71115983,-22.66019388,0.96282852,224:224:255
6,-44.96403197,-22.00081502,2.63652178,255:173:173
7,-44.67726494,-22.20890931,2.77976203,255:169:169
8,-44.84179757,-22.79332879,0.8879486,255:228:228
9,-44.62606468,-23.21702061,3.34669216,150:150:255
10,-44.21396511,-22.55630654,1.07193866,221:221:255
11,-44.52260455,-22.61443991,2.43009897,179:179:255
12,-44.54288525,-22.70587371,2.77259705,255:169:169
13,-44.22723109,-22.37640822,2.4371182,255:180:180
14,-44.24438428,-22.56705497,0.04913247,253:253:255
15,-44.41835928,-22.41827825,6.44750497,255:54:54
16,-44.14581055,-22.54875112,1.74795991,255:201:201
17,-44.18745508,-22.85177165,4.20189269,123:123:255
18,-44.18317038,-22.27560265,10.13118137,255:0:0
19,-44.18473224,-22.20196523,0.72437323,255:233:233
20,-44.55446968,-23.00841584,-9999,255:255:255
21,-44.25215916,-22.66352591,2.42642275,179:179:255
22,-44.8318844,-22.01088471,1.19655361,217:217:255
23,-44.73354048,-22.44901321,1.21108759,255:218:218
24,-44.54584023,-22.43950963,0.39671717,242:242:255
25,-44.8362279,-23.28493138,4.46157007,255:116:116
26,-44.12066354,-22.54405363,3.16981673,255:157:157
27,-44.97404907,-22.43418554,7.7343701,255:14:14
28,-44.1576194,-22.89677897,13.25949916,0:0:255
29,-44.54290418,-22.52399084,1.86731873,255:197:197
30,-44.10311057,-22.50157138,3.04881035,255:160:160
31,-44.35483711,-22.04756173,3.63106516,141:141:255
32,-44.40722432,-22.83748938,1.93960751,194:194:255
33,-44.39928826,-22.78468166,5.51755424,82:82:255
34,-44.52549322,-22.55893389,4.39402646,255:119:119
35,-44.50969946,-22.00022921,1.42720563,255:211:211
36,-44.21328205,-22.09513061,7.45531696,255:23:23
37,-44.61364109,-22.65101919,4.0559032,255:129:129
38,-44.19078754,-22.07273026,1.2872015,214:214:255
39,-44.67944511,-22.30004594,8.3726315,255:0:0
40,-44.54367695,-22.21400461,3.71589401,255:140:140
41,-44.94171618,-22.75488298,2.9877662,161:161:255
42,-44.04124513,-22.41405623,2.43086872,179:179:255
43,-44.42153601,-22.58144438,6.34662747,57:57:255
44,-44.21633001,-22.27311431,3.26042956,255:154:154
45,-44.90691166,-23.2185643,2.07909327,255:191:191
46,-44.24896337,-22.36601309,2.77572004,168:168:255
47,-44.29300442,-22.19489238,0.30914215,255:246:246
48,-44.28426088,-22.38978737,3.61873074,142:142:255
