,tdx12_Araca,tdx12_slope_Araca
0,39.56873,17.79127
1,1190.614,27.91923
2,35.65009,4.814418
3,35.4737,3.12543
4,33.29939,1.000602
5,53.19969,2.436462
6,78.3187,1.237497
7,69.34988,0.9758338
8,49.92676,3.292838
9,38.80584,12.63061
10,42.45361,0.7888581
11,46.88574,4.284723
12,39.99123,2.582702
13,94.12913,13.48999
14,39.26244,3.705424
15,48.17346,4.37644
16,58.63118,3.537635
17,50.98137,6.246682
18,34.00178,1.152621
19,31.45198,2.230113
20,798.4504,10.28928
21,159.7825,22.61698
22,25.79719,10.70573
23,57.50402,2.80112
24,50.4993,3.273351
25,32.80306,2.432168
26,44.4585,3.540859
27,48.44629,2.572434
28,82.66814,8.585215
29,111.0494,17.92389
30,24.9302,0.4340898
31,52.97334,6.104002
32,52.66631,4.000081
33,57.29662,7.85591
34,64.27454,3.30473
35,51.62891,2.105215
36,33.19631,1.503909
37,46.33153,4.914149
38,46.78086,2.010062
39,1205.702,12.37786
40,35.43417,1.218646
41,52.92775,2.763327
42,39.07368,16.77621
43,114.5262,3.426237
44,836.6551,14.16643
45,49.36884,1.770799
46,562.6147,41.39691
47,64.39076,3.281813
48,74.67786,2.57697
49,46.86543,1.334353
50,57.9996,1.565348
51,41.19414,0.6956651
52,490.998,22.55419
53,52.41514,3.618662
54,112.1019,7.718857
55,626.9495,10.69051
56,50.39279,2.459335
57,55.07143,2.011032
58,40.12571,3.495336
59,49.78727,4.959855
60,49.41037,2.017672
61,38.98611,2.65477
62,48.97457,1.175377
63,42.62331,18.5762
64,46.66704,9.897105
65,43.96415,1.88165
66,41.48042,5.261112
67,453.3411,32.51108
68,30.6447,0.7231746
69,321.56,17.59882
70,36.97857,1.150155
71,35.69042,2.08272
72,66.78303,4.845928
73,48.45103,0.4626894
74,48.4651,4.541261
75,47.00073,4.407042
76,45.30205,6.088378
77,111.4586,10.38836
78,30.55921,0.3576266
79,54.99242,8.50209
80,54.82015,11.10292
81,97.05477,3.824026
82,24.34939,2.561182
83,46.22055,0.6777239
84,48.4366,0.8628082
85,33.47352,1.404748
86,72.19558,3.452905
87,360.9019,21.36202
88,60.87658,1.723661
89,200.3869,26.90944
90,71.48663,1.333944
91,63.61327,2.55426
92,39.77437,7.432975
93,50.45877,4.908707
94,NaN,NaN
95,57.62724,7.35947
96,28.17783,1.34284
97,81.22368,7.96745
98,47.22696,2.360582
99,32.97403,2.476381
100,842.3891,19.19836
101,54.02387,2.374899
102,1135.084,1.281845
103,53.31384,0.5497451
104,66.45915,9.458341
105,32.57079,0.04550835
106,39.45667,2.13201
107,35.61164,2.084332
108,39.02976,1.457404
109,29.12199,7.047109
110,53.05668,4.601848
111,60.21304,2.337217
112,51.78419,3.768836
113,59.24954,3.710848
114,79.71011,4.157803
115,54.65201,5.437616
116,71.23722,4.085083
117,74.62949,6.970348
118,38.37675,0.8795242
119,1103.828,4.82133
120,55.55757,2.212916
121,30.97438,2.301025
122,77.89368,4.976579
123,42.61619,0.5219688
124,32.97651,2.497647
125,47.7561,3.399679
126,65.04552,5.689277
127,48.98318,1.283775
128,37.09785,3.953185
129,59.06426,4.173693
130,38.01726,10.39776
131,32.03666,0.5223525
132,36.86908,1.85998
133,48.53903,4.603484
134,74.17376,2.492464
135,61.41658,1.44536
136,43.43111,5.347711
137,40.24734,1.543709
138,47.56603,2.837511
139,40.76326,1.683839
140,49.68102,1.548711
141,40.231,2.547567
142,50.21363,0.1168539
143,40.40521,10.6496
144,35.1033,0.7411591
145,59.24564,4.499637
146,50.92464,2.822584
147,53.15725,1.081611
148,53.86617,8.498575
149,44.2024,1.411479
150,80.55275,3.823883
151,97.01168,1.560679
152,49.96795,5.583621
153,53.30785,2.024426
154,278.0825,12.57591
155,104.6272,7.458992
156,1233.824,4.430365
157,33.21789,0.8854156
158,1293.234,19.22482
159,75.8671,6.799748
160,54.14698,3.850593
161,41.03945,3.682672
162,48.8256,1.378791
163,53.63751,1.589812
164,94.4654,4.245531
165,92.82914,7.542505
166,73.94722,7.742026
167,82.79229,8.653531
168,36.93464,2.402459
169,56.56808,8.830848
170,1081.558,3.77238
171,NaN,NaN
172,58.3982,5.045028
173,769.4684,38.7759
174,1351.648,5.401975
175,52.18034,2.40125
176,70.56459,2.720974
177,54.69606,1.248631
178,55.79779,5.241231
179,48.34451,1.723305
180,42.80766,1.471437
181,79.35988,7.873415
182,51.18662,6.765249
183,71.94571,4.013169
184,40.35856,0.7330248
185,83.36248,1.196661
186,44.98724,4.933951
187,765.8632,23.8842
188,62.45846,5.933823
189,51.08236,9.384392
190,33.95681,6.526453
191,670.395,12.70419
192,72.36395,5.70242
193,30.74426,3.270055
194,72.13123,3.186781
195,53.2351,1.431913
196,65.74572,2.967403
197,37.11443,24.11127
198,52.02388,6.981276
199,52.98399,2.955795
200,62.10503,2.971611
201,86.31296,10.84656
202,289.2617,23.76614
203,55.85114,1.201527
204,49.01778,7.902171
205,66.33734,2.36889
206,32.60509,3.933913
207,63.07431,3.132045
208,46.94821,6.331286
209,688.9926,11.9698
210,79.35121,1.648004
211,38.49757,8.053617
212,65.82488,0.5201977
213,50.21982,5.660726
214,73.26321,2.424804
