,tdx12_Barcelos,tdx12_slope_Barcelos
0,17.93057,0.6993686
1,23.80631,0.4044521
2,46.7249,3.054818
3,45.82417,8.069495
4,43.4206,8.960752
5,44.90091,3.851854
6,30.88042,7.409974
7,54.82602,9.232554
8,40.63932,13.79081
9,18.94679,1.883063
10,27.7991,2.80343
11,48.99431,4.184197
12,37.49976,12.56217
13,42.14303,6.357401
14,40.37809,8.639468
15,44.7485,8.582248
16,46.71474,6.34653
17,NaN,NaN
18,43.89897,9.922464
19,43.79023,5.131723
20,40.6581,1.285336
21,37.66019,4.523935
22,33.0073,8.047729
23,39.07642,3.743916
24,36.43496,21.47141
25,22.3499,5.379507
26,42.25453,8.307031
27,16.97046,0.1195164
28,50.5747,2.372576
29,48.37162,9.401114
30,14.64308,2.303505
31,44.26449,3.798078
32,21.20123,6.422653
33,29.34905,5.974612
34,20.85405,21.28667
35,45.81927,2.593828
36,22.67601,4.156549
37,49.91843,12.73237
38,47.0537,7.042117
39,42.54425,2.35412
40,41.54052,6.120423
41,47.14899,6.87927
42,48.16111,2.14064
43,27.20493,0.511399
44,40.18849,0.6217844
45,32.73994,0.7778116
46,36.13727,4.420273
47,47.20701,3.797845
48,26.21796,1.641238
49,43.67019,1.866556
50,43.07649,7.466006
51,43.01407,4.954425
52,41.26437,8.734229
53,40.97943,35.66866
54,26.95286,11.02953
55,45.97482,6.834839
56,43.41014,10.25257
57,38.35989,8.411175
58,42.41916,3.533511
59,50.85926,3.653759
60,37.50969,4.250597
61,45.84037,5.417217
62,21.52726,8.815796
63,19.04355,3.13092
64,19.76501,8.616762
65,40.42737,3.702352
66,22.11923,1.231519
67,41.32926,2.865963
68,44.65709,14.34811
69,37.01956,1.964986
70,43.60186,3.627308
71,43.13112,9.799071
72,36.70016,0.8893747
73,47.69872,4.854152
74,24.49789,4.736026
75,37.40165,4.456146
76,43.23004,2.467513
77,36.39225,7.356001
78,44.2995,11.44096
79,16.59793,12.01146
80,48.57686,4.81759
81,43.99936,1.705623
82,18.50528,0.8922497
83,41.21838,1.900922
84,22.22773,1.779805
85,44.11344,9.200563
86,53.28355,7.227483
87,39.06424,5.949849
88,40.33981,5.748664
89,33.4394,1.81288
90,43.65136,4.751446
91,48.6328,7.106471
92,21.4459,0.1796431
93,40.81356,2.507058
94,30.78633,13.417
95,19.68441,1.49527
96,44.55864,6.748849
97,23.94329,4.54557
98,27.63239,2.206596
99,17.85661,0.6701604
100,25.12001,1.007097
101,17.48468,NaN
102,26.20357,1.123028
103,43.42344,3.646973
104,39.29264,8.735488
105,20.56402,5.014587
106,23.04469,16.31829
107,40.79995,6.780751
108,47.18022,6.922271
109,18.69845,1.651302
110,29.56277,7.84154
111,15.03496,20.89454
112,40.58832,2.740553
113,48.37729,5.780636
114,27.16172,0.9449379
115,35.21035,2.832783
116,41.22965,14.25107
117,47.40689,7.328114
118,46.96309,5.102716
119,29.63266,3.34728
