,tdx12_RioClaro,tdx12_slope_RioClaro
0,542.7656,4.75724
1,593.9855,2.846911
2,681.6071,3.087085
3,598.965,7.552256
4,542.5737,16.37286
5,612.6641,3.103493
6,817.608,2.400547
7,709.827,3.166901
8,513.1719,12.68303
9,643.5699,9.52527
10,662.5616,0.269576
11,667.8759,5.5082
12,612.4584,0.6344708
13,597.34,4.687589
14,636.3313,0.9011701
15,725.8649,5.669886
16,614.1932,12.73536
17,496.4814,0.6796625
18,570.6545,9.221536
19,562.4565,2.799994
20,617.1979,0.8755029
21,625.9445,2.040234
22,528.863,5.96494
23,570.6326,1.148723
24,596.709,1.576258
25,525.3734,2.810745
26,668.7587,2.832715
27,523.1446,2.951566
28,873.2512,6.359804
29,683.2215,8.448536
30,555.0227,10.39581
31,589.8245,10.19054
32,526.4776,4.817609
33,655.1768,1.546815
34,694.7472,6.113938
35,555.6034,2.392004
36,592.6802,2.332477
37,625.7963,7.512212
38,644.4886,1.719242
39,633.6517,0.4013065
40,605.3046,5.563941
41,538.7126,0.9792923
42,638.4699,25.52377
43,751.2694,1.618673
44,575.0811,0.560374
45,552.2961,10.12125
46,582.3458,11.72216
47,785.6691,3.445862
48,717.8289,9.892279
49,765.9713,16.14721
50,580.3813,0.9503092
51,681.8849,1.749938
52,608.8655,2.674525
53,512.1162,4.329085
54,622.8801,2.232239
55,595.7634,1.063515
56,578.9024,5.962247
57,595.4078,6.700029
58,558.101,9.388417
59,579.561,4.311652
60,529.9983,5.547257
61,677.2667,1.878545
62,652.5409,1.451622
63,566.2559,6.696002
64,541.7895,5.878724
65,485.4736,11.17041
66,647.0636,3.02866
67,636.0339,1.932283
68,609.2903,35.26422
69,631.2492,1.878856
70,580.0378,3.358953
71,528.1733,32.42564
72,991.4026,12.94387
73,607.4449,1.589899
74,526.1222,17.61378
75,542.2632,7.169131
76,564.7559,8.411932
77,663.0522,0.7740347
78,563.056,8.666945
79,481.2873,7.777493
80,513.8698,3.092956
81,580.5106,3.705265
82,572.2867,9.322804
83,569.5809,4.63411
84,526.8015,6.519207
85,579.2311,9.996882
86,772.6021,2.001654
87,632.1923,1.961824
88,681.7596,7.400708
89,751.2526,1.609824
90,682.1627,3.919085
91,634.7933,3.618077
92,547.0912,2.940683
93,580.2756,10.12727
94,678.4387,3.86232
95,576.6335,14.86595
96,550.2875,1.520869
97,670.8984,6.169351
98,528.4081,8.249165
99,531.3831,1.676263
100,591.0419,2.459278
101,490.1527,1.9542
102,640.9781,3.677258
103,612.6288,3.239397
104,627.7816,6.84319
105,529.2437,5.527713
106,585.2854,1.073191
107,574.0733,6.325889
108,646.713,1.564942
109,596.6711,12.16529
110,483.2209,7.661667
111,467.7419,1.144475
112,552.8157,2.63451
113,603.9899,6.764387
114,688.3481,14.60355
115,537.627,4.59032
116,672.9619,5.752079
117,735.0225,10.31296
118,571.3466,3.904263
119,630.1428,4.365163
120,455.6381,3.276372
121,641.0461,7.241639
122,640.6938,6.624917
123,597.7793,8.494073
124,623.1915,6.85321
125,491.8538,7.243295
126,732.1994,3.23307
127,600.2134,0.5431765
128,599.2819,5.264116
129,917.7262,2.147949
130,587.5746,4.492699
131,475.5156,13.3867
132,592.5076,9.57865
133,573.9625,3.958993
134,745.8715,7.346357
135,928.5892,4.264096
136,505.2431,7.47026
137,518.9969,6.357432
138,581.9177,0.833088
139,666.0911,1.536463
140,597.4718,2.900393
141,599.3677,5.206025
142,572.7174,5.189593
143,505.2903,5.556741
144,509.9158,3.674394
145,647.9609,9.839264
146,550.1088,19.96255
147,600.6263,1.022661
148,495.06,4.678269
149,588.6838,3.393297
150,785.5559,8.631526
151,774.9869,2.109146
152,517.9005,9.693192
153,562.2148,4.058943
154,659.5385,5.57211
155,613.007,4.132628
156,578.4563,3.357196
157,592.8508,3.924679
158,584.4869,6.009295
159,768.4225,5.758053
160,633.3716,1.552972
161,472.3093,3.13486
162,646.9311,0.8765626
163,741.8694,5.365595
164,896.3855,1.538841
165,705.3849,4.184818
166,700.2051,7.579207
167,674.5003,6.110505
168,643.5912,3.649446
169,537.3253,9.410378
170,656.7454,5.15503
171,645.1385,2.281126
172,468.1624,3.290785
173,585.9573,4.198467
174,598.6024,2.719238
175,626.2222,4.222157
176,677.7758,12.26597
177,566.166,1.067875
178,512.9442,5.798962
179,575.3547,4.670124
180,617.1727,3.054101
181,672.8658,0.08231572
182,637.3451,2.315299
183,762.949,6.262631
184,654.8545,3.787091
185,605.7226,6.498487
186,717.0902,24.50774
187,594.565,2.56015
188,663.6735,2.695958
189,579.0097,16.06468
190,649.1165,7.218106
191,622.0769,0.775847
192,722.6398,4.260716
193,539.9602,9.070745
194,707.0295,8.545169
195,601.6912,8.446341
196,688.9423,10.56421
197,462.3245,0.8077349
198,556.7969,3.998764
199,461.8296,11.55676
200,703.7618,12.63106
201,789.7909,3.190381
202,609.5266,37.18076
203,701.9388,3.278816
204,589.9078,8.801454
205,758.7747,8.50522
206,604.4281,1.413033
207,654.4539,4.363146
208,506.7575,5.5053
209,589.4576,6.978783
210,743.8771,8.582802
211,622.6337,2.564475
212,737.6078,5.888045
213,618.6801,5.193098
214,808.2275,4.1634
215,550.9276,5.199426
216,999.4706,28.29455
217,664.5995,6.753911
218,617.0696,4.730353
219,670.1656,1.247916
220,716.4395,1.660216
221,572.3603,1.421655
