,tdx30_Pantanal,tdx30_slope_Pantanal
0,110.9373,0.164823
1,130.4203,1.527336
2,136.7903,0.5419003
3,125.0413,0.3312331
4,121.6679,1.579752
5,121.0271,4.877572
6,108.9707,0.1819687
7,117.0625,0.710803
8,117.9748,1.306192
9,108.6935,13.62271
10,130.2429,2.588685
11,120.206,1.510108
12,122.3942,5.604422
13,132.416,0.3789414
14,128.8868,1.563521
15,125.5419,0.2274355
16,132.5067,0.5636222
17,114.7882,2.475676
18,128.54,0.9101492
19,124.933,1.107671
20,136.377,8.231138
21,135.3893,3.10767
22,118.4866,1.2105
23,115.6463,0.8162683
24,131.9704,6.571919
25,121.9253,1.943046
26,128.2401,0.1930592
27,113.3295,2.790736
28,114.9736,2.407607
29,116.2293,0.1221314
30,127.7958,7.51912
31,121.2958,0.3771741
32,106.5225,0.2029313
33,133.7043,0.0926684
34,116.0752,4.393253
35,102.3384,2.896622
36,132.5818,3.355951
37,124.3879,1.310536
38,137.748,0.3428768
39,126.6568,0.2064553
40,125.5465,0.6579595
41,122.1601,1.608946
42,121.2363,2.579331
43,122.9026,NaN
44,137.6798,2.604883
45,117.8193,0.1252095
46,132.881,0.6444057
47,117.7681,0.2780738
48,127.8638,4.432272
49,115.9561,5.021931
50,138.7404,2.09434
51,125.7236,1.511038
52,132.232,0.6728028
53,108.2846,0.5774353
54,131.1373,0.08562794
55,131.7067,1.374091
56,130.7781,0.147087
57,118.9775,0.1729731
58,129.0101,1.220701
59,126.8398,1.145391
60,116.8754,2.895266
61,123.6237,0.5748295
62,110.7776,1.012091
63,115.7445,0.3971818
64,117.3078,2.046535
65,120.276,2.904908
66,115.8379,1.343162
67,134.2528,2.560819
68,132.2946,0.2708867
69,134.2199,0.06652205
70,123.4437,0.9073521
71,124.8114,3.152208
72,112.5636,0.6627868
73,128.5715,0.3451303
74,112.5061,0.4448761
75,112.6939,5.367015
76,119.9618,1.88795
77,136.796,3.902743
78,129.4662,0.4181599
79,104.4248,0.06871154
80,104.4143,1.924082
81,142.0253,2.50888
82,122.2723,2.440443
83,127.4638,1.392807
84,113.8553,0.7989823
85,126.5736,2.300343
86,110.3961,0.2356325
87,132.7689,0.223611
88,116.3586,5.588993
89,119.764,0.7611168
90,120.1767,3.007283
91,125.3968,0.4598285
92,113.9713,2.832825
93,128.3523,0.7750842
94,125.0,1.548457
95,109.2365,0.6099215
96,134.5841,3.368679
97,123.588,1.164614
98,114.2503,0.8153394
99,129.3066,1.43012
100,128.7376,0.6689918
101,109.3873,1.570748
102,128.0878,1.788449
103,142.1376,0.252524
104,143.7076,1.268558
105,126.4471,2.145625
106,105.6741,0.07570321
107,127.7568,3.116461
108,120.2873,1.411555
109,117.9127,1.025713
110,109.1771,0.3510856
111,106.6031,4.36177
112,117.0369,0.4811225
113,113.8369,1.870965
114,120.4311,2.640188
115,107.1471,0.4861561
116,116.261,0.6020964
117,112.0902,1.749095
118,122.8474,1.865474
119,128.0994,1.901067
120,107.4155,0.1455708
121,129.9292,1.486516
122,138.7215,2.408731
123,135.0866,4.95085
124,126.7598,3.054031
125,110.4253,3.390721
126,112.0871,0.1308966
127,129.5147,0.07903846
128,133.9058,0.5372355
129,111.0397,0.8249633
130,117.4069,0.7669771
131,113.522,1.18312
132,137.8284,1.39965
133,116.4691,3.030145
134,109.3448,0.7864047
135,110.8973,0.2164602
136,107.1366,0.318485
137,113.1815,2.026317
138,121.1992,1.510492
139,124.1925,0.1104551
140,115.3957,1.443311
141,142.3963,3.894226
142,118.7551,0.8256336
143,107.5337,8.005547
144,124.5899,2.105243
145,118.9686,0.1531056
146,116.74,4.704151
147,120.445,1.839239
148,112.2738,1.333064
149,122.5727,0.09056333
150,127.6358,3.321255
151,119.809,4.547912
152,117.114,0.4632412
153,128.6436,1.382889
154,128.6043,7.967418
155,136.139,3.661587
156,127.9709,1.156765
157,131.3054,1.182232
158,131.7547,2.68535
159,112.4991,2.275547
160,139.0312,1.703943
161,109.9626,0.1853399
162,139.4915,3.395761
163,129.3673,1.018563
164,123.8967,0.250044
165,124.2969,0.3483722
166,114.0495,0.04432289
167,138.5813,4.468393
168,123.2061,0.4427216
169,107.6086,1.273272
170,126.1337,1.183603
171,129.6788,5.582469
172,103.569,0.871188
173,137.2654,1.040394
174,128.8712,0.5825716
175,113.2062,0.1446762
176,120.5532,0.2616409
177,110.6966,0.3666241
178,107.5214,1.140798
179,125.9661,0.2567804
180,130.6493,2.44558
181,131.9002,8.392543
182,119.9825,0.7933554
183,114.9852,0.5068392
184,127.1242,0.07287851
185,111.3321,1.326853
186,116.4212,0.2327375
187,130.9977,1.113538
188,125.2516,0.8324794
189,113.2646,6.450116
190,133.4262,0.5732517
191,140.2375,3.768683
192,109.9601,0.10721
193,122.9435,2.573678
194,126.7078,7.185132
195,118.5021,0.01876905
196,137.9632,2.767295
197,104.7178,1.470944
198,119.3104,0.1050817
199,110.6509,3.300316
200,127.4894,2.983973
201,110.7644,0.3676118
202,135.327,8.077343
203,123.3334,0.1076452
204,127.19,1.907812
205,113.2597,4.023294
206,122.7135,0.4401813
207,146.4431,4.601641
208,119.6472,2.070234
209,131.1958,0.2705439
210,118.7996,0.4138435
211,120.1875,3.878098
212,113.0018,0.6123201
213,121.4784,1.628047
214,114.6995,0.1240974
215,127.6954,3.617843
216,122.9595,1.573384
217,139.9153,0.5384312
218,126.2808,3.872012
219,129.3164,0.06421597
220,125.7121,0.3022071
221,120.0953,3.067945
222,136.571,1.10662
223,137.2263,4.306536
224,131.7643,4.183689
225,108.9718,0.245537
226,125.9788,12.41831
227,116.3396,0.6148354
228,121.82,3.059862
229,138.101,1.502189
230,118.6988,0.6245348
231,108.1736,0.2460545
232,113.2795,1.490692
233,105.4304,0.3758742
234,115.5422,3.374606
235,114.6801,2.301798
236,133.5058,4.394538
237,106.3601,0.2212458
238,126.3085,0.4192514
239,115.5445,1.150382
240,114.0472,0.4442154
241,103.0041,1.473101
242,115.6959,0.3893737
243,116.512,0.9608052
244,135.1781,2.569431
245,114.0874,1.971986
246,123.2546,3.836497
247,130.6094,4.443296
248,116.6807,0.6597918
249,116.4846,0.2350159
250,130.1674,0.2917548
251,121.3221,1.090826
252,122.6021,1.292794
253,127.1489,1.208063
254,124.0058,1.488524
255,139.2646,0.6656774
256,116.83,1.839549
257,118.2608,0.7311698
258,134.7698,1.321451
259,108.7119,0.3357049
260,133.0468,6.780539
261,129.6599,0.4251151
262,130.0221,0.3524241
263,116.9562,0.2378125
264,123.6242,3.866626
265,118.9762,1.75522
266,114.36,0.6339257
267,114.5174,3.376134
268,132.1375,9.984159
269,125.2456,3.896321
270,117.3345,1.022069
271,125.3489,0.4597723
272,123.0616,1.92989
273,124.7994,2.696312
274,138.503,0.1625279
275,129.5568,4.450866
276,135.8452,0.3928424
277,115.4796,1.387248
278,114.0255,0.4508955
279,129.693,4.926181
280,121.5987,0.111209
281,108.7606,0.2226366
282,107.036,1.244202
283,139.0515,1.596331
284,109.7604,0.1881952
285,140.1137,1.978814
286,125.1533,0.1358477
287,110.84,1.642407
288,132.8718,1.318874
289,133.0253,0.3601075
290,127.8221,1.63515
291,120.2356,3.04897
292,127.2631,2.234392
293,126.7976,0.3313614
294,125.6979,1.332017
295,109.3688,0.3677616
296,137.2559,0.8888071
297,138.176,0.0850205
298,121.3249,1.949697
299,110.7445,2.053821
300,103.401,3.009596
301,136.1954,0.2239906
302,103.8803,0.3395623
303,129.3961,0.7782679
304,121.8165,1.279208
305,135.9866,0.1741519
306,106.6818,0.1434546
307,108.6325,2.589341
308,135.4071,0.8132815
309,111.6214,0.2895962
310,120.7741,1.395959
311,111.7368,0.922662
312,111.7551,0.1804616
313,122.9314,12.51068
314,133.2487,2.116887
315,111.8316,2.071555
316,131.8696,0.5657377
317,113.9237,0.1793456
318,130.4412,0.2289068
319,125.3719,0.1576739
320,121.2657,0.4743708
321,109.1961,0.2788538
322,110.0819,0.1238964
323,125.0417,3.093598
324,107.3789,0.4466825
325,115.2945,0.4401829
326,113.4116,0.6206889
327,122.1807,0.5909247
328,111.023,0.2020986
329,134.0306,0.3381898
330,125.9482,8.516915
331,117.9611,0.4933318
332,126.6477,0.6843874
333,122.8532,1.851924
334,131.9592,0.5574061
335,133.7265,0.2863411
336,129.9245,3.141622
337,123.721,0.8629617
338,118.5316,0.7909583
339,132.5816,3.204144
340,131.5012,2.309604
341,110.8211,1.23692
342,117.8828,1.899879
343,111.2032,0.4661082
344,102.4069,0.1863124
345,116.6154,0.3076004
346,119.1524,0.1720361
347,113.5171,0.1328107
348,118.2603,0.3042074
349,124.6431,0.5569226
350,133.8575,1.185198
351,121.5877,2.561169
352,118.3266,0.9665301
353,116.2381,1.197785
354,113.9536,0.2422804
355,116.2076,0.05314742
356,109.3538,0.5166292
357,141.5272,0.8659528
358,121.8731,1.971097
359,113.6081,0.2207322
360,130.4462,6.22664
361,113.4657,0.888162
362,118.708,0.1773652
363,107.4842,0.8253849
364,120.4236,10.99485
365,141.829,0.3338407
366,128.2278,1.328712
367,118.0934,0.2428337
368,108.9313,4.095149
369,108.8596,0.306779
370,109.696,5.393501
371,110.4006,0.1312604
372,112.8219,0.2739364
373,130.835,5.907509
374,126.0386,1.124367
375,116.3594,1.342426
376,121.8173,0.5419605
377,120.0566,2.506294
378,105.1592,0.1202279
379,109.2458,0.6891603
380,122.5681,2.873464
381,117.1399,3.211413
382,137.6041,3.872748
383,109.6306,0.2066477
384,125.5084,2.14814
385,112.8471,2.918231
386,107.6225,0.7552006
387,136.0489,1.149634
388,110.9631,0.8374227
389,113.5673,1.201038
390,132.2276,2.011493
391,122.5694,3.981268
392,111.1922,2.356029
393,127.5391,0.208861
394,127.5115,2.183616
395,134.1876,1.002629
396,115.5162,0.4823983
397,123.2034,0.7635643
398,112.0714,2.870367
399,111.9667,2.853888
400,117.921,0.2748009
401,136.581,0.7683002
402,111.2964,0.1735314
403,119.2741,0.8485979
404,105.2986,0.937982
405,127.3202,1.991391
406,132.3833,1.610987
407,135.7174,0.6069252
408,116.4638,0.7011422
409,118.3289,1.665353
410,130.612,1.901315
411,122.5461,3.991984
412,132.0272,0.8133708
413,112.2279,0.2244633
414,120.2745,0.199516
415,123.8786,1.97093
416,108.7291,0.6013821
417,114.5919,1.408083
418,120.3055,0.3394075
419,144.6739,1.939804
420,113.6482,0.3513748
421,130.4861,3.074241
422,116.5956,5.882426
423,110.3824,6.531933
424,130.0108,0.4383068
425,125.1232,1.668058
426,113.2774,0.738794
427,109.8239,1.447529
428,124.963,3.832609
429,140.6022,5.281402
430,122.7817,0.2011142
431,122.7513,4.664681
432,137.9544,1.947658
433,107.3443,0.4816559
434,120.4217,1.098832
435,109.9109,4.904594
436,116.834,4.170521
437,113.6844,0.2834088
438,131.3245,0.23671
439,133.1072,0.4030662
440,120.1555,1.473948
441,112.3217,1.401932
442,112.2044,0.4557767
443,124.3202,0.2099087
444,120.9276,6.757022
445,111.6649,1.535391
446,126.7644,0.3280742
447,117.1721,0.5885396
448,135.0676,2.580474
449,119.9802,1.304159
450,131.5203,1.699197
451,126.7497,0.3768363
452,111.7297,1.243907
453,131.6483,3.226286
454,132.0717,0.2220295
455,111.4944,2.26794
456,107.9582,0.342453
457,122.2072,4.207847
458,108.5701,0.4131322
459,111.6553,0.1579325
460,110.9284,1.246913
461,124.5406,0.4488266
462,120.7204,3.06137
463,114.1653,0.3741392
464,113.4543,3.280342
465,113.4264,0.2230459
466,121.9899,10.67034
467,119.0554,1.378413
468,109.2033,0.1018029
469,135.139,1.517872
470,106.4392,0.5497097
471,124.5813,3.27875
472,124.4198,2.264436
473,117.1231,0.867189
474,121.5978,2.149248
475,115.3967,6.926565
476,122.1728,3.783494
477,112.1733,1.414048
478,115.3249,0.6877738
479,135.5454,0.03002639
480,124.3456,0.9672853
481,115.5703,1.237929
482,118.0614,0.4095137
483,138.6537,0.7395648
484,119.0902,1.252949
485,111.7741,0.1766385
486,113.8405,2.489964
487,122.9737,0.3856125
488,140.26,2.196196
489,134.5053,3.790775
490,132.5428,3.345316
491,121.3335,0.4275212
492,124.0409,0.7439327
493,109.811,0.2405623
494,123.6406,0.4378667
495,126.5828,3.197917
496,114.761,4.147457
497,118.9287,0.747725
498,123.3248,0.1757047
499,131.9359,0.5054213
500,113.5932,3.199929
501,130.6839,1.784356
502,132.0598,1.217189
503,115.0671,0.6105866
504,135.6432,0.3893982
505,113.4623,0.3011883
506,135.8705,2.969673
507,107.459,0.8860725
