,tdx30_SantaCatarina,tdx30_slope_SantaCatarina
0,1.469715,0.4111736
1,429.1842,8.004983
2,191.7221,18.54075
3,31.91142,6.793299
4,740.2747,18.02758
5,199.183,8.859031
6,283.9131,4.43612
7,506.3633,15.41819
8,6.813669,2.952336
9,6.198452,0.9515796
10,18.72407,1.083191
11,9.291636,4.026211
12,114.3031,17.78167
13,36.60764,14.01707
14,137.7128,14.3453
15,782.8641,15.00519
16,253.9792,33.33235
17,10.76978,2.825339
18,236.1565,NaN
19,960.1168,9.971103
20,617.0088,23.03733
21,4.42157,0.2344098
22,532.688,10.66002
23,2.796376,0.1922851
24,39.10569,28.3275
25,301.2823,6.687106
26,30.91559,25.6785
27,45.45164,27.34619
28,979.0519,14.88397
29,309.6149,11.99657
30,480.1006,13.07821
31,350.5067,20.43143
32,733.6597,26.2702
33,610.1443,9.877666
34,390.7061,13.29834
35,2.892896,0.1838986
36,138.8694,21.13214
37,551.0134,22.55014
38,118.2425,29.17077
39,567.7213,8.596772
40,112.3006,9.812869
41,12.37266,3.190947
42,7.235076,7.673353
43,77.83241,7.372473
44,2.240217,1.547701
45,790.2302,24.11575
46,138.1836,16.36817
47,1.709118,0.3886051
48,12.90955,4.774041
49,435.2786,22.30667
50,296.0335,24.57636
51,381.1958,27.2863
52,4.963808,0.4166289
53,1069.045,19.8109
54,19.27133,0.4726554
55,465.6714,10.55808
56,384.4188,19.36438
57,383.5018,21.51873
58,7.936174,0.2954914
59,119.9157,5.186025
60,262.486,26.07624
61,806.5072,27.93187
62,157.6253,12.52007
63,691.7478,27.46123
64,153.299,11.57716
65,695.359,32.25142
66,103.9659,17.29485
67,410.1934,17.32343
68,66.20706,14.46213
69,5.74566,1.758483
70,785.3842,29.39086
71,16.93883,11.53522
72,52.67727,15.57951
73,1.712403,0.1010042
74,423.3895,27.36699
75,272.1274,22.08105
76,26.1512,1.5042
77,198.7703,1.179966
78,177.1969,9.830506
79,5.375517,1.627479
80,127.5746,13.53158
81,607.0807,16.16733
82,50.43702,17.60399
83,1.845271,1.419653
84,503.0461,15.07533
85,0.4875324,0.2849137
86,300.9145,24.47041
87,18.87171,5.350722
88,282.0124,22.30281
89,105.3833,23.04347
90,66.38028,18.73217
91,552.2796,19.79215
92,105.622,24.10144
93,394.7811,31.86177
94,18.66199,24.40248
95,4.454181,0.3844891
96,38.41011,0.435468
97,5.011456,0.9512699
98,18.52916,4.786951
99,4.517043,0.2258968
100,3.168247,0.1623168
101,261.8878,36.55632
102,270.0936,25.74471
103,25.08538,10.67771
104,247.28,16.88119
105,604.4456,14.86462
106,1183.15,4.917683
107,179.07,1.53466
108,12.97653,2.520682
109,105.6035,31.15765
110,32.35761,1.241393
111,10.40371,0.932203
112,332.9342,26.45984
113,445.2265,22.25153
114,10.19231,8.436811
115,7.446504,2.345564
116,197.7343,3.698269
117,225.2169,10.36412
118,213.4196,16.17415
119,730.5864,23.92352
120,197.8442,6.617843
121,672.366,20.25763
122,74.92224,14.5202
123,1.862465,0.09285
124,48.61737,1.290437
125,212.5614,15.23917
126,200.0656,23.73341
127,43.94989,18.73224
128,207.3419,7.143222
129,96.35795,11.67746
130,13.6588,2.580163
131,58.21309,17.10852
132,19.03483,4.989226
133,6.11736,0.7504333
134,342.9688,14.80585
135,150.4382,29.1678
136,101.3949,14.60506
137,258.1252,31.42266
138,251.4677,18.35774
139,3.916972,1.791109
140,102.6817,14.27979
141,19.01406,15.88828
142,10.39775,0.1860468
143,59.99701,21.22907
144,2.786121,0.1468593
145,292.5133,10.81849
146,93.47506,19.90302
147,300.285,12.79493
148,102.1395,14.44541
149,825.4047,14.49448
150,260.2256,14.35567
151,68.48516,14.44133
152,131.421,9.112106
153,105.2967,31.60433
154,2.453582,0.6246268
155,45.37551,22.14802
156,566.6491,15.50253
157,427.7348,33.83287
158,84.84878,25.50965
159,4.0588,1.002583
160,3.644948,1.0935
161,169.0723,15.68359
162,40.18785,16.53676
163,184.7935,35.61356
164,355.5118,21.17174
165,269.6192,12.74523
166,78.57999,23.12259
167,438.3982,13.56348
168,237.8778,17.54865
169,122.8914,37.61073
170,25.90247,10.5678
171,83.12649,13.11399
172,101.3399,10.43171
173,132.0787,23.54513
174,387.3889,16.26278
175,27.57222,8.747662
176,3.119799,2.781784
177,15.44735,1.514
178,54.68882,20.32153
179,11.63517,7.490534
180,238.0604,16.55121
181,24.42552,5.574332
182,478.6406,16.38259
183,741.2285,17.6839
184,1.263768,0.221693
185,909.3418,35.00783
186,17.16675,3.334747
187,126.6404,13.02034
188,652.1278,16.69311
189,844.025,3.978336
190,780.2679,8.241641
191,282.3464,11.18239
192,645.9099,19.54223
193,693.0587,25.64532
194,74.25172,20.19767
195,920.5041,16.0101
196,37.9623,8.111569
197,38.30664,2.9906
198,621.9407,22.5108
199,3.687378,0.9296159
200,854.2469,29.1297
201,194.965,20.08352
202,967.3574,33.60181
203,7.083103,1.950639
204,188.6119,15.86741
205,436.4192,29.05817
206,6.263923,1.524221
207,808.5563,4.80777
208,868.1359,29.05234
209,1.995239,0.2614645
210,4.294475,0.2686213
211,0.5596671,0.1452722
212,1047.744,18.02867
213,307.1624,22.28191
214,242.2224,19.0531
215,23.08286,4.056009
216,221.0146,4.407916
217,29.51445,2.53397
218,571.5237,25.45928
219,5.15691,1.192579
220,23.96658,0.5010948
221,53.0603,29.54082
222,306.9464,32.55242
223,8.001837,1.412738
224,487.0848,8.421087
225,17.49525,8.873173
226,327.0808,18.95206
227,248.9057,19.11431
228,497.7778,21.92189
229,24.27537,6.495866
230,4.980441,0.9620514
231,25.35605,8.836644
232,169.3233,29.52751
233,696.5104,18.36072
234,401.199,18.15603
235,141.8702,22.43548
236,66.43526,16.1359
237,36.46632,12.29235
238,850.379,22.52701
239,4.901156,1.081152
240,486.2521,26.97101
241,126.0992,18.33483
242,44.74529,9.676394
243,133.2787,32.36334
244,326.115,27.46302
245,9.340032,15.33135
246,71.79282,22.51961
247,8.639103,1.471231
248,5.117782,0.1958464
249,203.0122,18.1709
250,115.7142,16.77117
251,224.4169,21.3419
252,386.2254,15.89893
253,505.6581,24.57486
254,575.7748,11.19561
255,109.0911,16.19863
256,318.857,24.43357
257,34.22818,28.09194
258,84.92779,21.88465
259,5.524135,1.132679
260,508.1587,18.08894
261,180.0154,29.23237
262,684.7885,31.77115
263,199.7715,2.024668
264,497.6278,16.43955
265,690.7102,21.77512
266,480.7746,24.13463
267,16.67464,3.010017
268,730.1203,6.262875
269,5.300336,0.4882894
270,5.923554,0.12957
271,6.450313,3.935033
272,42.64434,0.9590305
273,313.8847,8.618627
274,131.2368,9.114915
275,645.2776,23.57319
276,19.42836,2.980737
277,224.6786,19.359
278,406.9916,12.61089
279,755.3737,20.18029
280,25.10039,24.04409
281,7.46031,2.067157
282,5.343708,0.3062191
283,104.0081,22.95964
284,482.5571,19.94144
285,17.39515,5.574121
286,247.5453,14.23151
287,151.5814,22.64241
288,150.533,9.618872
289,251.9773,25.40449
290,3.491841,0.2875263
291,27.76712,22.88534
292,207.4648,12.34534
293,769.506,22.75463
294,828.0379,28.84975
295,407.0856,22.37428
296,237.0456,26.31345
297,698.8009,13.00982
298,608.1752,26.54509
299,5.721724,0.8936297
300,6.31029,0.9642062
301,2.683606,NaN
302,3.964165,1.027837
303,35.8863,13.26567
304,614.064,27.26539
305,408.2008,16.68783
306,5.125332,1.793749
307,83.04401,37.57998
308,439.9824,6.512403
309,561.606,30.90148
310,513.2532,8.529503
311,5.078814,0.9229154
312,218.9856,11.02426
313,47.49906,27.0355
314,324.8352,7.2796
315,276.7674,18.67452
316,7.614371,5.321967
317,227.712,23.02159
318,302.5853,1.900436
319,458.659,16.83916
320,889.4602,27.51474
321,253.7764,14.59464
322,133.8444,22.27272
323,255.9368,20.66969
324,419.4774,29.65814
325,317.0958,18.07471
326,983.0747,14.06425
327,706.0997,32.37822
328,4.283662,0.2242082
329,70.48699,19.11787
330,142.8933,27.05338
331,370.2037,23.60017
332,151.3211,19.1174
333,513.1399,20.70703
334,174.9204,27.68503
335,204.322,24.58543
336,45.94875,3.211081
337,4.539994,0.9086056
338,163.0194,20.72853
339,851.7437,20.22068
340,382.6252,18.57767
341,132.1541,17.03232
342,378.3327,24.97874
343,28.48362,1.63147
344,60.20627,16.27578
345,281.6928,20.98921
346,735.2558,19.06815
347,445.4686,3.005581
348,6.091266,1.835163
