,tdx30_SerraMar,tdx30_slope_SerraMar
0,475.6,32.76863
1,1147.617,10.09684
2,432.1034,20.17301
3,1055.098,6.187665
4,NaN,NaN
5,878.6174,40.92998
6,966.8058,11.31133
7,1571.661,14.72232
8,1108.902,17.73247
9,75.89024,20.51786
10,421.2741,22.92839
11,613.9158,14.63543
12,1202.745,22.25311
13,456.7414,21.0148
14,452.2803,15.43063
15,400.9012,3.912726
16,429.3903,21.47395
17,630.3734,26.39762
18,531.9799,6.690491
19,768.361,24.45761
20,NaN,NaN
21,654.6726,19.88758
22,962.5846,13.92031
23,837.3915,14.31367
24,473.854,2.707572
25,490.2844,9.511595
26,450.9447,17.26486
27,1063.026,26.25773
28,1384.392,36.51474
29,481.6142,24.36788
30,370.0449,0.9761139
31,1232.764,13.64423
32,1264.334,27.3835
33,1149.906,20.98632
34,504.0821,9.090829
35,1137.774,NaN
36,1226.604,23.64007
37,657.5149,19.28895
38,1397.319,16.85435
39,1827.121,23.61934
40,1427.639,23.94739
41,986.8522,17.56931
42,542.4553,23.5853
43,668.7385,11.18055
44,588.8765,20.27059
45,1356.759,17.71706
46,492.9694,14.70487
47,1157.856,6.98504
48,444.8487,20.02154
49,1701.64,14.41402
50,288.4504,28.75999
51,1330.908,17.19515
52,489.8943,4.810777
53,149.2152,28.65419
54,1246.466,21.70862
55,1786.009,28.82001
56,797.4441,21.63018
57,885.408,27.17561
58,1378.603,9.564974
59,NaN,NaN
60,582.4581,20.61662
61,381.6879,0.1168095
62,1398.958,18.40459
63,1001.76,32.36879
64,605.2369,23.73252
65,793.3821,18.78798
66,789.9247,21.11482
67,921.1788,10.60584
68,320.1461,25.84761
69,438.5235,16.37948
70,1550.905,22.31231
71,703.944,17.57974
72,973.7762,25.33084
73,1540.463,17.20205
74,1474.34,11.62963
75,1594.531,18.41494
76,1508.995,41.78639
77,728.4052,31.13878
78,1169.535,9.829041
79,710.9416,34.50159
80,443.5221,2.976841
81,381.8525,14.33079
82,1208.595,13.70644
83,1096.803,1.704955
84,78.42006,18.07591
85,1123.541,8.798628
86,1414.997,24.11897
87,1199.654,28.69313
88,468.4486,7.091156
89,881.5209,12.39369
90,278.527,31.98655
91,970.641,3.745968
92,19.52943,6.705496
93,1060.415,13.59243
94,992.0605,26.07719
95,19.07024,9.033639
