,rand_100_00,rand_100_01,rand_100_02,rand_100_03,rand_100_04,rand_100_05,rand_100_06,rand_100_07,rand_100_08,rand_100_09,rand_100_10,rand_100_11,rand_100_12,rand_100_13,rand_100_14,rand_100_15,rand_100_16,rand_100_17,rand_100_18,rand_100_19,rand_100_20,rand_100_21,rand_100_22,rand_100_23,rand_100_24,rand_100_25,rand_100_26,rand_100_27,rand_100_28,rand_100_29,rand_100_30,rand_100_31,rand_100_32,rand_100_33,rand_100_34,rand_100_35,rand_100_36,rand_100_37,rand_100_38,rand_100_39,rand_100_40,rand_100_41,rand_100_42,rand_100_43,rand_100_44,rand_100_45,rand_100_46,rand_100_47,rand_100_48,rand_100_49
0,17.0,22.0,20.0,17.0,20.0,21.0,20.0,17.0,19.0,21.0,20.0,22.0,22.0,18.0,23.0,17.0,20.0,23.0,18.0,16.0,15.0,20.0,21.0,18.0,8.0,21.0,21.0,22.0,17.0,15.0,22.0,15.0,13.0,19.0,18.0,21.0,21.0,19.0,17.0,23.0,17.0,22.0,17.0,17.0,17.0,23.0,17.0,19.0,10.0,17.0
1,21.0,23.0,22.0,20.0,20.0,23.0,21.0,20.0,20.0,21.0,21.0,23.0,23.0,20.0,25.0,19.0,23.0,26.0,21.0,18.0,22.0,21.0,23.0,23.0,24.0,21.0,22.0,22.0,20.0,18.0,23.0,21.0,20.0,21.0,21.0,22.0,21.0,22.0,21.0,23.0,18.0,23.0,17.0,22.0,22.0,23.0,19.0,20.0,16.0,24.0
2,22.0,23.0,23.0,23.0,22.0,23.0,23.0,21.0,21.0,23.0,22.0,23.0,26.0,21.0,26.0,23.0,23.0,26.0,23.0,18.0,22.0,22.0,25.0,26.0,24.0,22.0,23.0,23.0,22.0,20.0,23.0,21.0,20.0,22.0,22.0,24.0,23.0,22.0,23.0,23.0,21.0,25.0,20.0,22.0,22.0,23.0,23.0,21.0,17.0,25.0
3,22.0,23.0,23.0,23.0,23.0,23.0,26.0,23.0,23.0,24.0,23.0,25.0,27.0,21.0,26.0,24.0,24.0,26.0,23.0,18.0,23.0,28.0,25.0,26.0,24.0,23.0,24.0,24.0,23.0,23.0,25.0,21.0,20.0,23.0,23.0,26.0,23.0,24.0,23.0,24.0,22.0,26.0,24.0,23.0,26.0,24.0,24.0,23.0,22.0,25.0
4,23.0,26.0,23.0,24.0,23.0,25.0,27.0,24.0,26.0,24.0,23.0,26.0,28.0,22.0,27.0,25.0,24.0,27.0,23.0,21.0,25.0,28.0,25.0,26.0,25.0,24.0,24.0,26.0,24.0,25.0,25.0,22.0,23.0,23.0,24.0,26.0,24.0,24.0,25.0,25.0,22.0,26.0,26.0,25.0,26.0,25.0,25.0,23.0,23.0,26.0
5,24.0,26.0,25.0,25.0,25.0,25.0,27.0,26.0,26.0,26.0,23.0,26.0,28.0,23.0,27.0,26.0,25.0,28.0,23.0,23.0,28.0,28.0,26.0,26.0,27.0,26.0,25.0,27.0,27.0,26.0,27.0,23.0,25.0,25.0,27.0,26.0,25.0,25.0,26.0,26.0,24.0,28.0,27.0,26.0,26.0,26.0,25.0,25.0,23.0,27.0
6,26.0,26.0,25.0,26.0,27.0,26.0,28.0,26.0,27.0,26.0,25.0,27.0,29.0,25.0,27.0,27.0,27.0,30.0,25.0,24.0,28.0,28.0,26.0,28.0,27.0,26.0,25.0,27.0,29.0,26.0,28.0,23.0,25.0,26.0,28.0,26.0,25.0,25.0,27.0,26.0,24.0,28.0,28.0,27.0,27.0,26.0,26.0,26.0,26.0,27.0
7,28.0,26.0,27.0,26.0,27.0,26.0,28.0,27.0,30.0,26.0,25.0,27.0,29.0,25.0,28.0,28.0,29.0,30.0,25.0,25.0,28.0,29.0,26.0,28.0,27.0,27.0,25.0,27.0,29.0,27.0,28.0,24.0,26.0,26.0,28.0,26.0,25.0,26.0,28.0,28.0,24.0,28.0,28.0,28.0,28.0,27.0,26.0,27.0,26.0,28.0
8,29.0,28.0,28.0,26.0,28.0,27.0,29.0,28.0,32.0,27.0,25.0,27.0,29.0,25.0,28.0,28.0,29.0,30.0,26.0,27.0,28.0,29.0,26.0,29.0,28.0,29.0,26.0,28.0,30.0,27.0,29.0,26.0,26.0,29.0,29.0,27.0,26.0,28.0,28.0,28.0,26.0,30.0,28.0,29.0,29.0,27.0,27.0,27.0,28.0,28.0
9,29.0,28.0,28.0,26.0,28.0,27.0,29.0,28.0,32.0,28.0,26.0,28.0,29.0,26.0,28.0,29.0,30.0,31.0,26.0,29.0,29.0,29.0,27.0,30.0,28.0,29.0,28.0,30.0,30.0,28.0,30.0,26.0,27.0,29.0,30.0,27.0,26.0,28.0,29.0,29.0,27.0,30.0,28.0,30.0,30.0,28.0,29.0,28.0,30.0,28.0
10,29.0,28.0,29.0,27.0,29.0,30.0,30.0,29.0,32.0,28.0,27.0,29.0,30.0,26.0,30.0,29.0,30.0,32.0,28.0,29.0,29.0,30.0,27.0,30.0,28.0,30.0,29.0,30.0,30.0,28.0,30.0,27.0,27.0,30.0,30.0,28.0,27.0,29.0,29.0,29.0,28.0,30.0,28.0,31.0,31.0,28.0,29.0,29.0,30.0,30.0
11,29.0,30.0,31.0,27.0,31.0,30.0,31.0,29.0,33.0,29.0,27.0,29.0,30.0,26.0,30.0,30.0,30.0,34.0,28.0,30.0,29.0,32.0,27.0,31.0,30.0,31.0,29.0,32.0,30.0,30.0,30.0,28.0,29.0,30.0,31.0,28.0,27.0,29.0,29.0,30.0,28.0,30.0,29.0,31.0,31.0,29.0,29.0,29.0,30.0,30.0
12,29.0,30.0,31.0,28.0,31.0,31.0,32.0,30.0,33.0,29.0,27.0,29.0,30.0,29.0,33.0,30.0,31.0,34.0,29.0,30.0,30.0,32.0,27.0,32.0,30.0,31.0,29.0,32.0,31.0,30.0,31.0,28.0,29.0,31.0,31.0,29.0,27.0,30.0,29.0,31.0,28.0,30.0,30.0,32.0,31.0,30.0,30.0,29.0,32.0,31.0
13,29.0,31.0,32.0,29.0,31.0,31.0,32.0,30.0,35.0,30.0,28.0,30.0,31.0,30.0,33.0,31.0,32.0,34.0,29.0,30.0,32.0,32.0,28.0,33.0,31.0,33.0,30.0,32.0,31.0,31.0,31.0,29.0,30.0,31.0,32.0,30.0,28.0,30.0,29.0,31.0,28.0,30.0,30.0,32.0,32.0,30.0,30.0,31.0,32.0,32.0
14,30.0,31.0,33.0,30.0,31.0,32.0,32.0,30.0,35.0,31.0,28.0,30.0,31.0,30.0,34.0,31.0,33.0,35.0,30.0,30.0,33.0,33.0,29.0,34.0,31.0,33.0,30.0,34.0,31.0,31.0,31.0,30.0,30.0,32.0,32.0,30.0,28.0,31.0,30.0,32.0,30.0,31.0,32.0,33.0,33.0,33.0,30.0,32.0,34.0,32.0
15,30.0,31.0,33.0,30.0,32.0,32.0,33.0,31.0,36.0,32.0,29.0,30.0,32.0,31.0,34.0,32.0,34.0,35.0,31.0,33.0,33.0,33.0,29.0,35.0,32.0,33.0,30.0,35.0,31.0,31.0,32.0,30.0,30.0,33.0,32.0,30.0,28.0,31.0,30.0,32.0,31.0,34.0,35.0,35.0,33.0,34.0,31.0,32.0,35.0,33.0
16,30.0,32.0,34.0,30.0,33.0,33.0,34.0,32.0,36.0,32.0,29.0,31.0,33.0,32.0,34.0,32.0,34.0,36.0,32.0,36.0,34.0,34.0,30.0,35.0,32.0,34.0,31.0,37.0,31.0,32.0,32.0,31.0,31.0,33.0,33.0,31.0,29.0,31.0,31.0,34.0,31.0,34.0,35.0,36.0,34.0,34.0,32.0,32.0,35.0,33.0
17,32.0,32.0,34.0,30.0,33.0,33.0,34.0,32.0,36.0,34.0,29.0,31.0,33.0,33.0,35.0,34.0,35.0,37.0,34.0,36.0,36.0,34.0,30.0,36.0,33.0,35.0,31.0,37.0,31.0,32.0,33.0,31.0,32.0,34.0,34.0,31.0,29.0,32.0,31.0,36.0,31.0,35.0,36.0,36.0,35.0,34.0,32.0,32.0,36.0,33.0
18,32.0,32.0,35.0,31.0,34.0,34.0,35.0,32.0,37.0,34.0,29.0,32.0,34.0,33.0,36.0,35.0,35.0,37.0,35.0,37.0,37.0,34.0,31.0,37.0,35.0,36.0,31.0,37.0,32.0,32.0,33.0,33.0,33.0,34.0,35.0,32.0,29.0,33.0,32.0,36.0,33.0,36.0,37.0,37.0,35.0,34.0,33.0,33.0,37.0,34.0
19,34.0,33.0,35.0,33.0,34.0,34.0,36.0,34.0,37.0,34.0,30.0,33.0,34.0,34.0,36.0,35.0,35.0,38.0,36.0,37.0,37.0,34.0,34.0,37.0,36.0,36.0,31.0,39.0,34.0,33.0,34.0,34.0,34.0,36.0,35.0,33.0,29.0,33.0,33.0,36.0,34.0,36.0,38.0,37.0,35.0,34.0,33.0,34.0,37.0,35.0
20,34.0,34.0,35.0,34.0,36.0,34.0,36.0,34.0,38.0,35.0,30.0,35.0,35.0,34.0,37.0,36.0,36.0,38.0,37.0,37.0,38.0,36.0,35.0,38.0,36.0,37.0,32.0,39.0,34.0,34.0,35.0,34.0,34.0,39.0,35.0,34.0,29.0,35.0,33.0,36.0,35.0,37.0,38.0,37.0,35.0,35.0,34.0,35.0,37.0,35.0
21,34.0,35.0,35.0,35.0,36.0,35.0,36.0,34.0,38.0,36.0,31.0,35.0,35.0,34.0,37.0,37.0,37.0,39.0,37.0,38.0,39.0,36.0,35.0,39.0,36.0,37.0,32.0,39.0,34.0,35.0,36.0,36.0,35.0,39.0,36.0,34.0,31.0,35.0,34.0,37.0,36.0,37.0,38.0,38.0,36.0,35.0,34.0,36.0,37.0,35.0
22,35.0,35.0,36.0,36.0,37.0,35.0,37.0,35.0,39.0,36.0,31.0,35.0,36.0,38.0,37.0,37.0,37.0,39.0,38.0,39.0,39.0,36.0,35.0,39.0,36.0,38.0,36.0,39.0,34.0,35.0,37.0,36.0,35.0,41.0,36.0,35.0,31.0,36.0,34.0,37.0,36.0,37.0,38.0,39.0,36.0,36.0,34.0,36.0,37.0,36.0
