,rand_500_00,rand_500_01,rand_500_02,rand_500_03,rand_500_04,rand_500_05,rand_500_06,rand_500_07,rand_500_08,rand_500_09,rand_500_10,rand_500_11,rand_500_12,rand_500_13,rand_500_14,rand_500_15,rand_500_16,rand_500_17,rand_500_18,rand_500_19,rand_500_20,rand_500_21,rand_500_22,rand_500_23,rand_500_24,rand_500_25,rand_500_26,rand_500_27,rand_500_28,rand_500_29,rand_500_30,rand_500_31,rand_500_32,rand_500_33,rand_500_34,rand_500_35,rand_500_36,rand_500_37,rand_500_38,rand_500_39,rand_500_40,rand_500_41,rand_500_42,rand_500_43,rand_500_44,rand_500_45,rand_500_46,rand_500_47,rand_500_48,rand_500_49
0,454.0,464.0,453.0,458.0,457.0,459.0,454.0,456.0,458.0,466.0,470.0,454.0,459.0,452.0,458.0,456.0,455.0,450.0,454.0,469.0,454.0,455.0,460.0,452.0,456.0,453.0,459.0,455.0,457.0,459.0,468.0,455.0,454.0,457.0,465.0,459.0,454.0,455.0,457.0,454.0,453.0,460.0,452.0,454.0,458.0,453.0,465.0,457.0,457.0,454.0
1,462.0,469.0,463.0,459.0,457.0,460.0,458.0,457.0,462.0,471.0,471.0,458.0,459.0,464.0,458.0,457.0,456.0,457.0,456.0,474.0,458.0,459.0,461.0,459.0,457.0,461.0,461.0,455.0,460.0,462.0,468.0,462.0,455.0,461.0,465.0,468.0,461.0,459.0,459.0,456.0,454.0,461.0,455.0,455.0,460.0,462.0,468.0,459.0,463.0,465.0
2,462.0,474.0,463.0,462.0,459.0,465.0,460.0,459.0,465.0,475.0,474.0,468.0,460.0,469.0,459.0,463.0,456.0,457.0,459.0,478.0,461.0,465.0,461.0,463.0,465.0,466.0,461.0,456.0,463.0,466.0,472.0,462.0,455.0,469.0,466.0,469.0,462.0,463.0,468.0,457.0,458.0,461.0,458.0,456.0,464.0,463.0,468.0,460.0,465.0,468.0
3,466.0,475.0,463.0,464.0,469.0,468.0,464.0,459.0,475.0,475.0,476.0,470.0,465.0,471.0,460.0,464.0,457.0,457.0,463.0,479.0,462.0,468.0,467.0,463.0,466.0,466.0,463.0,458.0,465.0,466.0,472.0,463.0,456.0,469.0,466.0,472.0,465.0,463.0,470.0,462.0,462.0,463.0,458.0,456.0,464.0,466.0,471.0,464.0,473.0,471.0
4,468.0,481.0,466.0,464.0,470.0,473.0,467.0,460.0,475.0,477.0,476.0,475.0,468.0,473.0,462.0,467.0,464.0,459.0,468.0,480.0,475.0,473.0,468.0,466.0,472.0,467.0,463.0,468.0,471.0,466.0,473.0,465.0,459.0,469.0,466.0,472.0,466.0,465.0,473.0,463.0,464.0,466.0,459.0,457.0,471.0,471.0,476.0,474.0,474.0,471.0
5,470.0,481.0,469.0,465.0,473.0,473.0,468.0,463.0,475.0,478.0,479.0,476.0,473.0,474.0,475.0,467.0,467.0,464.0,471.0,480.0,477.0,474.0,470.0,470.0,474.0,472.0,464.0,468.0,480.0,468.0,474.0,466.0,463.0,472.0,468.0,473.0,468.0,467.0,476.0,463.0,464.0,466.0,460.0,458.0,472.0,475.0,479.0,475.0,476.0,475.0
6,470.0,482.0,470.0,467.0,473.0,476.0,470.0,463.0,477.0,478.0,480.0,481.0,474.0,474.0,482.0,471.0,472.0,466.0,477.0,483.0,477.0,475.0,471.0,471.0,479.0,478.0,464.0,468.0,482.0,468.0,474.0,466.0,466.0,477.0,469.0,474.0,469.0,468.0,477.0,466.0,466.0,468.0,461.0,471.0,475.0,476.0,480.0,475.0,480.0,476.0
7,472.0,482.0,470.0,468.0,476.0,478.0,475.0,464.0,478.0,478.0,480.0,486.0,477.0,475.0,483.0,472.0,477.0,467.0,479.0,483.0,479.0,475.0,473.0,473.0,482.0,479.0,464.0,469.0,482.0,470.0,474.0,470.0,469.0,478.0,470.0,475.0,472.0,472.0,479.0,466.0,468.0,469.0,470.0,473.0,480.0,477.0,482.0,479.0,480.0,478.0
8,472.0,484.0,473.0,470.0,476.0,479.0,475.0,465.0,481.0,480.0,481.0,487.0,479.0,483.0,484.0,473.0,482.0,473.0,480.0,485.0,479.0,476.0,473.0,477.0,484.0,479.0,465.0,470.0,484.0,472.0,475.0,472.0,470.0,479.0,473.0,476.0,473.0,474.0,479.0,467.0,469.0,478.0,476.0,473.0,482.0,477.0,482.0,480.0,484.0,481.0
9,473.0,484.0,475.0,482.0,476.0,480.0,478.0,472.0,481.0,481.0,481.0,489.0,480.0,483.0,484.0,474.0,491.0,474.0,482.0,486.0,483.0,479.0,479.0,477.0,485.0,481.0,468.0,476.0,488.0,482.0,476.0,474.0,472.0,480.0,474.0,476.0,476.0,476.0,484.0,468.0,469.0,483.0,477.0,475.0,482.0,479.0,484.0,481.0,489.0,484.0
10,477.0,484.0,477.0,482.0,477.0,482.0,479.0,473.0,484.0,483.0,481.0,489.0,482.0,483.0,485.0,475.0,491.0,476.0,483.0,487.0,487.0,480.0,485.0,483.0,486.0,481.0,469.0,479.0,488.0,484.0,482.0,475.0,472.0,480.0,476.0,476.0,479.0,477.0,485.0,472.0,474.0,486.0,478.0,477.0,484.0,479.0,486.0,482.0,491.0,486.0
11,477.0,490.0,478.0,485.0,477.0,487.0,480.0,476.0,485.0,484.0,483.0,490.0,482.0,484.0,486.0,476.0,491.0,478.0,485.0,488.0,487.0,480.0,486.0,485.0,486.0,482.0,479.0,480.0,491.0,484.0,482.0,476.0,472.0,487.0,479.0,477.0,480.0,478.0,490.0,474.0,477.0,487.0,479.0,478.0,486.0,483.0,486.0,482.0,494.0,487.0
12,477.0,493.0,482.0,487.0,478.0,488.0,481.0,478.0,485.0,485.0,483.0,490.0,482.0,485.0,486.0,478.0,492.0,481.0,486.0,489.0,488.0,484.0,486.0,486.0,487.0,483.0,480.0,483.0,496.0,484.0,485.0,479.0,476.0,491.0,480.0,478.0,480.0,482.0,490.0,474.0,478.0,490.0,480.0,478.0,487.0,484.0,490.0,482.0,494.0,488.0
13,481.0,496.0,484.0,489.0,478.0,490.0,481.0,483.0,486.0,487.0,483.0,490.0,483.0,485.0,487.0,479.0,492.0,481.0,486.0,493.0,490.0,484.0,487.0,492.0,489.0,485.0,481.0,485.0,497.0,487.0,485.0,479.0,484.0,493.0,483.0,480.0,482.0,482.0,491.0,475.0,478.0,490.0,481.0,478.0,488.0,484.0,491.0,484.0,495.0,489.0
14,483.0,496.0,485.0,489.0,481.0,492.0,482.0,483.0,487.0,487.0,484.0,491.0,483.0,486.0,488.0,479.0,493.0,482.0,488.0,493.0,493.0,485.0,491.0,493.0,489.0,486.0,484.0,486.0,497.0,488.0,488.0,483.0,485.0,494.0,483.0,481.0,482.0,483.0,491.0,475.0,483.0,491.0,483.0,479.0,488.0,485.0,492.0,485.0,496.0,489.0
15,486.0,497.0,487.0,490.0,482.0,492.0,486.0,483.0,487.0,487.0,486.0,491.0,484.0,487.0,488.0,480.0,493.0,483.0,489.0,494.0,494.0,489.0,494.0,493.0,491.0,487.0,484.0,487.0,498.0,489.0,489.0,483.0,486.0,495.0,485.0,481.0,487.0,483.0,494.0,478.0,485.0,492.0,486.0,479.0,488.0,488.0,492.0,487.0,499.0,493.0
16,488.0,497.0,487.0,491.0,484.0,493.0,487.0,484.0,488.0,488.0,487.0,493.0,486.0,488.0,490.0,481.0,495.0,485.0,491.0,494.0,494.0,489.0,496.0,493.0,491.0,488.0,485.0,488.0,499.0,491.0,489.0,485.0,489.0,496.0,488.0,483.0,488.0,488.0,494.0,484.0,487.0,492.0,486.0,480.0,490.0,488.0,493.0,488.0,499.0,494.0
17,491.0,497.0,489.0,491.0,488.0,495.0,489.0,485.0,489.0,489.0,488.0,495.0,486.0,489.0,492.0,481.0,496.0,486.0,491.0,495.0,495.0,489.0,497.0,494.0,492.0,489.0,489.0,490.0,501.0,493.0,491.0,486.0,492.0,499.0,490.0,484.0,492.0,488.0,495.0,484.0,488.0,494.0,489.0,480.0,491.0,489.0,494.0,489.0,499.0,495.0
