,tdx12_Barcelos,tdx30_Barcelos,srtm30_Barcelos,srtm30_wgs84_Barcelos,aster30_Barcelos,aster30_wgs84_Barcelos,aw3d30_Barcelos,aw3d30_wgs84_Barcelos
0,17.93057,17.80507,26.0,19.75079127,30.0,23.75079127,NaN,NaN
1,23.80631,23.87,33.0,25.12875874,27.0,19.12875874,NaN,NaN
2,46.7249,45.26167,49.0,40.73440115,53.0,44.73440115,53.0,44.73460797
3,45.82417,42.34035,51.0,43.46708861,45.0,37.46708861,53.0,45.46660567
4,43.4206,44.0257,51.0,43.76900591,53.0,45.76900591,53.0,45.76852058
5,44.90091,44.30472,54.0,47.44814596,49.0,42.44814596,NaN,NaN
6,30.88042,32.43724,43.0,36.6860074,48.0,41.6860074,41.0,34.68557703
7,54.82602,51.62484,59.0,52.11395501,64.0,57.11395501,NaN,NaN
8,40.63932,36.82733,46.0,39.84032471,64.0,57.84032471,NaN,NaN
9,18.94679,19.24293,30.0,23.52614111,38.0,31.52614111,NaN,NaN
10,27.7991,26.93886,36.0,28.16720873,26.0,18.16720873,34.0,26.16720873
11,48.99431,48.14055,58.0,50.95981355,66.0,58.95981355,NaN,NaN
12,37.49976,39.46729,47.0,40.05864102,46.0,39.05864102,NaN,NaN
13,42.14303,42.27942,50.0,42.10263312,47.0,39.10263312,52.0,44.10263312
14,40.37809,40.45244,49.0,41.24839018,42.0,34.24839018,47.0,39.24791257
15,44.7485,45.93512,56.0,48.59676526,51.0,43.59676526,57.0,49.5969789
16,46.71474,47.32372,54.0,45.99467875,49.0,40.99467875,NaN,NaN
17,NaN,NaN,17.0,10.69204079,22.0,15.69204079,28.0,21.69135743
18,43.89897,42.20078,49.0,41.25831528,50.0,42.25831528,53.0,45.25762851
19,43.79023,42.96525,57.0,49.4496023,51.0,43.4496023,51.0,43.4496023
20,40.6581,40.28986,50.0,41.93807688,57.0,48.93807688,48.0,39.93807688
21,37.66019,37.39065,45.0,36.90117142,45.0,36.90117142,46.0,37.90138815
22,33.0073,32.90572,40.0,32.99379186,31.0,23.99379186,35.0,27.99379186
23,39.07642,40.91286,47.0,40.24484467,52.0,45.24484467,NaN,NaN
24,36.43496,34.32174,38.0,30.10531265,43.0,35.10531265,42.0,34.10531265
25,22.3499,20.49538,29.0,22.39404993,33.0,26.39404993,NaN,NaN
26,42.25453,42.22675,53.0,45.31917593,52.0,44.31917593,50.0,42.31869614
27,16.97046,17.08056,29.0,22.25443165,22.0,15.25443165,NaN,NaN
28,50.5747,48.56917,61.0,54.3733762,57.0,50.3733762,59.0,52.37293852
29,48.37162,47.63811,48.0,41.3874847,67.0,60.3874847,55.0,48.38702212
30,14.64308,15.06143,23.0,15.65991296,18.0,10.65991296,20.0,12.65922988
31,44.26449,45.61475,55.0,47.92207162,65.0,57.92207162,NaN,NaN
32,21.20123,21.84988,31.0,25.07705051,40.0,34.07705051,30.0,24.07636735
33,29.34905,29.90079,39.0,30.92960343,51.0,42.92960343,42.0,33.92981266
34,20.85405,32.81896,26.0,19.96552424,27.0,20.96552424,28.0,21.96507125
35,45.81927,44.47374,51.0,45.44305257,56.0,50.44305257,49.0,43.44236991
36,22.67601,24.23322,31.0,23.20745531,40.0,32.20745531,34.0,26.20765764
37,49.91843,47.27879,57.0,49.96083326,67.0,59.96083326,NaN,NaN
38,47.0537,44.86976,55.0,46.86342762,51.0,42.86342762,52.0,43.86363767
39,42.54425,42.23356,52.0,44.23276522,50.0,42.23276522,NaN,NaN
40,41.54052,42.07059,51.0,43.7936216,58.0,50.7936216,NaN,NaN
41,47.14899,47.82395,50.0,42.74605605,52.0,44.74605605,NaN,NaN
42,48.16111,48.0097,57.0,49.93729266,80.0,72.93729266,NaN,NaN
43,27.20493,27.27701,38.0,30.58475177,31.0,23.58475177,38.0,30.58430017
44,40.18849,39.67492,48.0,39.91199291,49.0,40.91199291,46.0,37.91152778
45,32.73994,32.82978,39.0,32.20361944,49.0,42.20361944,NaN,NaN
46,36.13727,36.19576,44.0,35.84379799,36.0,27.84379799,43.0,34.84333293
47,47.20701,47.40134,56.0,49.17132392,63.0,56.17132392,55.0,48.17154451
48,26.21796,26.52701,38.0,30.7903784,36.0,28.7903784,NaN,NaN
49,43.67019,41.8224,48.0,42.06461089,38.0,32.06461089,46.0,40.06393153
50,43.07649,42.19532,49.0,40.66256136,59.0,50.66256136,53.0,44.662773
51,43.01407,44.85497,53.0,45.69292892,51.0,43.69292892,NaN,NaN
52,41.26437,41.25479,49.0,41.01888793,47.0,39.01888793,49.0,41.01841756
53,40.97943,37.50076,21.0,15.21788361,36.0,30.21788361,27.0,21.2172009
54,26.95286,26.33988,35.0,27.15037979,23.0,15.15037979,34.0,26.1505933
55,45.97482,46.01965,53.0,45.16438615,54.0,46.16438615,54.0,46.16392002
56,43.41014,43.84955,55.0,47.25047317,54.0,46.25047317,55.0,47.25068638
57,38.35989,37.35277,45.0,38.06395779,54.0,47.06395779,45.0,38.06349739
58,42.41916,43.5329,51.0,43.36844776,49.0,41.36844776,52.0,44.36864762
59,50.85926,49.23123,57.0,50.09846489,51.0,44.09846489,NaN,NaN
60,37.50969,37.57913,42.0,35.10435118,34.0,27.10435118,46.0,39.10435118
61,45.84037,46.13012,54.0,46.72021899,53.0,45.72021899,NaN,NaN
62,21.52726,18.37228,27.0,20.47806084,32.0,25.47806084,NaN,NaN
63,19.04355,18.69843,29.0,22.15071344,25.0,18.15071344,NaN,NaN
64,19.76501,19.0614,26.0,19.25003584,35.0,28.25003584,NaN,NaN
65,40.42737,40.55721,46.0,39.76475787,67.0,60.76475787,48.0,41.76407673
66,22.11923,21.60197,31.0,24.34859153,34.0,27.34859153,31.0,24.34790816
67,41.32926,39.91245,50.0,41.73490164,50.0,41.73490164,49.0,40.73512048
68,44.65709,41.66784,51.0,42.955542,59.0,50.955542,54.0,45.95574216
69,37.01956,37.23608,47.0,38.74196918,40.0,31.74196918,45.0,36.74218739
70,43.60186,44.70595,57.0,49.87842021,48.0,40.87842021,50.0,42.87773506
71,43.13112,43.28156,52.0,44.45414366,50.0,42.45414366,52.0,44.45365738
