,tdx12_RioClaro,tdx30_RioClaro,srtm30_RioClaro,srtm30_wgs84_RioClaro,aster30_RioClaro,aster30_wgs84_RioClaro,aw3d30_RioClaro,aw3d30_wgs84_RioClaro
0,542.7656,542.5797,549.0,545.63276505,561.0,557.63276505,551.0,547.63276505
1,593.9855,594.5052,600.0,595.55688445,603.0,598.55688445,604.0,599.55688445
2,681.6071,681.3749,691.0,687.53119261,681.0,677.53119261,688.0,684.53119261
3,598.965,599.1068,608.0,604.54761261,614.0,610.54761261,606.0,602.54815861
4,542.5737,542.2026,551.0,547.63835302,553.0,549.63835302,553.0,549.63889482
5,612.6641,613.0928,622.0,618.12914486,634.0,630.12914486,621.0,617.12866914
6,817.608,817.2425,826.0,821.09163587,828.0,823.09163587,828.0,823.09185957
7,709.827,710.417,723.0,718.58421413,719.0,714.58421413,718.0,713.58421413
8,513.1719,513.8337,525.0,521.20759839,515.0,511.20759839,521.0,517.20777944
9,643.5699,642.355,647.0,643.81806503,644.0,640.81806503,648.0,644.81819098
10,662.5616,662.1849,673.0,669.29235961,673.0,669.29235961,671.0,667.2919189
11,667.8759,668.3201,676.0,672.19017679,669.0,665.19017679,676.0,672.19017679
12,612.4584,612.817,620.0,616.28637385,627.0,623.28637385,621.0,617.28591703
13,597.34,597.6116,606.0,602.07708307,610.0,606.07708307,605.0,601.07662255
14,636.3313,635.8692,645.0,641.28872562,644.0,640.28872562,644.0,640.28886809
15,725.8649,726.1528,730.0,726.0170509,728.0,724.0170509,736.0,732.0170509
16,614.1932,613.795,621.0,617.31726889,608.0,604.31726889,621.0,617.31740338
17,496.4814,496.417,503.0,499.97819475,503.0,499.97819475,506.0,502.97830713
18,570.6545,571.7763,580.0,576.62532929,569.0,565.62532929,577.0,573.6254451
19,562.4565,561.1837,568.0,564.83649525,555.0,551.83649525,568.0,564.83649525
20,617.1979,616.1791,624.0,619.981302,631.0,626.981302,623.0,618.98083478
21,625.9445,625.8201,633.0,628.89090511,650.0,645.89090511,634.0,629.89090511
22,528.863,528.5777,537.0,534.06987953,538.0,535.06987953,534.0,531.06987953
23,570.6326,570.3129,580.0,576.62479438,566.0,562.62479438,578.0,574.62479438
24,596.709,596.0784,606.0,602.88107898,599.0,595.88107898,604.0,600.88107898
25,525.3734,525.4877,532.0,528.95574724,534.0,530.95574724,536.0,532.95585528
26,668.7587,669.2249,672.0,668.3933273,677.0,673.3933273,677.0,673.39346389
27,523.1446,521.7751,529.0,525.6922845,523.0,519.6922845,529.0,525.6922845
28,873.2512,872.7932,882.0,877.20899758,884.0,879.20899758,882.0,877.20921218
29,683.2215,683.2657,692.0,687.85141075,696.0,691.85141075,691.0,686.85160248
30,555.0227,553.5806,563.0,560.0895986,551.0,548.0895986,564.0,561.08967083
31,589.8245,592.548,602.0,597.96431887,600.0,595.96431887,608.0,603.96383989
32,526.4776,527.4006,532.0,528.7925529,537.0,533.7925529,535.0,531.79269311
33,655.1768,655.0758,664.0,660.32420199,666.0,662.32420199,664.0,660.32420199
34,694.7472,694.6014,703.0,698.65779396,700.0,695.65779396,705.0,700.65800528
35,555.6034,556.8358,567.0,563.85261507,573.0,569.85261507,564.0,560.85275718
36,592.6802,592.3231,602.0,598.68337012,588.0,584.68337012,602.0,598.68376456
37,625.7963,624.9811,635.0,631.06942967,635.0,631.06942967,636.0,632.06895758
38,644.4886,644.8014,653.0,649.28515892,634.0,630.28515892,654.0,650.28515892
39,633.6517,633.4232,644.0,639.59544661,637.0,632.59544661,643.0,638.59544661
40,605.3046,605.7945,614.0,610.50936374,612.0,608.50936374,618.0,614.50936374
41,538.7126,539.4573,549.0,545.45458918,550.0,546.45458918,548.0,544.45502404
42,638.4699,630.1221,638.0,634.12179902,634.0,630.12179902,655.0,651.12196727
43,751.2694,751.5583,761.0,756.43094529,761.0,756.43094529,763.0,758.43113689
44,575.0811,574.861,583.0,578.74269977,577.0,572.74269977,581.0,576.74286442
45,552.2961,553.0934,584.0,580.17899382,577.0,573.17899382,559.0,555.17899382
46,582.3458,586.5035,594.0,589.72778978,598.0,593.72778978,595.0,590.72795345
47,785.6691,786.5948,796.0,791.69966639,794.0,789.69966639,794.0,789.69966639
48,717.8289,721.1293,728.0,723.68316198,730.0,725.68316198,729.0,724.68316198
49,765.9713,767.2474,772.0,768.09248589,767.0,763.09248589,773.0,769.09267802
50,580.3813,580.5688,586.0,582.21613979,576.0,572.21613979,590.0,586.21613979
51,681.8849,680.921,692.0,688.20974211,683.0,679.20974211,692.0,688.20974211
52,608.8655,609.3425,617.0,612.95937823,623.0,618.95937823,616.0,611.95953512
53,512.1162,511.7111,517.0,513.67849525,529.0,525.67849525,517.0,513.67864872
54,622.8801,623.4161,633.0,629.05262695,642.0,638.05262695,629.0,625.05262695
