,tdx12_SerraMar,tdx30_SerraMar,srtm30_SerraMar,srtm30_wgs84_SerraMar,aster30_SerraMar,aster30_wgs84_SerraMar,aw3d30_SerraMar,aw3d30_wgs84_SerraMar
0,481.6147,475.6,486.0,481.69416242,475.0,470.69416242,481.0,476.69416242
1,1146.125,1147.617,1155.0,1150.08445556,1154.0,1149.08445556,1154.0,1149.08445556
2,429.4886,432.1034,442.0,437.00850089,429.0,424.00850089,443.0,438.00850089
3,1052.904,1055.098,1061.0,1056.26916245,1070.0,1065.26916245,1059.0,1054.26916245
4,23.00949,NaN,7.0,2.35015477,6.0,1.35015477,3.0,-1.64984523
5,887.9924,878.6174,882.0,877.65457148,846.0,841.65457148,899.0,894.65457148
6,962.4852,966.8058,974.0,969.44232178,971.0,966.44232178,971.0,966.44232178
7,1572.772,1571.661,1579.0,1574.44076203,1573.0,1568.44076203,1583.0,1578.44076203
8,1099.96,1108.902,1114.0,1109.7899486,1111.0,1106.7899486,1106.0,1101.7899486
9,85.79933,75.89024,77.0,72.54354784,75.0,70.54354784,86.0,81.54354784
10,421.8529,421.2741,425.0,420.20216134,430.0,425.20216134,423.0,418.20216134
11,618.1812,613.9158,616.0,611.48570103,613.0,608.48570103,625.0,620.48570103
12,1202.231,1202.745,1210.0,1205.51759705,1207.0,1202.51759705,1206.0,1201.51759705
13,461.9265,456.7414,464.0,459.1785182,457.0,452.1785182,467.0,462.1785182
14,459.9222,452.2803,457.0,452.23116753,457.0,452.23116753,464.0,459.23116753
15,401.6548,400.9012,412.0,407.34870497,410.0,405.34870497,409.0,404.34870497
16,435.9667,429.3903,436.0,431.13825991,438.0,433.13825991,434.0,429.13825991
17,614.3943,630.3734,631.0,626.17150731,646.0,641.17150731,625.0,620.17150731
18,529.1974,531.9799,547.0,542.11108137,543.0,538.11108137,540.0,535.11108137
19,772.8962,768.361,774.0,769.08537323,781.0,776.08537323,770.0,765.08537323
20,NaN,NaN,6.0,1.52198569,11.0,6.52198569,6.0,1.52198569
21,662.8008,654.6726,657.0,652.24617725,654.0,649.24617725,660.0,655.24617725
22,956.59,962.5846,966.0,961.38804639,972.0,967.38804639,965.0,960.38804639
23,849.0422,837.3915,843.0,838.60258759,830.0,825.60258759,850.0,845.60258759
24,473.7389,473.854,478.0,473.45728283,476.0,471.45728283,479.0,474.45728283
25,494.0065,490.2844,499.0,494.74597007,501.0,496.74597007,497.0,492.74597007
26,454.2588,450.9447,459.0,454.11451673,464.0,459.11451673,457.0,452.11451673
27,1072.807,1063.026,1075.0,1070.7603701,1052.0,1047.7603701,1075.0,1070.7603701
28,1401.901,1384.392,1376.0,1371.13250084,1374.0,1369.13250084,1396.0,1391.13250084
29,482.6413,481.6142,488.0,483.48151873,468.0,463.48151873,487.0,482.48151873
30,371.5072,370.0449,378.0,373.09371035,385.0,380.09371035,378.0,373.09371035
31,1231.718,1232.764,1234.0,1229.13293484,1242.0,1237.13293484,1242.0,1237.13293484
32,1266.676,1264.334,1267.0,1262.39439249,1255.0,1250.39439249,1281.0,1276.39439249
33,1148.761,1149.906,1149.0,1144.38844576,1153.0,1148.38844576,1148.0,1143.38844576
34,509.5118,504.0821,513.0,508.47612646,511.0,506.47612646,512.0,507.47612646
35,1149.355,1137.774,1144.0,1139.20120563,1139.0,1134.20120563,1148.0,1143.20120563
36,1220.523,1226.604,1239.0,1234.05931696,1235.0,1230.05931696,1233.0,1228.05931696
37,655.0557,657.5149,666.0,661.5708032,665.0,660.5708032,657.0,652.5708032
38,1390.143,1397.319,1401.0,1396.0317985,1398.0,1393.0317985,1401.0,1396.0317985
39,1820.462,1827.121,1840.0,1835.4936315,1825.0,1820.4936315,1830.0,1825.4936315
40,1436.312,1427.639,1436.0,1431.35489401,1421.0,1416.35489401,1440.0,1435.35489401
41,983.0148,986.8522,988.0,983.8644338,995.0,990.8644338,988.0,983.8644338
42,544.0754,542.4553,545.0,540.02443128,528.0,523.02443128,547.0,542.02443128
43,676.6841,668.7385,667.0,662.39187253,676.0,671.39187253,681.0,676.39187253
44,588.2509,588.8765,597.0,592.13692956,592.0,587.13692956,600.0,595.13692956
45,1348.459,1356.759,1363.0,1358.83809327,1364.0,1359.83809327,1365.0,1360.83809327
46,491.3539,492.9694,495.0,490.19367996,495.0,490.19367996,503.0,498.19367996
47,1154.061,1157.856,1163.0,1158.16514215,1166.0,1161.16514215,1165.0,1160.16514215
48,440.8958,444.8487,446.0,441.22996926,451.0,446.22996926,445.0,440.22996926
49,1698.831,1701.64,1706.0,1701.46923333,1678.0,1673.46923333,1703.0,1698.46923333
50,279.2603,288.4504,291.0,286.14838128,300.0,295.14838128,288.0,283.14838128
51,1319.03,1330.908,1338.0,1333.52082403,1336.0,1331.52082403,1328.0,1323.52082403
52,492.5038,489.8943,495.0,490.39974399,491.0,486.39974399,498.0,493.39974399
53,149.0414,149.2152,150.0,145.48747587,147.0,142.48747587,156.0,151.48747587
54,1238.667,1246.466,1254.0,1249.76433109,1240.0,1235.76433109,1233.0,1228.76433109
55,1780.795,1786.009,1797.0,1792.6155449,1787.0,1782.6155449,1783.0,1778.6155449
56,811.7535,797.4441,804.0,799.00479008,798.0,793.00479008,810.0,805.00479008
57,897.4386,885.408,894.0,889.01478171,888.0,883.01478171,899.0,894.01478171
58,1383.717,1378.603,1386.0,1381.44034619,1390.0,1385.44034619,1393.0,1388.44034619
59,0.454462,NaN,6.0,1.18837388,15.0,10.18837388,8.0,3.18837388
60,578.1086,582.4581,588.0,583.71085579,573.0,568.71085579,581.0,576.71085579
61,381.6825,381.6879,388.0,383.26547241,394.0,389.26547241,389.0,384.26547241
62,1407.232,1398.958,1402.0,1397.6968634,1400.0,1395.6968634,1410.0,1405.6968634
63,1000.622,1001.76,999.0,994.82604297,988.0,983.82604297,1014.0,1009.82604297
64,597.7009,605.2369,615.0,610.60790269,602.0,597.60790269,607.0,602.60790269
65,798.4989,793.3821,804.0,799.08625303,793.0,788.08625303,806.0,801.08625303
66,789.1952,789.9247,786.0,781.16266416,803.0,798.16266416,792.0,787.16266416
67,925.9105,921.1788,928.0,923.92496139,912.0,907.92496139,934.0,929.92496139
68,310.5126,320.1461,326.0,321.85476178,317.0,312.85476178,322.0,317.85476178
69,433.97,438.5235,453.0,448.1243152,442.0,437.1243152,440.0,435.1243152
70,1544.876,1550.905,1561.0,1556.67141303,1558.0,1553.67141303,1551.0,1546.67141303
71,700.9914,703.944,713.0,708.2184731,723.0,718.2184731,703.0,698.2184731
72,954.3446,973.7762,977.0,972.69666187,972.0,967.69666187,970.0,965.69666187
73,1524.019,1540.463,1547.0,1541.97636767,1519.0,1513.97636767,1542.0,1536.97636767
74,1468.154,1474.34,1476.0,1471.79802257,1476.0,1471.79802257,1480.0,1475.79802257
75,1595.897,1594.531,1595.0,1590.3117927,1594.0,1589.3117927,1600.0,1595.3117927
76,1512.933,1508.995,1504.0,1499.40990475,1516.0,1511.40990475,1507.0,1502.40990475
77,721.2643,728.4052,723.0,718.29948408,722.0,717.29948408,731.0,726.29948408
